lineage,dataset_id,dataset_name,label_id,label_name,full_name,cell_count,cap_marker_genes,cap_canonical_marker_genes,cap_synonyms,cap_rationale,cap_rationale_dois,cap_ontology_term,cap_ontology_term_id,score_agree,score_disagree,score_idk,n_feedback
epithelial,2166,HCA Gut Cell Atlas v1 Epithelial Lineage,663128,Colonocytes Late,Late colonocytes,17098,"CEACAM5,FABP1,AQP8,TFF1,SLC26A3,CEACAM7,GUCA2A","AQP8,SLC26A3,CEACAM5",unknown,"mature/late colonocytes are defined here by ion regulation genes (SLC, AQP) and cell adhesion markers (CEACAM)",,colonocyte,CL:1000347,3,0,1,4
epithelial,2166,HCA Gut Cell Atlas v1 Epithelial Lineage,663127,Colonocytes Laminin,Laminin producing colonocytes,2686,"LAMA3,MUC17,LMC2,LMO7","LAMA3,MUC17,LAMC2",unknown,"We found a common subcluster of hypothetically basement membrane laminin producing specialized colonocytes which we separate as an outgroup here based on multiple basement membrane scaffold proteins, LAMA and MUC17",,colonocyte,CL:1000347,2,1,1,4
epithelial,2166,HCA Gut Cell Atlas v1 Epithelial Lineage,663126,Secretory Goblet Cells,goblet cell,34138,"CLCA1,TFF3,MUC2,SPINK4,REG4,ITLN1,FXYD3","MUC2,TFF3,SPINK4",unknown,"Intestinal goblet cells which produce mucus. These are easily found in scRNA data with MUC2, TFF3, and REG4",,goblet cell,CL:0000160,1,5,3,9
epithelial,2166,HCA Gut Cell Atlas v1 Epithelial Lineage,663124,Absorptive TA,Transiently amplifying cells with predominant absorptive signature,23643,"NOTCH1,EDN1","NOTCH1,EDN1,ALDOB",unknown,NOTCH1 and low expression of absorptive markers such as FABP or ALDOB show an early bias towards absorptive lineage,,transit amplifying cell,CL:0009010,0,2,0,2
epithelial,2166,HCA Gut Cell Atlas v1 Epithelial Lineage,663123,Cycling TA,Transiently amplifying cells with predominant cycling signature,10579,"MCM5,TOP2A,CCNA2,PCLAF,HELLS,PCNA,MKI67","MKI67,TOP2A,CCNA2",unknown,TA with ONLY cell cycle markers,,transit amplifying cell,CL:0009010,0,2,0,2
epithelial,2166,HCA Gut Cell Atlas v1 Epithelial Lineage,663125,Colonocytes Early,Early colonocytes,14960,"LEFTY1,ADH1C,SPINK5","LEFTY1,SPINK5,ADH1C",unknown,"Residual developmental signaling, LEFTY1, and newly upregulated colon microenvironment related genes point to an earlier colonocyte subtype",,colonocyte,CL:1000347,0,2,0,2
epithelial,2166,HCA Gut Cell Atlas v1 Epithelial Lineage,663137,Epithelial Stem Cells (LGR5+),intestinal crypt stem cell,8538,LGR5,"LGR5,OLFM4",unknown,LGR5 expression is a clear determinant of epith stem cells,,intestinal crypt stem cell,CL:0002250,4,1,0,5
epithelial,2166,HCA Gut Cell Atlas v1 Epithelial Lineage,663147,Secretory Paneth Cells,paneth cell,468,"DEFA5,DEFA6,LYZ,PRSS2,ITLN2,REG3A,PLA2G2A","DEFA5,LYZ,PLA2G2A",unknown,Paneth cells are found mostly in small intestine and are identified here with defensins DEFA* alongside high PLA2G2A. These are even rarer than tuft cells,,paneth cell,CL:0000510,3,0,0,3
epithelial,2166,HCA Gut Cell Atlas v1 Epithelial Lineage,663148,Plasma Cells,plasma cell,135,"JCHAIN,IG* genes","JCHAIN,IG* genes",unknown,Cells of other lineages are sometimes sorted by the border of broad clusters. These appear to be plasma cells of lymphoid lineage,,plasma cell,CL:0000786,1,3,1,5
epithelial,2166,HCA Gut Cell Atlas v1 Epithelial Lineage,663149,EEC S Cells (SCT+),type S enteroendocrine cell,177,SCT,"SCT,GIPR,SLC5A1",unknown,SCT alone is enough to identify,,type S enteroendocrine cell,CL:0002281,2,0,0,2
epithelial,2166,HCA Gut Cell Atlas v1 Epithelial Lineage,663150,Monocytes,monocyte,259,"CD14,FCN1,LYST,AREG,PLAUR,CD300E,VCAN","CD14,LST1,VCAN",unknown,Cells of other lineages are sometimes sorted by the border of broad clusters. These appear to be monocytes of myeloid lineage,,monocyte,CL:0000576,0,4,0,4
epithelial,2166,HCA Gut Cell Atlas v1 Epithelial Lineage,663151,junk,NA,3016,NA,NA,NA,NA,NA,NA,NA,0,1,2,3
epithelial,2166,HCA Gut Cell Atlas v1 Epithelial Lineage,663152,doublets,NA,1617,NA,NA,NA,A Cell Annotation Platform (CAP) term used to identify a row in a “cell by gene” table that appears to contain combined data from a pair of cells rather than data from one cell and should therefore be discarded.,NA,NA,NA,1,3,1,5
epithelial,2166,HCA Gut Cell Atlas v1 Epithelial Lineage,663146,Enterocytes BEST4,BEST4+ enterocyte,2160,"BEST4,OTOP2,KLK15,SPIB,CA7,CFTR","BEST4,OTOP2,CA7",unknown,A BEST4 enterocyte population is annotated for some clusters enriched in SI. These tend to have other antimicrobial/mucus regulating/ionic gradient enzymes upregulated as well,,BEST4+ enterocyte,CL:4030026,2,0,0,2
epithelial,2166,HCA Gut Cell Atlas v1 Epithelial Lineage,663145,EEC N Cells,type N enteroendocrine cell,606,NTS,"NTS,CHGA,PCSK1",unknown,NTS alone is enough to identify,,type N enteroendocrine cell,CL:0002280,3,0,0,3
epithelial,2166,HCA Gut Cell Atlas v1 Epithelial Lineage,663144,Enterocytes Late,Late enterocytes,56355,"APOA1,APOC3,APOB,GUCA2A,CDHR5,DUOX2","APOA1,APOB,CDHR5",unknown,"Enterocytes which are maturing closer to the lumen upregulate lipid packaging (APO) and DUOX2, an antimicrobial oxidase most active in the apical cells of the villi.",,intestinal absorptive cell,CL:0000584,2,0,0,2
epithelial,2166,HCA Gut Cell Atlas v1 Epithelial Lineage,663143,EEC Progenitor,intestinal enteroendocrine progenitor,265,NEUROG3,"NEUROG3,DLL1",unknown,NEUROG3 expression identifies EEC subclusters that are just starting their differentiation away from secretory progenitor / epithstem identity towards EEC subtypes,10.1038/s41467-021-27901-5,intestinal enteroendocrine progenitor,CL:4052006,2,0,0,2
epithelial,2166,HCA Gut Cell Atlas v1 Epithelial Lineage,663142,Enteroendocrine Cells (EEC),enteroendocrine cell,195,"CHGA,CHGB,NEUROD1,PCSK1N,FXYD3,CPE,SCG5,CA2,SLC26A2,SLC4A4","CHGA,CHGB,NEUROD1",unknown,"This is the broader term for EEC when a subtype could not be identified. These are identified by CHGA and CHGB, and their canonical differentiation marker NEUROD1.",10.1038/s41467-021-27901-5,enteroendocrine cell,CL:0000164,2,1,0,3
epithelial,2166,HCA Gut Cell Atlas v1 Epithelial Lineage,663141,EEC Enterochromaffin Cells,type EC enteroendocrine cell,1237,"CHGA,TPH1,GULP1,IGFBP3","TPH1,CHGA,TAC1",unknown,EEC which produce primarily TPH1 and CHGA. TPH1 differentiates from broader EEC label,,type EC enteroendocrine cell,CL:0000577,2,0,0,2
epithelial,2166,HCA Gut Cell Atlas v1 Epithelial Lineage,663140,EEC L Cells (PYY+),type L enteroendocrine cell,473,"PYY,INSL5,GCG,TNNC1","PYY,GCG,INSL5",unknown,PYY alone is enough to identify,,type L enteroendocrine cell,CL:0002279,2,0,0,2
epithelial,2166,HCA Gut Cell Atlas v1 Epithelial Lineage,663139,Colonocytes BEST4,BEST4+ colonocyte,4709,"BEST4,SPIB,OTOP2,CA7","BEST4,OTOP2,SPIB",unknown,"BEST4 is found to differentiate a subcluster of colonocytes across multiple gut epithelial datasets, and is often the only marker needed to identify this subset",,BEST4+ colonocyte,CL:4047052,3,0,0,3
epithelial,2166,HCA Gut Cell Atlas v1 Epithelial Lineage,663138,Enterocytes,enterocyte,31595,"CCL25,EPCAM,KRT*,ELF3","EPCAM,KRT8,KRT18",unknown,"Enterocytes here are the absorptive epithelial cells of the small intestine. These express high levels of keratin and mitochondrial genes and are unique in each suborgan - duodenum and ileum. We should think about how to categorize duodenal vs. jejunal vs ileal enterocytes. EPCAM is the lineage defining marker here but does not appear in single cell data. Here, enterocytes are subdivided into early and late lifecycle subtypes, when neither of these can be determined, the broader label is used",,enterocyte,CL:0000584,1,1,1,3
epithelial,2166,HCA Gut Cell Atlas v1 Epithelial Lineage,663136,Transiently Amplifying Cells (TA),transit amplifying cell,15865,"MCM5,TOP2A,CCNA2,PCLAF,HELLS,PCNA,MKI67","MKI67,PCNA,MCM5",unknown,"TA are defined as rapidly cycling epithelial progenitors that sit between stem cells and differentiated absorptive, secretory, or defensive cells. Usually defined by a strong cycling signature, we split these into absorptive/secretory/cycling subtypes with weaker lineage specific signatures than their descendants",,transit amplifying cell,CL:0009010,0,2,0,2
epithelial,2166,HCA Gut Cell Atlas v1 Epithelial Lineage,663135,Microfold Cells (M Cells),M cell of gut,611,"TGM2,NOS2,CCL20,REG3G,RANK,GP2,SPIB,SOX8,CLU,TNFAIP2,CCL23,MIA","SPIB,GP2,TGM2",unknown,Antigen sampling cells that transport lumen antigens to the immune compartment below them. These can be difficult to identify because canonical markers like SPIB are found in enterocytes as well. Some subclusters were high in NOS2 and TGM2 so we gave this label,,M cell of gut,CL:0000682,3,0,0,3
epithelial,2166,HCA Gut Cell Atlas v1 Epithelial Lineage,663134,Secretory Tuft Cells,tuft cell,3533,"POU2F3,SH2D6,LRMP,TRPM5,SOX4,CD24,SPIB,IRAG2","POU2F3,TRPM5,LRMP",unknown,"Tuft cells are rare in single cell data, these often have POU2F3 in gene lists but LRMP is a more distinct marker",,tuft cell,CL:0002204,3,1,0,4
epithelial,2166,HCA Gut Cell Atlas v1 Epithelial Lineage,663133,Enterocytes Early,Early enterocytes,26890,"FABP4,ALDOB,ANPEP,PRAP1,FABP1","ANPEP,ALDOB,FABP1",unknown,"Enterocytes which have developed into absorptive lineage from TA and progenitor subtypes first express ANPEP, ALDOB, and other enzymes",,intestinal absorptive cell,CL:0000584,1,2,1,4
epithelial,2166,HCA Gut Cell Atlas v1 Epithelial Lineage,663132,Secretory Goblet cells Mature,goblet cell,1005,"CLCA1,TFF3,MUC2,SPINK4,REG4,ITLN1,FXYD3","MUC2,TFF3,SPINK4",chalice cell,"Intestinal goblet cells which produce mucus. These are easily found in scRNA data with MUC2, TFF3, and REG4",,goblet cell,CL:0000160,1,3,0,4
epithelial,2166,HCA Gut Cell Atlas v1 Epithelial Lineage,663131,Colonocytes,colonocyte,5013,"ADH1C,CD24,CA1,CA2,PLA2G2A,PLAC8","CA1,CA2,CEACAM7",unknown,"Colonocytes are the absorptive epithelial cells of the large intestine. Similar to enterocytes, these are subdivided into early and late stage, and when neither of these can be determined, this broader description is used. Hypoxia-related markers are used to differentiate colonocytes from other absorptive epithelial cells due to the less regulated tissue microenvironment.",,colonocyte,CL:1000347,1,1,0,2
epithelial,2166,HCA Gut Cell Atlas v1 Epithelial Lineage,663130,Follicle associated enterocyte (FAE),follicle associated enterocyte,1660,"CCL20,IL15,CCL25,ANPEP","CCL20,GP2,RANK",unknown,"a high abundance of CCL genes and IL15 in absorptive epithelial subclusters points to a potentially follicle associated enterocyte group. CCL20 is the canonical marker for these, but isn't found in marker lists.",,follicle associated enterocyte,CL:4052011,0,1,1,2
epithelial,2166,HCA Gut Cell Atlas v1 Epithelial Lineage,663129,Secretory TA,Transiently amplifying cells with predominant secretory signature,5373,"ATOH1,TFF3,CLCA1,HEPACAM2,ANXA13,PHLDA2,KLK1","ATOH1,HEPACAM2,ANXA13",unknown,"TA biased towards secretory fate, we also define these with distinct differentiation markers HEPACAM2 and ANXA13",,transit amplifying cell,CL:0009010,2,2,0,4
myeloid,2167,HCA Gut Cell Atlas v1 Myeloid Lineage,663560,Macrophages Cycling,cycling macrophage,1136,"NRG1,KLF4,GPR183,C1QB,CCL3L3,MS4A6A,MS4A7,CXCL2,MKI67,STMN,H2*","MKI67,STMN1,H2AFZ",proliferating macrophages,"Coexpression of MKI67, STMN1, and often histones with macrophage core genes (C1QB, MS4A7) identify proliferating macrophages engaged in local self renewal or inflammatory expansion",10.1016/j.cell.2019.06.029,cycling macrophage,CL:4033076,1,0,0,1
myeloid,2167,HCA Gut Cell Atlas v1 Myeloid Lineage,663561,Macrophages Tissue Resident,tissue-resident macrophage,16972,"C1QA,C1QB,C1QC,SELENOP","C1QA,C1QB,C1QC",M0 macrophage,"High C1QA, C1QB, C1QC, SELENOP and phagocytic/lysosomal programs point to the long lived tissue resident macrophages that are distinct from monocyte derived circulating lineages",10.1038/s41586-021-03852-1,tissue-resident macrophage,CL:0000864,0,3,0,3
myeloid,2167,HCA Gut Cell Atlas v1 Myeloid Lineage,663562,DC cDC2,CD11b-positive dendritic cell,4809,"CD1C,TCTN3,FCER1A,CLEC10A,SPI1,SIRPA","CD1C,FCER1A,CLEC10A",cDC2,"CD1C, CLEC10A, FCER1A, SIRPA, define antigen presenting type 2 conventional dendritic cells with CD11b positive identity and non crosspresenting functions",10.1126/science.aah4573; 10.1016/j.cell.2019.06.029,CD11b-positive dendritic cell,CL:0002465,0,1,0,1
myeloid,2167,HCA Gut Cell Atlas v1 Myeloid Lineage,663563,DC cDC1,conventional dendritic cell,1052,"CLEC9A,C1orf54,XCR1,DNASE1L3,SHTN1","CLEC9A,XCR1,BATF3",cDC1,"Expresses CLEC9A, XCR1, DNASE1L3, and related cross presentation machinery, matching the canonical transcriptional program of type 1 conventional dendritic cells described in human mucosal and lymphoid tissues",10.1126/science.aah4573; 10.1038/s41586-021-03852-1,conventional dendritic cell,CL:0000990,0,0,0,0
myeloid,2167,HCA Gut Cell Atlas v1 Myeloid Lineage,663564,DC migDC,migratory dendritic cell,346,"LAMP3,IDO1,CCR7,CD40,CCL5","LAMP3,CCR7,IDO1","migratory DCs,migratory dendritic cells","LAMP3, CCR7, IDO1, CD40, CCL5, capture the antigen experienced, lymph node directed migratory DC state which has been repeatedly observed in barrier tissues",10.1084/jem.20222129,dendritic cell,CL:0000451,0,1,0,1
myeloid,2167,HCA Gut Cell Atlas v1 Myeloid Lineage,663565,Monocytes,monocyte,4407,"CD14,FCN1,LYST,AREG,PLAUR,CD300E,VCAN","CD14,LST1,S100A8","classical monocytes,intermediate monocytes,nonclassical monocytes","These clusters have high CD14, FCN1, LST1, VCAN, and inflammatory chemokine/adaptive-interface genes, and include classical and nonclassical states. May be possible to further subdivide into classical/nonclassical subtypes",10.1038/s41586-021-03852-1,monocyte,CL:0000576,1,2,1,4
myeloid,2167,HCA Gut Cell Atlas v1 Myeloid Lineage,663566,Fibroblasts Follicular Dendritic Cells (fDC),follicular dendritic cell,143,"CR1,CR2,CXCL13,TNFSF13B","CR1,CR2,CXCL13",fDCs,"Displays CR1, CR2, CXCL13, TNFSF13B, and complement receptor driven antigen retention machinery. These also express stroma lineage markers, making them easy to annotate within the myeloid lineage.",10.1016/j.cell.2019.06.029,follicular dendritic cell,CL:0000442,0,2,0,2
myeloid,2167,HCA Gut Cell Atlas v1 Myeloid Lineage,663567,Macrophages M2,alternatively activated macrophage,3361,"CD209,CD163L1,FOLR2,MRC1","MRC1 (CD206),FOLR2,CD163L1",M2 macrophages,"Expresses MRC1 (CD206), FOLR2, CD163L1, CD209, and other alternative activation metabolic genes, marking tissue repair and IL4/IL13 responsive programs",10.1016/j.cell.2019.06.029,M2 macrophage,CL:0000890,0,4,1,5
myeloid,2167,HCA Gut Cell Atlas v1 Myeloid Lineage,663568,Granulocytes Mast Cells,mast cell,17705,"CPA3,TPSB2,TPSAB1,CTSG,HPGDS,KIT","KIT,TPSAB1,CPA3",mucosal mast cell,"presence of KIT, FCER1A, FCER1G could point to matured Mast cells with chymase, something to look out for here. In general, CPA3 and tryptase (TPSAB*) genes are highly expressed and unique to mast cell populations, making them easy to annotate in gut data",10.1182/bloodadvances.2022006969,mast cell,CL:0000097,0,3,0,3
myeloid,2167,HCA Gut Cell Atlas v1 Myeloid Lineage,663569,"DC Monocyte derived dendritic cell
(MO DC)",monocyte-derived dendritic cell,496,"MSR1,NPR2","MSR1,CD1A,CCR2",MDDC cell,"Shows MSR1, NPR2, and monocyte-to-DC transition markers, defining monocyte-derived dendritic cells arising under inflammatory differentiation",10.1016/j.cell.2019.06.029,monocyte-derived dendritic cell,CL:0011031,0,0,0,0
myeloid,2167,HCA Gut Cell Atlas v1 Myeloid Lineage,663570,Granulocytes,granulocyte,35,"CLC,IL4,CPA3,FCGR2B","CLC,FCGR3B,S100A12","polymorphonuclear leukocytes,PMN,PML,PMNL","Expresses granulocytic effectors including CLC, IL4 inducible modules, CPA3, and Fcγ receptor associated genes, hint at polymorphonuclear granulocytes distinct from mast cells. Obviously a big ? given difficulty in picking these up with typical droplet-based protocols",10.1038/s41586-021-03852-1,granulocyte,CL:0000094,0,1,0,1
myeloid,2167,HCA Gut Cell Atlas v1 Myeloid Lineage,663571,doublets,NA,1849,NA,NA,NA,A Cell Annotation Platform (CAP) term used to identify a row in a “cell by gene” table that appears to contain combined data from a pair of cells rather than data from one cell and should therefore be discarded.,NA,NA,NA,0,3,0,3
stromal,2168,HCA Gut Cell Atlas v1 Stromal Lineage,664051,SMC Inner Muscle Cells,inner smooth muscle cells,924,"FOXF2,MORN5","FOXF2,MORN5,ACTG2",unknown,"SMC with FOXF2 and MORN5, likely inner circular smooth muscle layer of gut wall. Tissue section should be checked for these to ensure not myofibroblast",,smooth muscle cell,CL:0000192,0,2,0,2
stromal,2168,HCA Gut Cell Atlas v1 Stromal Lineage,664061,vascular endothelial Lacteals,endothelial cell of lymphatic vessel,442,"PROX1,CD36,TCF15,RELN","PROX1,CD36,TCF15",unknown,"Lacteals here were annotated due to a strong fatty acid and glycerol uptake program. We should check if stroma_13_0 are present mostly in duodenum, consistent with villus lacteals being more prominent in small intestine. RELN here points to crypt",,endothelial cell of lymphatic vessel,CL:0002138,0,1,0,1
stromal,2168,HCA Gut Cell Atlas v1 Stromal Lineage,664067,Fibroblasts Submucosal (aka Crypt Support/Trophocytes/S3),submucosal fibroblast (S3),2105,"GREM1,C7,OLFM4,PTGS2,THY1,SEMA3A,GLI1","RSPO3,GREM1,PDGFRA",unknown,"Submucosal S3 fibroblasts occupy deeper layers and crypt base regions and are enriched for GREM1, C7, OLFM4, PTGS2, THY1, SEMA3A and GLI1, consistent with crypt-support or trophocyte roles. Cluster-level annotations describe RSPO3, GREM1, DCN and C3 as strong markers of submucosal fibroblasts (for example Stroma_2_0) and we note that S3 populations have lower dataset diversity and appear deeper than lamina propria fibroblasts, especially in resection-derived data. Multiple clusters labeled as Fibroblasts Submucosal (aka Crypt Support/Trophocytes/S3) recur with similar signatures, supporting a distinct S3 fibroblast class even though a dedicated CL term is still needed.",,fibroblast,CL:0000057,0,1,2,3
