taxonomy_line,hgca_celltype_v1,level_depth,marker_source,cap_label_matched,metadata_csv_line,markers_final
2,Epithelial,1,CAP feedback + metadata csv (line 42),Epithelial,42,"KRT, EPCAM, KRT19, KRT20, ELF3"
3,Absorptive Epithelial,2,children union,,,"CCL25, EPCAM, KRT, ELF3, KRT8, KRT18, OLFM4, ADH1C, REG1A, LCN2, FABP4, ALDOB, ANPEP, PRAP1, FABP1, APOA1, APOC3, APOB, GUCA2A, CDHR5, DUOX2, BEST4, OTOP2, KLK15, SPIB, CA7, CFTR, CD24, CA1, CA2, PLA2G2A, PLAC8, CEACAM7, NOTCH1, EDN1, LEFTY1, SPINK5, CEACAM5, AQP8, TFF1, SLC26A3"
4,Enterocytes,3,CAP feedback,Enterocytes,,"CCL25, EPCAM, KRT, ELF3, KRT8, KRT18"
5,Enterocyte Progenitors,4,metadata csv (line 39),,39,"OLFM4, ADH1C, REG1A, LCN2"
6,Lower Villus Enterocytes,4,CAP feedback + metadata csv (line 58),Enterocytes Early,58,"FABP4, ALDOB, ANPEP, PRAP1, FABP1"
7,Mid Villus Enterocytes,4,CAP feedback + metadata csv (line 70),Enterocytes,70,"CCL25, EPCAM, KRT, ELF3, KRT8, KRT18, APOA1, APOC3, ALDOB, ANPEP"
8,Villus Tip Enterocytes,4,CAP feedback + metadata csv (line 97),Enterocytes Late,97,"APOA1, APOC3, APOB, GUCA2A, CDHR5, DUOX2"
9,BEST4 Enterocytes,4,CAP feedback + metadata csv (line 8),Enterocytes BEST4,8,"BEST4, OTOP2, KLK15, SPIB, CA7, CFTR"
10,Colonocytes,3,CAP feedback,Colonocytes,,"ADH1C, CD24, CA1, CA2, PLA2G2A, PLAC8, CEACAM7"
11,Colonocyte Progenitors,4,metadata csv (line 28),,28,"NOTCH1, EDN1"
12,Lower Crypt Colonocytes,4,CAP feedback + metadata csv (line 57),Colonocytes Early,57,"LEFTY1, ADH1C, SPINK5"
13,Mid Crypt Colonocytes,4,CAP feedback + metadata csv (line 69),Colonocytes,69,"ADH1C, CD24, CA1, CA2, PLA2G2A, PLAC8, CEACAM7, CEACAM5, LEFTY1, SPINK5, AQP8"
14,Crypt Top Colonocytes,4,CAP feedback + metadata csv (line 31),Colonocytes Late,31,"CEACAM5, FABP1, AQP8, TFF1, SLC26A3, CEACAM7, GUCA2A"
15,BEST4 Colonocytes,4,CAP feedback + metadata csv (line 7),Colonocytes BEST4,7,"BEST4, SPIB, OTOP2, CA7"
16,Follicle associated enterocyte (FAE),2,CAP feedback,Follicle associated enterocyte (FAE),,"CCL20, IL15, CCL25, ANPEP, GP2"
17,Microfold Cells (M Cells),3,CAP feedback + metadata csv (line 68),Microfold Cells (M Cells),68,"TGM2, NOS2, CCL20, REG3G, GP2, SPIB, SOX8, CLU, TNFAIP2, CCL23, MIA"
18,Enteroendocrine Cells (EEC),2,CAP feedback + metadata csv (line 40),Enteroendocrine Cells (EEC),40,"CHGA, CHGB, NEUROD1, PCSK1N, FXYD3, CPE, SCG5, CA2, SLC26A2, SLC4A4"
19,EEC Progenitors,3,CAP feedback + metadata csv (line 37),EEC Progenitor,37,"NEUROG3, DLL1"
20,EEC I,3,existing taxonomy Markers,,,CCK
21,EEC S,3,CAP feedback + metadata csv (line 38),EEC S Cells (SCT+),38,"SCT, GIPR, SLC5A1"
22,EEC Mo,3,existing taxonomy Markers,,,MLN
23,EEC Enterochromaffin (EC),3,CAP feedback + metadata csv (line 34),EEC Enterochromaffin Cells,34,"CHGA, TPH1, GULP1, IGFBP3, TAC1"
24,EEC L,3,CAP feedback + metadata csv (line 35),EEC L Cells (PYY+),35,"PYY, INSL5, GCG, TNNC1"
25,EEC K,3,existing taxonomy Markers,,,GIP
26,EEC D,3,existing taxonomy Markers,,,SST
27,EEC N,3,CAP feedback + metadata csv (line 36),EEC N Cells,36,"NTS, CHGA, PCSK1"
28,EEC Gastric,3,children union,,,"GAST, ERO1B, PGC, TPH1"
29,EEC G,4,existing taxonomy Markers,,,"GAST, ERO1B, PGC"
30,EEC Enterochromaffin-like (ECL),4,existing taxonomy Markers,,,TPH1
31,Secretory Epithelial,2,children union,,,"MUC6, PGC, TFF2, HDAC9, AQP5, DEFA5, DEFA6, LYZ, PRSS2, ITLN2, REG3A, PLA2G2A, POU2F3, SH2D6, LRMP, TRPM5, SOX4, CD24, SPIB, IRAG2, STMN1, CLCA1, TFF3, MUC2, SPINK4, REG4, ITLN1, FXYD3, TFF1, MUC5AC, AGR2"
32,Brunners Gland Cells,3,metadata csv (line 9),,9,"MUC6, PGC, TFF2, HDAC9, AQP5"
33,Paneth Cells,3,CAP feedback + metadata csv (line 80),Secretory Paneth Cells,80,"DEFA5, DEFA6, LYZ, PRSS2, ITLN2, REG3A, PLA2G2A"
34,Tuft Cells,3,CAP feedback + metadata csv (line 94),Secretory Tuft Cells,94,"POU2F3, SH2D6, LRMP, TRPM5, SOX4, CD24, SPIB, IRAG2"
35,Tuft Progenitors,4,CAP feedback + metadata csv (line 95),Secretory Tuft Cells,95,"POU2F3, SH2D6, LRMP, TRPM5, SOX4, CD24, SPIB, IRAG2, STMN1"
36,Goblet Cells,3,CAP feedback + metadata csv (line 51),Secretory Goblet Cells,51,"CLCA1, TFF3, MUC2, SPINK4, REG4, ITLN1, FXYD3"
37,Mature Goblet Cells,4,CAP feedback + metadata csv (line 64),Secretory Goblet cells Mature,64,"CLCA1, TFF3, MUC2, SPINK4, REG4, ITLN1, FXYD3"
38,Foveolar Cells,3,metadata csv (line 46),,46,"TFF2, TFF1, MUC5AC, AGR2"
39,Parietal Cells,2,existing taxonomy Markers,,,"GPR155, CBLIF, ATP4A, ATP4B"
40,Chief Cells,2,existing taxonomy Markers,,,"PGA5, LIPF"
41,Neck Cells,2,existing taxonomy Markers,,,"MUC6, PGA3, LYZ, FUT9"
42,Proliferative Epithelial,2,children union,,,"LGR5, OLFM4, ASCL2, SMOC2, RGMB, CLDN3, TSPAN8, MCM5, TOP2A, CCNA2, PCLAF, HELLS, PCNA, MKI67, DEFA5, DEFA6, LYZ, PRSS2, ITLN2, REG3A, PLA2G2A, ATOH1, TFF3, CLCA1, HEPACAM2, ANXA13, PHLDA2, KLK1"
43,Intestinal Stem Cells (ISC),3,CAP feedback + metadata csv (line 55),Epithelial Stem Cells (LGR5+),55,"LGR5, OLFM4, ASCL2, SMOC2, RGMB, CLDN3, TSPAN8"
44,Transiently Amplifying Cells (TA),3,CAP feedback + metadata csv (line 93),Transiently Amplifying Cells (TA),93,"MCM5, TOP2A, CCNA2, PCLAF, HELLS, PCNA, MKI67, DEFA5, DEFA6, LYZ, PRSS2, ITLN2, REG3A, PLA2G2A"
45,Secretory Progenitors,4,CAP feedback + metadata csv (line 89),Secretory TA,89,"ATOH1, TFF3, CLCA1, HEPACAM2, ANXA13, PHLDA2, KLK1"
46,Stromal,1,children union,,,"PECAM1, CDH5, PLVAP, TM4SF1, SEMA3G, MGP, IGFBP4, HIGD1B, KDR, COL4A1, CD36, CLDN5, RAMP2, FLT1, IGFBP7, RGCC, FCN3, RBP7, LITAF, ICAM1, VCAM1, ACKR1, VWF, SELP, MADCAM1, ADGRG6, LYVE1, PROX1, MMRN1, MRC1, PDPN, ACKR4, NT5E, ITGA2B, STAB2, MARCO, STAB1, TCF15, RELN, WT1, MSLN, ADAMDEC1, FABP4, WNT5A, WNT5B, WNT2, LUM, COL3A1, CXCL6, CXCL14, FBLN1, PDGFRA, BMP4, F3, NPY, CD34, TRPA1, SOX6, POSTN, CD142, NRG1, VEGFD, VSTM2A, ABCA8, COL1A1, DCN, GREM1, C7, OLFM4, PTGS2, THY1, SEMA3A, GLI1, RSPO3, RANKL, TNFSF11, CCL19, CCL21, TNFSF13B, CXCL13, CR1, CR2, DPT, KCNN3, CA8, PLCB4, ACTA2, TAGLN, MYH11, KIT, ETV1, ANO1, RGS5, PDGFRB, NOTCH3, MCAM, CSPG4, RERGL, NTRK2, NDUFA4L2, MUSTN1, PLN, COL15A1, NRXN1, S100B, SOX10, CDH19, CRYAB, PLP1, SPP1, FXYD1, STMN, MKI67, APOE, FRZB, RLBP1, CRYM, TF, BCAN, CACLB, GJB1, ENTPD2, SFRP5, GFRA3, MBP, PLLP, SLC5A7, APOD, KCNS3, DES, ACTG2, FOXF2, MORN5, PLIN1, LPL"
47,Endothelial,2,CAP feedback,vascular endothelial,,"PECAM1, CDH5, PLVAP"
48,Arteriolar Endothelial,3,CAP feedback + metadata csv (line 6),vascular endothelial Arteriolar,6,"PLVAP, TM4SF1, SEMA3G, MGP, IGFBP4, HIGD1B, KDR, COL4A1"
49,Capillary Endothelial,3,CAP feedback + metadata csv (line 10),vascular endothelial Capillary,10,"CD36, CLDN5, RAMP2, FLT1, IGFBP7"
50,Post Arteriole Capillary Endothelial (PAC),4,CAP feedback + metadata csv (line 86),vascular endothelial Post arteriole capillary (PAC),86,"RGCC, FCN3, RBP7"
51,Pre Venule Capillary Endothelial (PVC),4,CAP feedback + metadata csv (line 87),vascular endothelial Pre venule capillary (PVC),87,"LITAF, ICAM1, VCAM1"
52,Venular Endothelial,3,CAP feedback + metadata csv (line 96),vascular endothelial Venular,96,"ACKR1, VWF, SELP, MADCAM1, ADGRG6"
53,Lymphatic Endothelial,3,CAP feedback + metadata csv (line 59),vascular endothelial Lymphatic,59,"LYVE1, PROX1, MMRN1, MRC1, PDPN"
54,Ceiling Sinus Endothelial,4,existing taxonomy Markers,,,"ACKR4, NT5E"
55,Floor Sinus Endothelial,4,existing taxonomy Markers,,,"MADCAM1, ITGA2B"
56,Medullary Sinus Endothelial,4,metadata csv (line 65),,65,"MRC1, STAB2, MARCO"
57,Cortical Sinus Endothelial,4,existing taxonomy Markers,,,STAB1
58,Lacteal Endothelial,4,CAP feedback,vascular endothelial Lacteals,,"PROX1, CD36, TCF15, RELN"
59,Mesothelial,2,existing taxonomy Markers,,,"WT1, MSLN"
60,Fibroblasts,2,existing taxonomy Markers,,,"ADAMDEC1, FABP4, WNT5A, WNT5B, WNT2, LUM, COL3A1, CXCL6, CXCL14, FBLN1"
61,Subepithelial Fibroblasts (S2),3,CAP feedback,Fibroblasts Subepithelial (S2),,"PDGFRA, BMP4, F3, NPY, CD34, TRPA1, SOX6, WNT5A, POSTN, CD142"
62,Crypt Top Fibroblasts (S2B),4,CAP feedback + metadata csv (line 32),Fibroblasts Crypt Top (S2B),32,"NRG1, NPY, PDGFRA, VEGFD"
63,Crypt Bottom Fibroblasts (S2A),4,CAP feedback + metadata csv (line 30),Fibroblasts Crypt Bottom (S2A),30,"VSTM2A, PDGFRA, POSTN"
64,Lamina propria Fibroblasts (S1),3,CAP feedback + metadata csv (line 56),Fibroblasts Lamina propria (S1),56,"ADAMDEC1, ABCA8, FABP4, PDPN, COL1A1, DCN"
65,Submucosal Fibroblasts (S3),3,CAP feedback + metadata csv (line 91),Fibroblasts Submucosal (aka Crypt Support/Trophocytes/S3),91,"GREM1, C7, OLFM4, PTGS2, THY1, SEMA3A, GLI1, RSPO3, PDGFRA"
66,Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),3,CAP feedback + metadata csv (line 67),Fibroblasts mLTo Cells (mesenchymal lymphoid tissue organizer cells),67,"RANKL, CXCL14, TNFSF11, PDPN"
67,Fibroblastic Reticular Cells (FRC),3,CAP feedback + metadata csv (line 43),Fibroblastic reticular cells,43,"CCL19, CCL21, TNFSF13B, CXCL13, PDPN"
68,Marginal Reticular Cells (MRC),4,metadata csv (line 62),,62,"TNFSF11, CXCL14"
69,Follicular Dendritic Cells (fDC),3,CAP feedback + metadata csv (line 45),Fibroblasts Follicular Dendritic Cells (fDC),45,"CR1, CR2, CXCL13, TNFSF13B"
70,Subserosal Fibroblasts,3,CAP feedback,Fibroblasts Subserosal,,"DPT, C7, POSTN, COL1A1"
71,Muscularis Propria Fibroblasts,3,CAP feedback + metadata csv (line 73),Fibroblasts Muscularis Propria,73,"DPT, C7, KCNN3, CA8, PLCB4, PDGFRA"
72,Myofibroblasts,3,CAP feedback + metadata csv (line 74),Fibroblasts Myofibroblasts,74,"ACTA2, TAGLN, DCN, MYH11"
73,Interstitial Cells of Cajal (ICC),3,metadata csv (line 54),,54,"KIT, ETV1, ANO1"
74,Pericytes,2,existing taxonomy Markers,,,"RGS5, PDGFRB, NOTCH3, PECAM1, MCAM, CSPG4"
75,Angiogenic Pericytes,3,CAP feedback + metadata csv (line 5),Pericytes Angiogenic,5,"HIGD1B, KDR, COL4A1"
76,Contractile Pericytes,3,CAP feedback + metadata csv (line 29),Pericytes Contractile,29,"RERGL, NTRK2, ACTA2"
77,Immature Pericytes,3,CAP feedback,Pericytes Immature,,"NDUFA4L2, PDGFRB, CSPG4, RGS5"
78,Secretory Pericytes,3,CAP feedback + metadata csv (line 88),Pericytes Secretory,88,"MUSTN1, PLN, COL15A1"
79,Glia,2,metadata csv (line 50),,50,"NRXN1, S100B, SOX10, CDH19, CRYAB, PLP1, SPP1, FXYD1"
80,Differentiating Glia,3,inherited from ancestor 'Glia',,,"NRXN1, S100B, SOX10, CDH19, CRYAB, PLP1, SPP1, FXYD1"
81,Progenitor Glia,3,existing taxonomy Markers,,,"NRXN1, CRYAB, STMN, MKI67"
