celltype,lineage,is_follicle_tlo,n_A,n_B,mean_CLR_A,mean_CLR_B,delta_CLR_B_minus_A,p_value,p_adj,neglog10_p_adj,analysis_type
Crypt Bottom Fibroblasts (S2A),stroma,False,47,32,2.008868794566879,-0.21517310511997045,-2.2240418996868496,5.158403594764143e-11,4.848899379078295e-09,8.314356827962113,inferential
Lymphatic Endothelial,stroma,True,47,32,-1.0298341624207963,0.6540387280424471,1.6838728904632434,2.6734252250587696e-10,1.2565098557776217e-08,7.900834100550873,inferential
Submucosal Fibroblasts (S3),stroma,False,47,32,-0.3821422754236908,2.2143967102951354,2.5965389857188264,2.5675504841900457e-09,6.159558645467134e-08,7.2104504054825265,inferential
Post Arteriole Capillary Endothelial (PAC),stroma,False,47,32,1.903958653233258,0.1738215452407647,-1.7301371079924932,3.275644010017476e-09,6.159558645467134e-08,7.2104504054825265,inferential
Lamina propria Fibroblasts (S1),stroma,False,47,32,2.529234532375648,0.4528840360652262,-2.076350496310422,3.2763609816314544e-09,6.159558645467134e-08,7.2104504054825265,inferential
Crypt Top Fibroblasts (S2B),stroma,False,47,32,1.1730061778226506,-0.4445336581014602,-1.6175398359241109,1.2161748978363871e-08,1.9053406732770067e-07,6.720027361564921,inferential
Myofibroblasts,stroma,False,47,32,1.0379598190700325,-0.2908603808817652,-1.3288201999517977,4.5578965205206364e-08,6.120603898984855e-07,6.213205725394033,inferential
Adipocytes,stroma,False,47,32,-1.0001830607090585,0.40280761706820456,1.4029906777772632,8.897726291849222e-08,1.0454828392922836e-06,5.980683091360735,inferential
Angiogenic Pericytes,stroma,False,47,32,0.5081119170269238,-0.45150689408002936,-0.9596188111069532,1.5375319375213143e-07,1.6058666903000394e-06,5.794290510159511,inferential
Medullary Sinus Endothelial,stroma,True,47,32,-1.0402729478771469,-0.23652702519064062,0.8037459226865062,3.2519979023679463e-07,3.0568780282258696e-06,5.514721889610596,inferential
CD8 Memory Exhausted,lymphoid,False,105,40,-1.8531151344300725,-0.9880664676082478,0.8650486668218247,3.8497467347048614e-07,3.289783573293245e-06,5.482832672267714,inferential
BEST4 Colonocytes,epithelial,False,85,32,1.6067556380487014,2.7978696252085955,1.1911139871598941,4.3332694284554095e-07,3.3943943856234043e-06,5.469237699570097,inferential
Perivascular Resident Macrophages,myeloid,True,72,35,-0.31754633957244555,0.7899458552286984,1.107492194801144,1.1014039040728405e-06,7.963997460219001e-06,5.0988688871445085,inferential
Pre Venule Capillary Endothelial (PVC),stroma,False,47,32,-0.8862738435667264,-0.22603064474471374,0.6602431988220128,3.5035786188220204e-06,2.3524027869233567e-05,4.628488314755156,inferential
Muscularis Propria Fibroblasts,stroma,False,47,32,-0.4810246156052362,0.5785264753138382,1.0595510909190744,5.140921895869391e-06,3.2216443880781514e-05,4.491922399614742,inferential
Interstitial Cells of Cajal (ICC),stroma,False,47,32,-1.2834917026841621,-0.6717961078692742,0.6116955948148879,1.3661550583915476e-05,8.026160968050343e-05,4.095492134555456,inferential
Glia,stroma,False,47,32,0.982193461109736,-0.02819084338838551,-1.0103843044981216,2.0502167520234414e-05,0.0001076752581852756,3.9678840782065876,inferential
M0 Macrophages,myeloid,False,72,35,1.2538621991235095,0.4270070405124641,-0.8268551586110454,2.061866646101022e-05,0.0001076752581852756,3.9678840782065876,inferential
Arteriolar Endothelial,stroma,False,47,32,-0.12304155859680913,0.8965310855931247,1.0195726441899338,2.241408695780113e-05,0.00011089074600175297,3.955104694861333,inferential
Intestinal Stem Cells (ISC),epithelial,False,85,32,1.2104325223876888,0.26440705823314026,-0.9460254641545486,3.0035818783871463e-05,0.00014116834828419586,3.8502626666442206,inferential
ILC3,lymphoid,False,105,40,-0.830578425114222,0.04590194938967612,0.876480374503898,6.068792167404509e-05,0.00027165069701715424,3.565989176290796,inferential
Follicular Dendritic Cells (fDC),stroma,True,47,32,-1.2392482656271442,-0.6717961078692742,0.56745215775787,6.899605192061162e-05,0.0002948013127517042,3.5304705868932036,inferential
NKT Cells,lymphoid,False,105,40,-0.5276195537188632,0.24058701212839173,0.7682065658472549,0.00011352038335503204,0.00046395287110317446,3.333526133366169,inferential
CD4 Th17,lymphoid,False,105,40,1.3055621073048802,0.688016817788912,-0.6175452895159682,0.0001359210172870473,0.000532357317707602,3.273796771805819,inferential
EEC Enterochromaffin (EC),epithelial,False,85,32,-0.3776101058641218,-0.7479495456819283,-0.3703394398178065,0.00024084185161088928,0.0009055653620569437,3.0430801976346347,inferential
Secretory Progenitors,epithelial,False,85,32,0.5218110841423215,-0.06276750373706606,-0.5845785878793875,0.0005086865982508835,0.0018390977013685785,2.735395198419259,inferential
CD8 TRM,lymphoid,False,105,40,1.3719249858934814,0.7619249822149954,-0.6100000036784861,0.0011216712762801733,0.0039050777766791215,2.4083703119413067,inferential
Enterocyte Progenitors,epithelial,False,85,32,-0.24254519167586516,-0.7136179116610498,-0.47107271998518463,0.0012051211904469958,0.004002488390629514,2.397669919094572,inferential
Capillary Endothelial,stroma,False,47,32,0.043156957206095234,-0.6501352584767759,-0.6932922156828711,0.0012348102481729351,0.004002488390629514,2.397669919094572,inferential
Plasma IGG,lymphoid,False,105,40,-1.2603198165300433,-0.3468770405435314,0.9134427759865119,0.0013506280649964314,0.004152956908582085,2.3816425751415324,inferential
EEC L,epithelial,False,85,32,-0.4441711538753267,-0.7606203303103083,-0.3164491764349816,0.001369592171979198,0.004152956908582085,2.3816425751415324,inferential
Smooth Muscle Cells (SMC),stroma,False,47,32,-0.6941545780286108,-0.3493923319226033,0.3447622461060075,0.0014687853349257005,0.0043145569213442455,2.3650637970508397,inferential
Tuft Progenitors,epithelial,False,85,32,-0.16578410851429798,-0.5577378354659186,-0.3919537269516206,0.00235008231486715,0.006694173866591276,2.174303011978156,inferential
Tuft Cells,epithelial,False,85,32,0.19356817943813848,-0.4438249446077484,-0.6373931240458869,0.0031125259920869847,0.00860521891929931,2.0652380766165734,inferential
Homeostatic Macrophages,myeloid,False,72,35,1.0047480938195616,0.442317875604288,-0.5624302182152736,0.0034744091519473097,0.009331270293801347,2.0300592304190324,inferential
CD4 Memory,lymphoid,False,105,40,1.3871904765708503,0.7765657566243153,-0.610624719946535,0.00630162928620509,0.01645425424731329,1.7837217963605574,inferential
CD4 tTreg,lymphoid,False,105,40,0.19708007002610317,-0.17646583417994505,-0.3735459042060482,0.006828038981894546,0.017237000510244727,1.7635383055173244,inferential
CD4 Tfh,lymphoid,True,105,40,0.7225957073123457,0.15958078670324163,-0.5630149206091041,0.007105785115678109,0.017237000510244727,1.7635383055173244,inferential
Foveolar Cells,epithelial,False,85,32,-1.1790395292070133,-0.8689245772727998,0.31011495193421346,0.007201951901200409,0.017237000510244727,1.7635383055173244,inferential
Brunners Gland Cells,epithelial,False,85,32,-1.129660682763933,-0.8689245772727998,0.26073610549113324,0.007334893834146692,0.017237000510244727,1.7635383055173244,inferential
