celltype,lineage,is_follicle_tlo,n_A,n_B,mean_CLR_A,mean_CLR_B,delta_CLR_B_minus_A,p_value,p_adj,neglog10_p_adj,analysis_type
Brunners Gland Cells,epithelial,False,5,4,-0.9514248752509085,1.2488269227054136,2.200251797956322,,,,descriptive
CD8 Memory Exhausted,lymphoid,False,2,2,-2.367496868627182,-0.6137208179101519,1.75377605071703,,,,descriptive
CD8 Naive,lymphoid,False,2,2,-2.367496868627182,-0.6137208179101519,1.75377605071703,,,,descriptive
Arteriolar Endothelial,stroma,False,2,3,-0.25582697469585014,1.301421153484173,1.5572481281800232,,,,descriptive
Contractile Pericytes,stroma,False,2,3,-0.25582697469585014,1.2851577654276958,1.540984740123546,,,,descriptive
GC B Light Zone (GC B LZ),lymphoid,True,2,2,-2.020923278347209,-0.6137208179101519,1.4072024604370572,,,,descriptive
Gamma Delta T Cells,lymphoid,False,2,2,-2.020923278347209,-0.6137208179101519,1.4072024604370572,,,,descriptive
MAIT Cells,lymphoid,False,2,2,-2.020923278347209,-0.6137208179101519,1.4072024604370572,,,,descriptive
GC B Dark Zone (GC B DZ),lymphoid,True,2,2,-1.5627779124101315,-0.2671472276301792,1.2956306847799524,,,,descriptive
Submucosal Fibroblasts (S3),stroma,False,2,3,-0.25582697469585014,0.9582146810904538,1.2140416557863039,,,,descriptive
CD4 Naive,lymphoid,False,2,2,-1.8181907242931268,-0.6137208179101519,1.204469906382975,,,,descriptive
Venular Endothelial,stroma,False,2,3,-0.25582697469585014,0.8647806927057343,1.1206076674015844,,,,descriptive
CD4 Tr1,lymphoid,False,2,2,-1.6743496880672364,-0.6137208179101519,1.0606288701570845,,,,descriptive
CD8 Effector Memory,lymphoid,False,2,2,-0.3548210232596074,0.6687538608206165,1.023574884080224,,,,descriptive
Foveolar Cells,epithelial,False,5,4,-1.6316643515833396,-0.6348637415539706,0.9968006100293689,,,,descriptive
Mid Crypt Colonocytes,epithelial,False,5,4,-1.6316643515833396,-0.6348637415539706,0.9968006100293689,,,,descriptive
Colonocyte Progenitors,epithelial,False,5,4,-1.6316643515833396,-0.6348637415539706,0.9968006100293689,,,,descriptive
Epithelial,epithelial,False,5,4,-1.4930349154713505,-0.6348637415539706,0.8581711739173798,,,,descriptive
Enteroendocrine Cells (EEC),epithelial,False,5,4,-1.4930349154713505,-0.6348637415539706,0.8581711739173798,,,,descriptive
EEC S,epithelial,False,5,4,-1.4930349154713505,-0.6348637415539706,0.8581711739173798,,,,descriptive
EEC N,epithelial,False,5,4,-1.4930349154713505,-0.6348637415539706,0.8581711739173798,,,,descriptive
Crypt Top Colonocytes,epithelial,False,5,4,-1.4930349154713505,-0.6348637415539706,0.8581711739173798,,,,descriptive
ILC3,lymphoid,False,2,2,-1.1250435437331818,-0.2671472276301792,0.8578963161030027,,,,descriptive
