celltype,lineage,is_follicle_tlo,n_A,n_B,mean_CLR_A,mean_CLR_B,delta_CLR_B_minus_A,p_value,p_adj,neglog10_p_adj,analysis_type
Submucosal Fibroblasts (S3),stroma,False,105,12,-0.45790753825402547,2.8964635882828076,3.354371126536833,2.125349747884057e-08,1.9978287630110135e-06,5.699441738565688,inferential
Adipocytes,stroma,False,105,12,-0.9777409524606695,0.31568020713856554,1.293421159599235,2.4528902006487175e-07,1.1528583943048972e-05,4.9382240338577486,inferential
Contractile Pericytes,stroma,False,105,12,-0.23657142449336274,1.458062013537741,1.6946334380311037,9.12096020744095e-07,2.8579008649981646e-05,4.543952840111521,inferential
Perivascular Resident Macrophages,myeloid,True,191,12,-0.6499361835604401,1.459948671603718,2.1098848551641582,1.797450335196619e-06,4.224008287712055e-05,4.374275238366271,inferential
Post Arteriole Capillary Endothelial (PAC),stroma,False,105,12,1.802985502617081,0.1910182746828578,-1.611967227934223,4.139349886694067e-06,7.781977786984846e-05,4.108910013188364,inferential
Lymphatic Endothelial,stroma,True,105,12,-0.34801683163269875,0.9296159516897006,1.2776327833223993,6.909645274198232e-06,0.00010825110929577232,3.965567644549061,inferential
Lamina propria Fibroblasts (S1),stroma,False,105,12,2.6357889757163777,0.8346750580729617,-1.8011139176434159,2.7772811911800237e-05,0.00037294918852988894,3.428350333457419,inferential
BEST4 Enterocytes,epithelial,False,214,11,0.3009530913711,1.7186634949030497,1.4177104035319497,3.710537490869999e-05,0.0004359881551772249,3.3605253093806047,inferential
Crypt Bottom Fibroblasts (S2A),stroma,False,105,12,0.40994886284080423,-0.5596415706067442,-0.9695904334475485,5.1821362630610826e-05,0.0005412453430308242,3.2666058273678464,inferential
M0 Macrophages,myeloid,False,191,12,1.94890353523354,0.6641542965121704,-1.2847492387213695,0.00010307424846889084,0.000968897935607574,3.0137219694270607,inferential
Glia,stroma,False,105,12,0.4030217321685325,-0.7667171247557444,-1.1697388569242768,0.00026949938585838976,0.002302994751880785,2.637707051715236,inferential
Plasma IGG,lymphoid,False,219,15,-1.2103258138447364,-0.06923466471565162,1.1410911491290847,0.0003542002681301404,0.0026853405015620523,2.5710006378699712,inferential
Enteroendocrine Cells (EEC),epithelial,False,214,11,-1.0543250933657942,-0.3953262663532873,0.6589988270125069,0.00037137687787560297,0.0026853405015620523,2.5710006378699712,inferential
Myofibroblasts,stroma,False,105,12,0.5607784866039165,-0.41267585458496453,-0.973454341188881,0.000436116042887873,0.0029282077165328616,2.533398119231011,inferential
Capillary Endothelial,stroma,False,105,12,0.10961184662666576,-0.800505883764758,-0.9101177303914237,0.0005160465181882322,0.003233891513979588,2.4902745532825215,inferential
Neutrophils,myeloid,False,191,12,-0.8804892487997991,0.23290243493015897,1.113391683729958,0.0008344440996702375,0.004902359085562646,2.3095948809324076,inferential
Epithelial,epithelial,False,214,11,-1.2397672757116318,-0.5859754589695817,0.6537918167420501,0.0016797705578742994,0.009288143084716713,2.0320711028706597,inferential
Crypt Top Fibroblasts (S2B),stroma,False,105,12,0.7862580332213849,-0.19985089447871848,-0.9861089277001034,0.0022205828497146455,0.01159637710406537,1.9356776702097818,inferential
Tuft Progenitors,epithelial,False,214,11,-0.9152269252968729,-0.35023725583974236,0.5649896694571306,0.002792426824932674,0.013815164291772177,1.8596439460289886,inferential
Plasma IGA,lymphoid,False,219,15,-0.1289748539325365,1.1680394388062436,1.2970142927387802,0.003146501344494777,0.014788556319125451,1.8300742204074307,inferential
Cycling Macrophages,myeloid,False,191,12,0.12002588374745862,-0.4562066141397179,-0.5762324978871766,0.003607689521194148,0.016148705475821427,1.7918622861651243,inferential
CD4 Th17,lymphoid,False,219,15,1.7230618658220744,0.7220263741156053,-1.0010354917064692,0.004585852996607544,0.019594099167323145,1.7078746982820154,inferential
CD8 Memory Exhausted,lymphoid,False,219,15,-1.6322643976636007,-0.9881004891328992,0.6441639085307015,0.007968329214634383,0.032566215051114435,1.4872327135853998,inferential
CD4 tTreg,lymphoid,False,219,15,0.06930984472790122,-0.4538114399796042,-0.5231212847075054,0.009158053864734278,0.03586904430354259,1.4452801945319267,inferential
cDC1,myeloid,False,191,12,0.1590251265213327,-0.3832508860268929,-0.5422760125482255,0.012590817341782223,0.04734147320510116,1.324758231516968,inferential
Enterocyte Progenitors,epithelial,False,214,11,1.9137745460181435,0.9871600155207947,-0.9266145304973488,0.014165684478400185,0.051214397729600666,1.2906079301274258,inferential
Muscularis Propria Fibroblasts,stroma,False,105,12,-0.4291961062553608,-0.16606213546970464,0.26313397078565615,0.015092537330421093,0.052544389224428986,1.2794736518329606,inferential
