celltype,lineage,is_follicle_tlo,n_A,n_B,mean_CLR_A,mean_CLR_B,delta_CLR_B_minus_A,p_value,p_adj,neglog10_p_adj,analysis_type
GC B Dark Zone (GC B DZ),lymphoid,True,38,2,-2.1108415280780815,-0.5121989778905045,1.598642550187577,,,,descriptive
GC B Light Zone (GC B LZ),lymphoid,True,38,2,-2.0743600975222947,-0.5121989778905045,1.5621611196317902,,,,descriptive
CD8 Memory Exhausted,lymphoid,False,38,2,-1.4261877056023575,0.0371071664435505,1.463294872045908,,,,descriptive
CD4 Tfr,lymphoid,True,38,2,-1.9542456714310361,-0.5121989778905045,1.4420466935405316,,,,descriptive
Plasma IGG,lymphoid,False,38,2,-1.6875456905494697,-0.5121989778905045,1.1753467126589652,,,,descriptive
CD8 Naive,lymphoid,False,38,2,-1.6758073088370116,-0.5121989778905045,1.163608330946507,,,,descriptive
MAIT Cells,lymphoid,False,38,2,-1.080802784704207,0.0371071664435505,1.1179099511477575,,,,descriptive
BEST4 Colonocytes,epithelial,False,3,4,-1.6291839592578832,-0.5755432237671266,1.0536407354907564,,,,descriptive
Colonocyte Progenitors,epithelial,False,3,4,-1.6291839592578832,-0.5755432237671266,1.0536407354907564,,,,descriptive
Perivascular Resident Macrophages,myeloid,True,31,3,-0.4980809698780252,0.4310454878025071,0.9291264576805323,,,,descriptive
CD4 Tr1,lymphoid,False,38,2,-1.406812398456754,-0.5121989778905045,0.8946134205662495,,,,descriptive
Gamma Delta T Cells,lymphoid,False,38,2,-1.395577026357141,-0.5121989778905045,0.8833780484666365,,,,descriptive
Mid Crypt Colonocytes,epithelial,False,3,4,-1.6291839592578832,-0.748830018907113,0.8803539403507702,,,,descriptive
Foveolar Cells,epithelial,False,3,4,-1.6291839592578832,-0.748830018907113,0.8803539403507702,,,,descriptive
Epithelial,epithelial,False,3,4,-1.6291839592578832,-0.748830018907113,0.8803539403507702,,,,descriptive
Enteroendocrine Cells (EEC),epithelial,False,3,4,-1.6291839592578832,-0.748830018907113,0.8803539403507702,,,,descriptive
Crypt Top Colonocytes,epithelial,False,3,4,-1.6291839592578832,-0.748830018907113,0.8803539403507702,,,,descriptive
Brunners Gland Cells,epithelial,False,3,4,-1.6291839592578832,-0.748830018907113,0.8803539403507702,,,,descriptive
Lower Crypt Colonocytes,epithelial,False,3,4,-1.3981348990712348,-0.5755432237671266,0.8225916753041081,,,,descriptive
EEC S,epithelial,False,3,4,-1.2629798630351798,-0.4741769467400855,0.7888029162950944,,,,descriptive
cDC1,myeloid,False,31,3,-0.7681135724986108,-0.03105263257078983,0.737060939927821,,,,descriptive
CD4 Naive,lymphoid,False,38,2,-1.2408894913438366,-0.5121989778905045,0.7286905134533321,,,,descriptive
EEC N,epithelial,False,3,4,-1.3981348990712348,-0.748830018907113,0.6493048801641218,,,,descriptive
Tuft Progenitors,epithelial,False,3,4,-0.9360367786979378,-0.30089015160009913,0.6351466270978386,,,,descriptive
Homeostatic Macrophages,myeloid,False,31,3,0.654752081650262,1.259347704398507,0.6045956227482451,,,,descriptive
Naive B,lymphoid,False,38,2,-1.1076029609100824,-0.5121989778905045,0.5954039830195779,,,,descriptive
CD4 tTreg,lymphoid,False,38,2,-1.0663906592318366,-0.5121989778905045,0.5541916813413321,,,,descriptive
Microfold Cells (M Cells),epithelial,False,3,4,-1.2629798630351798,-0.748830018907113,0.5141498441280669,,,,descriptive
CD4 Tfh,lymphoid,True,38,2,-1.0190835189284,-0.5121989778905045,0.5068845410378955,,,,descriptive
pDC,myeloid,False,31,3,-0.8929910244633816,-0.397256728793493,0.49573429566988864,,,,descriptive
Eosinophils,myeloid,False,31,3,-0.8929910244633816,-0.397256728793493,0.49573429566988864,,,,descriptive
Neutrophils,myeloid,False,31,3,-0.8929910244633816,-0.397256728793493,0.49573429566988864,,,,descriptive
migDC,myeloid,False,31,3,-0.8706314379937059,-0.397256728793493,0.4733747092002129,,,,descriptive
Follicle Associated Resident Macrophages,myeloid,True,31,3,-0.8706314379937059,-0.397256728793493,0.4733747092002129,,,,descriptive
Plasma Cells,lymphoid,False,38,2,-0.572561786048687,-0.16562538761053158,0.40693639843815543,,,,descriptive
BEST4 Enterocytes,epithelial,False,3,4,1.9392451487164803,2.288111315260112,0.3488661665436317,,,,descriptive
