celltype,lineage,is_follicle_tlo,n_A,n_B,mean_CLR_A,mean_CLR_B,delta_CLR_B_minus_A,p_value,p_adj,neglog10_p_adj
Submucosal Fibroblasts (S3),stroma,False,140,81,-0.6170455654108735,1.8555165087863825,2.4725620741972563,3.7372865000604184e-25,3.513049310056793e-23,22.454315754296996
Lamina propria Fibroblasts (S1),stroma,False,140,81,2.686037151930517,0.6139653334596286,-2.072071818470888,1.5072502919433098e-21,7.084076372133556e-20,19.149716765407234
Adipocytes,stroma,False,140,81,-1.048122918892955,0.20316190555593416,1.2512848244488892,4.072141217067134e-21,1.2759375813477022e-19,18.89417057070836
Crypt Top Fibroblasts (S2B),stroma,False,140,81,1.0091382757070102,-0.34093216142588606,-1.3500704371328962,3.5656759326455043e-20,8.379338441716935e-19,18.07679026805866
Myofibroblasts,stroma,False,140,81,0.7968254232243753,-0.3104336608181689,-1.1072590840425443,2.178754937602687e-19,4.096059282693051e-18,17.387633766397425
Perivascular Resident Macrophages,myeloid,True,245,126,-0.6334622168410586,0.35214332591796793,0.9856055427590266,1.0255437736869637e-15,1.5893177785364997e-14,13.798789258446053
Post Arteriole Capillary Endothelial (PAC),stroma,False,140,81,1.8063511484921255,0.5046946396357674,-1.301656508856358,1.1835345159314358e-15,1.5893177785364997e-14,13.798789258446053
Crypt Bottom Fibroblasts (S2A),stroma,False,140,81,0.9682730279481546,-0.21091774925710632,-1.179190777205261,5.7344646259341774e-15,6.737995935472659e-14,13.171469255332092
Lymphatic Endothelial,stroma,True,140,81,-0.5496249943662883,0.5234468447784565,1.073071839144745,1.840536891010787e-13,1.9223385306112665e-12,11.716170129138794
Muscularis Propria Fibroblasts,stroma,False,140,81,-0.5731779875835866,0.307680867630046,0.8808588552136326,3.4706950029550964e-13,3.2624533027777904e-12,11.486455695896135
BEST4 Colonocytes,epithelial,False,267,104,-0.5360309119738039,1.1188820320580226,1.6549129440318264,6.574879274162319e-13,5.6185331979205274e-12,11.25037704870038
Enterocyte Progenitors,epithelial,False,267,104,1.417408906651165,0.24914228018111342,-1.1682666264700516,1.5080712106548344e-12,1.181322448346287e-11,10.927631543179245
Capillary Endothelial,stroma,False,140,81,0.1913685000031757,-0.6611174959458538,-0.8524859959490295,2.1111044745143633e-12,1.5264909277257704e-11,10.816305772466102
Transiently Amplifying Cells (TA),epithelial,False,267,104,1.9484025840782884,0.9053097749489727,-1.0430928091293157,4.392819192010891e-12,2.949464314635884e-11,10.530256853961854
Pre Venule Capillary Endothelial (PVC),stroma,False,140,81,-0.7786010814479114,-0.17270051354233595,0.6059005679055754,6.580969700446038e-12,4.079012378724387e-11,10.389444976711948
Contractile Pericytes,stroma,False,140,81,-0.2647137675318448,0.685297524183966,0.9500112917158108,6.942999793573424e-12,4.079012378724387e-11,10.389444976711948
M0 Macrophages,myeloid,False,245,126,1.7646622436583705,1.0142744430677633,-0.7503878005906073,7.611784765938088e-10,4.208869223518707e-09,8.375834568285368
cDC1,myeloid,False,245,126,0.12292532003876058,-0.33089248516701125,-0.45381780520577186,2.016297857427856e-09,1.0529555477678804e-08,7.977589962875877
Mid Crypt Colonocytes,epithelial,False,267,104,-0.6455382519286158,0.544338367028706,1.1898766189573218,2.1907619697659057e-09,1.0838506587262903e-08,7.965030554106867
cDC2,myeloid,False,245,126,1.1968896107710725,0.649767482005736,-0.5471221287653365,5.484650314425185e-09,2.5777856477798366e-08,7.5887531986415615
Arteriolar Endothelial,stroma,False,140,81,-0.20755483349360787,0.6403685289503938,0.8479233624440017,7.172913869129979e-09,3.2107328747534193e-08,7.49339582518602
Homeostatic Macrophages,myeloid,False,245,126,1.1975469574743964,0.524895900921848,-0.6726510565525484,7.604699466680494e-09,3.249280681218029e-08,7.488212771560813
Lower Crypt Colonocytes,epithelial,False,267,104,-0.13864755812778407,1.376982064651228,1.515629622779012,1.002887420246852e-08,4.098757282748004e-08,7.387347798659397
GC B Light Zone (GC B LZ),lymphoid,True,296,158,-0.5336735418288577,-1.2879256631500442,-0.7542521213211865,1.240429686168071e-08,4.8583496041582785e-08,7.3135112368149935
Crypt Top Colonocytes,epithelial,False,267,104,-0.3568561113873525,0.7296057386060174,1.0864618499933698,1.3207723772554453e-07,4.966104138480475e-07,6.303984177593935
Colonocyte Progenitors,epithelial,False,267,104,-0.30117467900364475,0.6431091896559479,0.9442838686595927,1.4255228575621658e-07,5.153813408109369e-07,6.287871308970094
Villus Tip Enterocytes,epithelial,False,267,104,1.7234773253609965,0.3235033767685074,-1.3999739485924891,3.0261432394004404e-07,1.0535461648283014e-06,5.977346429499715
Angiogenic Pericytes,stroma,False,140,81,0.18234324019598272,-0.2569748627261949,-0.43931810292217766,7.113173504659479e-07,2.3879939622785393e-06,5.621966775596449
Classical Monocytes,myeloid,False,245,126,0.2549851263193689,0.7907043159709864,0.5357191896516176,1.1144492978630479e-06,3.581062284655687e-06,5.44598812533073
Mature Goblet Cells,epithelial,False,267,104,1.0444096487128565,0.1560926473042443,-0.8883170014086121,1.1428922185071341e-06,3.581062284655687e-06,5.44598812533073
Lower Villus Enterocytes,epithelial,False,267,104,1.1978015081733144,0.36904313142665157,-0.8287583767466629,1.638030353339177e-06,4.966930748834924e-06,5.303911895090043
