celltype,lineage,is_follicle_tlo,n_A,n_B,mean_CLR_A,mean_CLR_B,delta_CLR_B_minus_A,p_value,p_adj,neglog10_p_adj
Lamina propria Fibroblasts (S1),stroma,False,155,66,2.6105690500293286,0.32027561402964116,-2.2902934359996876,1.867882940594965e-22,1.755809964159267e-20,19.755522490698215
Submucosal Fibroblasts (S3),stroma,False,155,66,-0.4037479617579278,1.9165362443432343,2.320284206101162,9.360809537243982e-21,4.399580482504672e-19,18.356588733245513
Post Arteriole Capillary Endothelial (PAC),stroma,False,155,66,1.8047632553026134,0.21259275799226815,-1.5921704973103452,2.294696646097678e-20,7.190049491106058e-19,18.143268120237384
Adipocytes,stroma,False,155,66,-0.9597471267323503,0.27999561134138257,1.239742738073733,1.2289067873559505e-18,2.804552478320117e-17,16.552136429132226
Perivascular Resident Macrophages,myeloid,True,297,74,-0.541200914882373,0.6744390224279648,1.2156399373103377,1.4917832331489985e-18,2.804552478320117e-17,16.552136429132226
M0 Macrophages,myeloid,False,297,74,1.7754316657382818,0.44375168646715146,-1.3316799792711302,4.405395600944886e-18,6.901786441480322e-17,16.161038482993177
Lymphatic Endothelial,stroma,True,155,66,-0.5440685500677224,0.7542775829738118,1.2983461330415342,1.256762340164017e-16,1.6876522853631086e-15,14.772717028150947
Crypt Top Fibroblasts (S2B),stroma,False,155,66,0.8872809138863893,-0.36158618377129853,-1.2488670976576879,1.7102455466865883e-16,2.0095385173567415e-15,14.696903665154865
Myofibroblasts,stroma,False,155,66,0.691731150475686,-0.3152711454331889,-1.007002295908875,4.558792546799339e-15,4.76140554887931e-14,13.322264826267677
Crypt Bottom Fibroblasts (S2A),stroma,False,155,66,0.8917284676211757,-0.29915191300554894,-1.1908803806267247,9.964301687648383e-15,9.36644358638948e-14,13.028425278268724
Secretory Progenitors,epithelial,False,308,63,0.8559850818602536,0.014011467130892947,-0.8419736147293606,1.1332527173720691e-11,9.534592181610186e-11,10.02069787808353
Enterocyte Progenitors,epithelial,False,308,63,1.3164580182394423,-0.01762054608017967,-1.334078564319622,1.2171819806310875e-11,9.534592181610186e-11,10.02069787808353
BEST4 Colonocytes,epithelial,False,308,63,-0.3628847138768553,1.349396344620637,1.7122810584974921,2.2440303467537526e-11,1.6226065584219442e-10,9.789786772977479
Arteriolar Endothelial,stroma,False,155,66,-0.1993281900920924,0.8137582366689564,1.0130864267610489,3.396075489546033e-11,2.2802221144094793e-10,9.642022846699527
Transiently Amplifying Cells (TA),epithelial,False,308,63,1.839858266267805,0.7571327068747968,-1.082725559393008,3.6976495463259664e-10,2.3171937156976053e-09,8.635037657991708
CD8 TRM,lymphoid,False,365,89,2.2217351384084116,1.1137167598793254,-1.1080183785290862,8.850617166896249e-10,5.199737585551546e-09,8.284018573292627
Pre Venule Capillary Endothelial (PVC),stroma,False,155,66,-0.7219134868618705,-0.16812579600071006,0.5537876908611604,1.0407034018106491e-09,5.754477633541236e-09,8.239994093609686
CD4 Th17,lymphoid,False,365,89,1.7719247809992178,0.8879654496984859,-0.8839593313007319,1.1156011110217169e-09,5.82591691311341e-09,8.23463571339762
Neutrophils,myeloid,False,297,74,-0.8571205030420973,-0.3377186679184218,0.5194018351236755,1.3640296255396718e-09,6.5540032660817995e-09,8.18349334652994
Epithelial,epithelial,False,308,63,-1.1796870982906738,-0.7208226099655376,0.45886448832513616,1.394468780017404e-09,6.5540032660817995e-09,8.18349334652994
Muscularis Propria Fibroblasts,stroma,False,155,66,-0.42572750705342133,0.16159084256987732,0.5873183496232987,1.922832633944417e-09,8.606965123370247e-09,8.065149956852922
Brunners Gland Cells,epithelial,False,308,63,-1.2593340539021358,-0.6576572989250912,0.6016767549770446,2.571646625966131e-09,1.0987944674582559e-08,7.9590835359627965
Foveolar Cells,epithelial,False,308,63,-1.2907556151716286,-0.7632505287161874,0.5275050864554413,4.020573172814029e-09,1.6431907749761683e-08,7.784312011909036
Contractile Pericytes,stroma,False,155,66,-0.1665529322335052,0.6706799469793374,0.8372328792128426,9.541113604709034e-09,3.736936161844372e-08,7.4274843211483645
Angiogenic Pericytes,stroma,False,155,66,0.18855864027265415,-0.3714166590249333,-0.5599752992975875,1.4400106500293782e-08,5.414440044110462e-08,7.266446451010501
Interstitial Cells of Cajal (ICC),stroma,False,155,66,-1.040005432767679,-0.6019884962731532,0.4380169364945259,2.1198634419374005e-08,7.664121674696755e-08,7.115537609066526
CD8 Memory Exhausted,lymphoid,False,365,89,-1.6776289441505032,-1.0895542614867475,0.5880746826637557,2.403306985740545e-08,8.367068765170786e-08,7.077426661728821
Crypt Top Colonocytes,epithelial,False,308,63,-0.26734428626097173,0.9990548451266988,1.2663991313876706,2.662507124758102e-08,8.938416775973627e-08,7.048739399140238
Glia,stroma,False,155,66,0.5770744749625167,-0.2522873581947223,-0.829361833157239,4.035590159353135e-08,1.291328478120455e-07,6.888963271219476
Lower Crypt Colonocytes,epithelial,False,308,63,0.024945923151326224,1.5635538471904908,1.5386079240391646,4.121261100384432e-08,1.291328478120455e-07,6.888963271219476
Mid Crypt Colonocytes,epithelial,False,308,63,-0.5072162660563924,0.6424616960541887,1.149677962110581,5.987451819900013e-08,1.8155499066793588e-07,6.740991808498509
Plasma IGG,lymphoid,False,365,89,-1.2728043489571679,-0.4873780256682835,0.7854263232888844,1.3364095371770715e-07,3.925703015457648e-07,6.406082558436098
Homeostatic Macrophages,myeloid,False,297,74,1.1053974080121027,0.4220656475376405,-0.6833317604744622,1.543127995780673e-07,4.3874226690609437e-07,6.357790525157705
Capillary Endothelial,stroma,False,155,66,0.07027659381405632,-0.5704818062477013,-0.6407584000617577,1.5869401143411925e-07,4.3874226690609437e-07,6.357790525157705
Colonocyte Progenitors,epithelial,False,308,63,-0.21978503027919954,0.8597381866069661,1.0795232168861657,4.010264231335163e-07,1.0770423935585866e-06,5.967767202063008
cDC2,myeloid,False,297,74,1.1268298635914589,0.5464890254725981,-0.5803408381188607,4.406134671447941e-07,1.1504907197669624e-06,5.939116880142016
Goblet Cells,epithelial,False,308,63,1.6705013170260619,0.7367175310108378,-0.933783786015224,4.7159005179632593e-07,1.1980936451041793e-06,5.921509235400331
Enteroendocrine Cells (EEC),epithelial,False,308,63,-1.0830209577068297,-0.6985369918985646,0.38448396580826516,5.251310474818665e-07,1.2990083806130383e-06,5.886388047046867
Nonclassical Monocytes,myeloid,False,297,74,-0.7182039020945074,-0.3628532140484734,0.3553506880460339,8.043067559210238e-07,1.9385855142711858e-06,5.712515036773372
Intestinal Stem Cells (ISC),epithelial,False,308,63,1.2384637315459455,0.5341876111835138,-0.7042761203624317,1.5742597686129517e-06,3.6995104562404364e-06,5.431855740857204
Follicular Dendritic Cells (fDC),stroma,True,155,66,-0.9102480207741293,-0.5809840362561851,0.32926398451794414,1.8444973467365515e-06,4.2288475754447765e-06,5.37377796827855
Eosinophils,myeloid,False,297,74,-0.8547866741513231,-0.542262477017076,0.3125241971342472,3.772355798617843e-06,8.442891549287553e-06,5.073508789294643
Lower Villus Enterocytes,epithelial,False,308,63,1.1293582865510547,0.16430374750669527,-0.9650545390443594,5.377285634142277e-06,1.1754996502543583e-05,4.929777495754376
EEC S,epithelial,False,308,63,-1.0623228898468386,-0.7332473613821983,0.3290755284646404,6.057841577193212e-06,1.2941752460367315e-05,4.8880069112766495
Villus Tip Enterocytes,epithelial,False,308,63,1.5877536294288273,0.07594728874971367,-1.5118063406791136,6.321677912990646e-06,1.320528275158046e-05,4.879252295241876
CD4 Memory,lymphoid,False,365,89,1.5315274486410495,0.8557497009974775,-0.675777747643572,1.1295300642866282e-05,2.3081701313683272e-05,4.636732183215028
Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),stroma,True,155,66,-0.8441668843629387,-0.48227626821266195,0.3618906161502768,1.9866968819233018e-05,3.9733937638466036e-05,4.400838394171433
Mid Villus Enterocytes,epithelial,False,308,63,1.4711452347125584,0.36163826323745757,-1.109506971475101,0.00040218583357037294,0.0007876139240753137,3.1036866146573057
Tuft Cells,epithelial,False,308,63,0.10822084818822747,-0.2427397732782836,-0.3509606214665111,0.0010399703384428903,0.0019950451390537078,2.7000472737014585
pDC,myeloid,False,297,74,-0.6959450620773285,-0.4917534281213547,0.20419163395597384,0.0014346103397820274,0.0026970674387902117,2.5691081941002114
CD8 Naive,lymphoid,False,365,89,-0.8611432375867191,-0.4720141626317205,0.38912907495499854,0.002135277981005298,0.0039356103963627065,2.4049879008617823
Tuft Progenitors,epithelial,False,308,63,-0.6975082917943078,-0.43309173575292254,0.2644165560413853,0.0021781113498924014,0.003937355132497803,2.4047954119488115
Classical Monocytes,myeloid,False,297,74,0.37014421222983596,0.7049630909233567,0.3348188786935208,0.0026474846360831964,0.004695538788524915,2.328314567517564
Mature Goblet Cells,epithelial,False,308,63,0.909026029864893,0.23985705281884284,-0.6691689770460502,0.0029465315493699927,0.005037693136800645,2.2977682904014296
Microfold Cells (M Cells),epithelial,False,308,63,-0.9991673845019997,-0.7882590423790194,0.21090834212298026,0.002996427185420398,0.005037693136800645,2.2977682904014296
Smooth Muscle Cells (SMC),stroma,False,155,66,-0.4914003616238059,-0.33272121173288854,0.15867914989091736,0.0030011788900088945,0.005037693136800645,2.2977682904014296
EEC Enterochromaffin (EC),epithelial,False,308,63,-0.37235543525906173,-0.6001824374632656,-0.22782700220420388,0.005331274787771121,0.00879192684299097,2.0559159343035738
Cycling Macrophages,myeloid,False,297,74,0.04135148529184908,-0.14259193103086554,-0.1839434163227146,0.005919781937619921,0.009594129347177113,2.017994430712044
Tolerogenic cDC2,myeloid,False,297,74,-0.45966734299762185,-0.2939492905099444,0.16571805248767746,0.007699775452672205,0.012267438856799786,1.9112460979462427
Secretory Pericytes,stroma,False,155,66,-0.678383638822897,-0.5433339355018216,0.13504970332107535,0.011010723582846275,0.01725013361312583,1.7632075366939808
ILC3,lymphoid,False,365,89,-0.48553456633253395,-0.11967947360057106,0.36585509273196287,0.014982332818945607,0.023087529261981755,1.636622541110591
CD4 Tr1,lymphoid,False,365,89,-0.9720914744338369,-0.7933368077652986,0.17875466666853834,0.018869037930874077,0.02860789621777683,1.5435140783920271
Plasma IGA,lymphoid,False,365,89,0.14852324816073206,0.8731216027161538,0.7245983545554218,0.02153048270498124,0.032124847210606926,1.4931589292092282
MAIT Cells,lymphoid,False,365,89,-0.7685719337225251,-0.54574341798205,0.22282851574047513,0.03324138144993951,0.04882327900459866,1.3113730564267765
cDC1,myeloid,False,297,74,0.003424342540694877,-0.17017269535315488,-0.17359703789384975,0.04029950798601794,0.05750761508108478,1.2402746428109255
CD4 pTreg,lymphoid,False,365,89,-0.2781921535332741,-0.4313924314770369,-0.15320027794376279,0.04037768718459144,0.05750761508108478,1.2402746428109255
CD4 Naive,lymphoid,False,365,89,-0.09156414078981442,0.24701707003808632,0.3385812108279007,0.054276942168443774,0.07614973975871217,1.1183315765242405
Fibroblastic Reticular Cells (FRC),stroma,True,155,66,-0.6797746425732475,-0.5609574326200895,0.11881720995315803,0.05790392240900951,0.08004365744774844,1.0966730752946379
NK Cells,lymphoid,False,365,89,-0.05163556306471733,-0.23813317873392756,-0.18649761566921022,0.10009430960369987,0.13636036380793895,0.8653118487487376
Plasma Cells,lymphoid,False,365,89,0.3226537311845608,-0.2217932577462637,-0.5444469889308245,0.1048311454315664,0.14077325243667488,0.8514798552980509
