celltype,lineage,is_follicle_tlo,n_A,n_B,mean_CLR_A,mean_CLR_B,delta_CLR_B_minus_A,p_value,p_adj,neglog10_p_adj
Eosinophils,myeloid,False,61,87,-0.31955619851187667,-1.2300395574162544,-0.9104833589043777,6.373829052969269e-19,2.2583966454562396e-17,16.646199779946564
Plasma Cells,lymphoid,False,90,97,-0.81546768225612,1.5344935991930972,2.3499612814492172,6.452561844160684e-19,2.2583966454562396e-17,16.646199779946564
Neutrophils,myeloid,False,61,87,-0.31484009896348675,-1.217411829960299,-0.9025717309968122,3.837114608638812e-17,8.953267420157227e-16,15.048018443613403
Paneth Cells,epithelial,False,91,67,-1.0621027766698279,0.0011806851416260224,1.063283461811454,1.2023257007138205e-15,1.8642234718573088e-14,13.729502028260354
CD8 IEL,lymphoid,False,90,97,2.1172142520722272,0.1104981541924231,-2.006716097879804,1.331588194183792e-15,1.8642234718573088e-14,13.729502028260354
Nonclassical Monocytes,myeloid,False,61,87,-0.31484009896348675,-0.9877890858743874,-0.6729489869109007,8.198418076267609e-14,9.564821088978877e-13,12.019323149086336
pDC,myeloid,False,61,87,-0.2580247562946388,-1.0276824587974998,-0.769657702502861,3.35399970280324e-13,3.35399970280324e-12,11.474436980212616
Perivascular Resident Macrophages,myeloid,True,61,87,-0.3034770304297172,-0.9544809624676784,-0.6510039320379613,8.109320462450344e-13,7.0956554046440515e-12,11.149007483860586
M0 Macrophages,myeloid,False,61,87,0.8928625504588019,2.429267782414059,1.5364052319552572,1.1769867441751217e-11,9.050089370708237e-11,10.04334713206399
NKT Cells,lymphoid,False,90,97,1.8544397478903454,-0.2401367795890384,-2.0945765274793837,1.2928699101011766e-11,9.050089370708237e-11,10.04334713206399
CD8 Circulating Effector Memory,lymphoid,False,90,97,0.09402254897233801,1.0414525048797612,0.9474299559074232,2.6059656994263046e-10,1.6583418087258303e-09,8.780325950055936
Epithelial,epithelial,False,91,67,-1.3438077401214674,-0.6836329257463247,0.6601748143751427,3.5378436056521745e-10,2.063742103297102e-09,8.6853445755104
Brunners Gland Cells,epithelial,False,91,67,-1.3317350776086312,-0.8128671459506522,0.518867931657979,3.869117198009886e-09,2.0833707989284e-08,7.681233427317237
Enteroendocrine Cells (EEC),epithelial,False,91,67,-1.3133397321847669,-0.8128671459506521,0.5004725862341147,4.489554370750338e-09,2.244777185375169e-08,7.648826760212732
Foveolar Cells,epithelial,False,91,67,-1.3209567341689417,-0.823212626257517,0.49774410791142465,8.794432106269855e-09,4.104068316259266e-08,7.386785418576678
cDC2,myeloid,False,61,87,0.6672035440096278,1.5339800949538331,0.8667765509442054,2.2122097746238954e-08,9.678417763979543e-08,7.014195635722407
CD4 pTreg,lymphoid,False,90,97,-0.6166483439397226,0.013271591033088418,0.629919934972811,3.2836208043081635e-08,1.3520791547151263e-07,6.868997882765887
CD8 Memory Exhausted,lymphoid,False,90,97,-1.1287362827728638,-1.7448970657794014,-0.6161607830065376,5.437756727011649e-08,2.1146831716156413e-07,6.674754690759914
GC B Dark Zone (GC B DZ),lymphoid,True,90,97,-0.5087325371887413,-1.3023428416983713,-0.79361030450963,2.391961004852788e-07,8.812487912615535e-07,6.054901465687124
Monocyte Derived Dendritic Cells (MO DC),myeloid,False,61,87,-0.2014675834121538,-0.6258327331227189,-0.42436514971056516,7.26910505398346e-07,2.544186768894211e-06,5.594451010270939
Homeostatic Macrophages,myeloid,False,61,87,0.2691820741383846,1.3317535374252543,1.0625714632868697,8.293416154941395e-07,2.764472051647132e-06,5.558387796348065
EEC S,epithelial,False,91,67,-1.0435024524575107,-0.6732874454394598,0.3702150070180509,2.2214163716504123e-06,7.068143000705857e-06,5.150694672551066
CD4 Memory,lymphoid,False,90,97,1.1122874696825806,2.0973216661630723,0.9850341964804916,2.9174516428962745e-06,8.87920065229301e-06,5.05162612970833
Memory B,lymphoid,False,90,97,0.037982025643718574,1.0648911912664099,1.0269091656226912,3.5991094018190373e-06,1.0497402421972193e-05,4.97891815363177
CD4 tTreg,lymphoid,False,90,97,-0.4758408074628405,0.08657089729969696,0.5624117047625374,3.994819537151896e-06,1.1185494704025309e-05,4.951344803478192
Plasma IGA,lymphoid,False,90,97,-0.8618713578451095,0.3290862412099362,1.1909575990550456,4.66749148080293e-06,1.256632321754635e-05,4.900791774017535
EEC Enterochromaffin (EC),epithelial,False,91,67,-0.3625825292057185,0.11370682410144646,0.47628935330716493,4.952269229814451e-06,1.2839216521741168e-05,4.891461477097852
GC B Light Zone (GC B LZ),lymphoid,True,90,97,-0.5980798450091483,-1.2769853837017753,-0.6789055386926269,9.054740083038786e-06,2.2636850207596964e-05,4.645184002953105
Microfold Cells (M Cells),epithelial,False,91,67,-1.078744226154025,-0.6541690298355485,0.4245751963184765,1.1107850512800046e-05,2.6812052961931143e-05,4.571669931414231
Classical Monocytes,myeloid,False,61,87,0.06477298187743415,0.6211915283396096,0.5564185464621754,4.670547050451124e-05,0.0001089794311771929,3.962655463244637
Tolerogenic cDC2,myeloid,False,61,87,-0.09075275391781153,-0.5626295142694543,-0.4718767603516428,4.829324352562368e-05,0.00010904925957398895,3.9623772788612786
Follicle Associated Resident Macrophages,myeloid,True,61,87,-0.1463064401745918,-0.4949559580312091,-0.34864951785661735,0.00015848889798405764,0.0003466944643401261,3.46005309265491
cDC1,myeloid,False,61,87,-0.1822055298473557,0.2297497378091706,0.4119552676565263,0.00019100746516113122,0.0004051673503417935,3.3923655587157473
ILC3,lymphoid,False,90,97,-0.5391922207949535,-0.08467115852863547,0.45452106226631805,0.00021071149289163564,0.00043381777948277924,3.3626926529372443
CD8 Naive,lymphoid,False,90,97,-0.6565654721362763,-1.1758401706498307,-0.5192746985135545,0.00034527025083506713,0.0006905405016701343,3.160810844042625
EEC L,epithelial,False,91,67,-0.6459046667440759,-0.3581885577207788,0.2877161090232971,0.0005502814112980455,0.0010699916330795332,2.9706196183162823
Plasma IGG,lymphoid,False,90,97,-1.1165294795654401,-1.5253743894194145,-0.40884490985397437,0.0007726553193373681,0.0014617803338815073,2.8351178852104217
Enterocyte Progenitors,epithelial,False,91,67,0.8147436115731836,1.4994255787412314,0.6846819671680477,0.0010285735649757822,0.0018947407775869673,2.7224501981308737
Gamma Delta T Cells,lymphoid,False,90,97,-0.5406968580431659,-0.9521049859825825,-0.4114081279394166,0.0016700535894201166,0.002997532083574568,2.5232361598071535
MAIT Cells,lymphoid,False,90,97,-0.8625037153273596,-0.45905291603660925,0.40345079929075034,0.0017328297636714843,0.0030324520864250977,2.51820605237914
Tuft Cells,epithelial,False,91,67,0.1788144047885715,-0.3672664378666689,-0.5460808426552404,0.002689706109953366,0.004592181163335015,2.337980987185702
migDC,myeloid,False,61,87,-0.29683006144433743,-0.5634580163375926,-0.2666279548932552,0.0031635467801052544,0.005272577966842091,2.277976989527037
Mast Cells,myeloid,False,61,87,0.619312569218924,1.3701036515861817,0.7507910823672578,0.006276228628451962,0.010217116371898543,1.9906716600215937
