segment,covariate,category,lineage,celltype,n_samples,n_donors,n_datasets,total_cells,n_samples_present,mean_cells_per_sample,median_cells_per_sample,mean_clr,median_clr,q1_clr,q3_clr,mean_within_lineage_pct,median_within_lineage_pct,q1_within_lineage_pct,q3_within_lineage_pct,present_sample_fraction
duodenum,sampled_site_condition,healthy,epithelial,BEST4 Colonocytes,9,7,3,2.0,2,0.2222222222222222,0.0,-1.0346091514458544,-1.172629140571292,-1.4028011477978852,-0.7287830296614306,0.013146701364650869,0.0,0.0,0.0,0.2222222222222222
duodenum,sampled_site_condition,healthy,epithelial,BEST4 Enterocytes,9,7,3,207.0,8,23.0,11.0,1.1733576939474835,1.1352376734170533,0.5043907576977418,1.958296529743751,2.3392175006546627,3.0575539568345325,0.5190311418685121,3.7037037037037033,0.8888888888888888
duodenum,sampled_site_condition,healthy,epithelial,Brunners Gland Cells,9,7,3,63.0,5,7.0,2.0,0.026464812729679082,-0.049510512897137815,-1.349668976370947,0.792072830149523,1.0703999771462422,0.3597122302158274,0.0,1.675977653631285,0.5555555555555556
duodenum,sampled_site_condition,healthy,epithelial,Colonocyte Progenitors,9,7,3,0.0,0,0.0,0.0,-1.1886418582369533,-1.349668976370947,-1.404027280138278,-0.7287830296614306,0.0,0.0,0.0,0.0,0.0
duodenum,sampled_site_condition,healthy,epithelial,Crypt Top Colonocytes,9,7,3,1.0,1,0.1111111111111111,0.0,-1.1116255048414039,-1.349668976370947,-1.404027280138278,-0.7287830296614306,0.00622820129546587,0.0,0.0,0.0,0.1111111111111111
duodenum,sampled_site_condition,healthy,epithelial,EEC Enterochromaffin (EC),9,7,3,18.0,4,2.0,0.0,-0.5240402792086778,-0.5942215309703673,-0.7287830296614306,-0.049510512897137815,0.2158772704667827,0.0,0.0,0.5291005291005291,0.4444444444444444
duodenum,sampled_site_condition,healthy,epithelial,EEC L,9,7,3,12.0,4,1.3333333333333333,0.0,-0.6116466525824856,-0.5942215309703673,-1.1669398926869468,-0.049510512897137815,0.27930843840447994,0.0,0.0,0.21164021164021166,0.4444444444444444
duodenum,sampled_site_condition,healthy,epithelial,EEC N,9,7,3,1.0,1,0.1111111111111111,0.0,-1.1116255048414037,-1.1669398926869468,-1.4028011477978852,-0.7108800995783326,0.019984012789768187,0.0,0.0,0.0,0.1111111111111111
duodenum,sampled_site_condition,healthy,epithelial,EEC Progenitors,9,7,3,8.0,5,0.8888888888888888,1.0,-0.6814920591849715,-0.5942215309703673,-0.7287830296614306,-0.30541499147016804,0.1291827305900628,0.062266500622665005,0.0,0.31746031746031744,0.5555555555555556
duodenum,sampled_site_condition,healthy,epithelial,EEC S,9,7,3,1.0,1,0.1111111111111111,0.0,-1.1116255048414037,-1.1669398926869468,-1.4028011477978852,-0.7108800995783326,0.019984012789768187,0.0,0.0,0.0,0.1111111111111111
duodenum,sampled_site_condition,healthy,epithelial,Enterocyte Progenitors,9,7,3,612.0,8,68.0,43.0,2.3498571263440686,2.5162503135426446,1.9825355338042567,2.6761363228940676,8.438850525302573,6.838565022421525,4.919053549190536,9.352517985611511,0.8888888888888888
duodenum,sampled_site_condition,healthy,epithelial,Enteroendocrine Cells (EEC),9,7,3,1.0,1,0.1111111111111111,0.0,-1.1116255048414037,-1.1669398926869468,-1.4028011477978852,-0.7108800995783326,0.019984012789768187,0.0,0.0,0.0,0.1111111111111111
duodenum,sampled_site_condition,healthy,epithelial,Epithelial,9,7,3,1.0,1,0.1111111111111111,0.0,-1.1116255048414039,-1.349668976370947,-1.404027280138278,-0.7287830296614306,0.00622820129546587,0.0,0.0,0.0,0.1111111111111111
duodenum,sampled_site_condition,healthy,epithelial,Foveolar Cells,9,7,3,0.0,0,0.0,0.0,-1.1886418582369533,-1.349668976370947,-1.404027280138278,-0.7287830296614306,0.0,0.0,0.0,0.0,0.0
duodenum,sampled_site_condition,healthy,epithelial,Goblet Cells,9,7,3,115.0,5,12.777777777777779,9.0,0.5339035875261118,0.8985578128557679,-0.5942215309703673,1.419300029011064,1.7778847015878791,1.3075965130759652,0.0,1.905829596412556,0.5555555555555556
duodenum,sampled_site_condition,healthy,epithelial,Intestinal Stem Cells (ISC),9,7,3,320.0,7,35.55555555555556,38.0,1.4050222706955442,1.7977853249984093,-0.035635849101485206,2.566264633413844,5.828082612311148,2.3661270236612704,0.34602076124567477,7.4074074074074066,0.7777777777777778
duodenum,sampled_site_condition,healthy,epithelial,Lower Crypt Colonocytes,9,7,3,3.0,2,0.3333333333333333,0.0,-0.9895574727671695,-1.1669398926869468,-1.4028011477978852,-0.7287830296614306,0.02006520143383587,0.0,0.0,0.0,0.2222222222222222
duodenum,sampled_site_condition,healthy,epithelial,Lower Villus Enterocytes,9,7,3,2570.0,9,285.55555555555554,311.0,3.6310597814475787,4.2141568739643525,3.314268238173119,4.3389759076712044,37.72081300104389,32.56726457399103,27.14819427148194,50.0,1.0
duodenum,sampled_site_condition,healthy,epithelial,Mature Goblet Cells,9,7,3,40.0,4,4.444444444444445,0.0,-0.3691689940136473,-0.6565217958110017,-0.7287830296614306,-0.049510512897137815,0.2982659652124744,0.0,0.0,0.33670033670033667,0.4444444444444444
duodenum,sampled_site_condition,healthy,epithelial,Microfold Cells (M Cells),9,7,3,3.0,2,0.3333333333333333,0.0,-0.9895574727671694,-1.1669398926869468,-1.4028011477978852,-0.5942215309703673,0.08174079711370426,0.0,0.0,0.0,0.2222222222222222
duodenum,sampled_site_condition,healthy,epithelial,Mid Crypt Colonocytes,9,7,3,0.0,0,0.0,0.0,-1.1886418582369533,-1.349668976370947,-1.404027280138278,-0.7287830296614306,0.0,0.0,0.0,0.0,0.0
duodenum,sampled_site_condition,healthy,epithelial,Mid Villus Enterocytes,9,7,3,1587.0,9,176.33333333333334,98.0,3.242407319449205,3.925408886449667,2.5290244849264405,4.0008983191642224,30.020114850218153,23.99103139013453,11.447811447811448,50.0,1.0
duodenum,sampled_site_condition,healthy,epithelial,Paneth Cells,9,7,3,6.0,5,0.6666666666666666,1.0,-0.7585084125805212,-0.7108800995783326,-1.1669398926869468,-0.5942215309703673,0.09405744174781332,0.05605381165919283,0.0,0.1798561151079137,0.5555555555555556
duodenum,sampled_site_condition,healthy,epithelial,Secretory Progenitors,9,7,3,80.0,7,8.88888888888889,1.0,0.1728316449111169,-0.049510512897137815,-0.47379271212700136,0.5431090012574282,0.6471295017495372,0.34602076124567477,0.08650519031141869,0.6349206349206349,0.7777777777777778
duodenum,sampled_site_condition,healthy,epithelial,Transiently Amplifying Cells (TA),9,7,3,284.0,8,31.555555555555557,21.0,1.5843887840252744,1.7413734769873686,1.0152163814637327,2.4382887720729327,3.447747794779601,3.373702422145329,2.2346368715083798,4.545454545454546,0.8888888888888888
duodenum,sampled_site_condition,healthy,epithelial,Tuft Cells,9,7,3,53.0,5,5.888888888888889,2.0,0.06012587323885353,-0.049510512897137815,-0.5942215309703673,0.6754142615415581,0.7963338168902816,0.21164021164021166,0.0,1.2589928057553956,0.5555555555555556
duodenum,sampled_site_condition,healthy,epithelial,Tuft Progenitors,9,7,3,16.0,3,1.7777777777777777,0.0,-0.621314583359111,-0.7287830296614306,-1.1669398926869468,-0.049510512897137815,0.2257636071820672,0.0,0.0,0.12453300124533001,0.3333333333333333
duodenum,sampled_site_condition,healthy,epithelial,Villus Tip Enterocytes,9,7,3,810.0,8,90.0,11.0,1.5245292825125705,1.1609220773232587,0.792072830149523,1.7413734769873686,6.48360912383992,1.675977653631285,0.8650519031141869,7.07070707070707,0.8888888888888888
duodenum,sampled_site_condition,healthy,lymphoid,CD4 Memory,4,4,3,950.0,3,237.5,198.0,2.7254751237058774,3.530218964211791,2.572384467218144,3.683309620699524,14.929502269782539,16.491830258685212,8.885017421602788,22.53631510686496,0.75
duodenum,sampled_site_condition,healthy,lymphoid,CD4 Naive,4,4,3,2.0,1,0.5,0.0,-1.2159557711016393,-1.3908297397532103,-1.7128637909342357,-0.893921719920614,0.019076688286913394,0.0,0.0,0.019076688286913394,0.25
duodenum,sampled_site_condition,healthy,lymphoid,CD4 Tfh,4,4,3,23.0,3,5.75,3.0,-0.09100335351907285,-0.06441467357609687,-0.16148441959142668,0.006066392496256956,0.2965302272692534,0.26875675366097906,0.14932802389248384,0.4159589570377486,0.75
duodenum,sampled_site_condition,healthy,lymphoid,CD4 Tfr,4,4,3,7.0,1,1.75,0.0,-0.9707484578487078,-0.9004151132473472,-1.3878031142010343,-0.4833604568950207,0.06676840900419688,0.0,0.0,0.06676840900419688,0.25
duodenum,sampled_site_condition,healthy,lymphoid,CD4 Th17,4,4,3,493.0,3,123.25,98.0,2.1890640902025105,2.5706632396023874,1.652498650713006,3.107228679091892,7.498391620549225,7.605046058420502,3.9202594429607025,11.183178236009025,0.75
duodenum,sampled_site_condition,healthy,lymphoid,CD4 Tr1,4,4,3,2.0,2,0.5,0.5,-1.1440352529886941,-1.2549100161910198,-1.5050235492591,-0.893921719920614,0.021982346134497018,0.019076688286913394,0.0,0.04105903442141041,0.5
duodenum,sampled_site_condition,healthy,lymphoid,CD4 pTreg,4,4,3,23.0,2,5.75,3.0,-0.28153836653079733,-0.06812672792241203,-0.3557314869494663,0.006066392496256956,0.23681586238500577,0.14932802389248384,0.0,0.38614388627748963,0.5
duodenum,sampled_site_condition,healthy,lymphoid,CD4 tTreg,4,4,3,15.0,2,3.75,1.0,-0.5561914386978248,-0.4986620594854978,-0.9912048822398689,-0.06364861594345372,0.14888647784701767,0.049776007964161276,0.0,0.19866248581117896,0.5
duodenum,sampled_site_condition,healthy,lymphoid,CD8 Circulating Effector Memory,4,4,3,108.0,3,27.0,22.5,0.8359855467746145,0.8324528381525163,0.14579905091930412,1.5226393340078266,1.2504673179609578,1.2991032738463715,0.38071065989847713,2.168859931908852,0.75
duodenum,sampled_site_condition,healthy,lymphoid,CD8 Effector Memory,4,4,3,28.0,3,7.0,7.5,0.15696641878050455,0.27844686235756066,-0.3699529566978117,0.8053662378358769,0.6980012715118638,0.3807741166277885,0.08584509729111026,0.992930290848542,0.75
duodenum,sampled_site_condition,healthy,lymphoid,CD8 IEL,4,4,3,91.0,3,22.75,7.0,0.6221545039592563,0.4456886746400577,0.19197562301504512,0.8758675555842689,1.0579544391313491,0.647003880170367,0.3359880537580886,1.3689702655436276,0.75
duodenum,sampled_site_condition,healthy,lymphoid,CD8 Memory Exhausted,4,4,3,0.0,0,0.0,0.0,-1.4906088432686668,-1.6014836064709925,-2.1981707298190454,-0.893921719920614,0.0,0.0,0.0,0.0,0.0
duodenum,sampled_site_condition,healthy,lymphoid,CD8 Naive,4,4,3,0.0,0,0.0,0.0,-1.4906088432686668,-1.6014836064709925,-2.1981707298190454,-0.893921719920614,0.0,0.0,0.0,0.0,0.0
duodenum,sampled_site_condition,healthy,lymphoid,CD8 TRM,4,4,3,2241.0,3,560.25,639.5,3.3910561889323434,4.3881674744156935,3.1001939337541455,4.679029729593891,34.94964653017565,42.065113703329295,27.184280808851586,49.830479424653355,0.75
duodenum,sampled_site_condition,healthy,lymphoid,GC B Dark Zone (GC B DZ),4,4,3,5.0,2,1.25,0.5,-0.9149625700201554,-0.7888433375902424,-1.3297445731097428,-0.37406133450065493,0.08045456100699092,0.07630675314765357,0.0,0.1567613141546445,0.5
duodenum,sampled_site_condition,healthy,lymphoid,GC B Light Zone (GC B LZ),4,4,3,1.0,1,0.25,0.0,-1.3173220481286805,-1.5935622938072926,-2.016962622015359,-0.893921719920614,0.009538344143456697,0.0,0.0,0.009538344143456697,0.25
duodenum,sampled_site_condition,healthy,lymphoid,Gamma Delta T Cells,4,4,3,1.0,1,0.25,0.0,-1.3173220481286805,-1.2549100161910198,-1.6783103443990863,-0.893921719920614,0.012444001991040319,0.0,0.0,0.012444001991040319,0.25
duodenum,sampled_site_condition,healthy,lymphoid,ILC3,4,4,3,6.0,3,1.5,1.5,-0.6960953856816805,-0.5617628356310749,-0.8837968868121004,-0.37406133450065493,0.09870987869319847,0.1128173885200687,0.057230064860740185,0.154297202352527,0.75
duodenum,sampled_site_condition,healthy,lymphoid,MAIT Cells,4,4,3,1.0,1,0.25,0.0,-1.3173220481286805,-1.5935622938072926,-2.016962622015359,-0.893921719920614,0.009538344143456697,0.0,0.0,0.009538344143456697,0.25
duodenum,sampled_site_condition,healthy,lymphoid,Memory B,4,4,3,74.0,3,18.5,7.5,0.38327664270239714,0.3129432981010365,-0.16023312075970342,0.856453061563137,0.7792795167716737,0.4330344246154572,0.12690355329949238,1.0854103880876385,0.75
duodenum,sampled_site_condition,healthy,lymphoid,NK Cells,4,4,3,37.0,3,9.25,4.5,0.20151445964349057,0.28215891670387583,-0.31416706886925927,0.7978404452166257,0.5980913544887764,0.49931859747929486,0.11446012972148037,0.9829498222465909,0.75
duodenum,sampled_site_condition,healthy,lymphoid,NKT Cells,4,4,3,192.0,4,48.0,49.5,1.4688380838679065,1.365884633329281,0.8389462314792494,1.995776485717938,14.818484135405875,4.044751688747451,2.928691274626197,15.934544549527129,1.0
duodenum,sampled_site_condition,healthy,lymphoid,Naive B,4,4,3,39.0,1,9.75,0.0,-0.5683889797401827,-0.6137208179101519,-1.3878031142010343,0.20569331655069978,0.37199542159481114,0.0,0.0,0.37199542159481114,0.25
duodenum,sampled_site_condition,healthy,lymphoid,Plasma Cells,4,4,3,55.0,3,13.75,5.0,0.21548457424210454,0.11021074404695419,-0.16023312075970342,0.48592843904876215,0.5835226888080782,0.308594404705054,0.12690355329949238,0.7652135402136399,0.75
duodenum,sampled_site_condition,healthy,lymphoid,Plasma IGA,4,4,3,823.0,4,205.75,147.5,2.186419080245952,2.2341330286057834,0.8389462314792494,3.5816058773724864,21.40668822805344,17.22115987404258,11.047726011290983,27.580122090805034,1.0
duodenum,sampled_site_condition,healthy,lymphoid,Plasma IGG,4,4,3,6.0,1,1.5,0.0,-1.0041313060048385,-0.9671808095596086,-1.3878031142010343,-0.5835090013634128,0.05723006486074017,0.0,0.0,0.05723006486074017,0.25
duodenum,sampled_site_condition,healthy,myeloid,Classical Monocytes,4,4,3,1.0,1,0.25,0.0,-0.46215875368608805,-0.45650299110516235,-0.6355396732779972,-0.2831220715132532,0.08333333333333334,0.0,0.0,0.08333333333333334,0.25
duodenum,sampled_site_condition,healthy,myeloid,Cycling Macrophages,4,4,3,3.0,2,0.75,0.5,-0.18750568151906055,-0.26095087898382996,-0.3808981275739194,-0.06755843292897112,0.3882113821138211,0.16666666666666669,0.0,0.5548780487804879,0.5
duodenum,sampled_site_condition,healthy,myeloid,Eosinophils,4,4,3,0.0,0,0.0,0.0,-0.6354455488260744,-0.6633666283883461,-0.7888755151074385,-0.5099366621069821,0.0,0.0,0.0,0.0,0.0
duodenum,sampled_site_condition,healthy,myeloid,Follicle Associated Resident Macrophages,4,4,3,0.0,0,0.0,0.0,-0.6354455488260744,-0.6633666283883461,-0.7888755151074385,-0.5099366621069821,0.0,0.0,0.0,0.0,0.0
duodenum,sampled_site_condition,healthy,myeloid,Homeostatic Macrophages,4,4,3,244.0,4,61.0,55.0,2.2794075933626674,2.338990499150266,0.7030709038729219,3.915327188640011,33.15672029060716,30.5,14.095744680851062,49.5609756097561,1.0
duodenum,sampled_site_condition,healthy,myeloid,M0 Macrophages,4,4,3,46.0,4,11.5,7.5,1.600365684457123,1.2845703476953279,1.1454491330509329,1.739486899101518,28.98914547656115,26.666666666666668,3.2621951219512195,52.3936170212766,1.0
duodenum,sampled_site_condition,healthy,myeloid,Mast Cells,4,4,3,203.0,3,50.75,28.5,2.11497939146965,2.3422669588137346,1.0496444941528948,3.4076018561304897,23.51202214149801,22.690710949662687,11.170212765957446,35.03252032520325,0.75
duodenum,sampled_site_condition,healthy,myeloid,Monocyte Derived Dendritic Cells (MO DC),4,4,3,0.0,0,0.0,0.0,-0.6354455488260744,-0.6633666283883461,-0.7888755151074385,-0.5099366621069821,0.0,0.0,0.0,0.0,0.0
duodenum,sampled_site_condition,healthy,myeloid,Neutrophils,4,4,3,0.0,0,0.0,0.0,-0.6354455488260744,-0.6633666283883461,-0.7888755151074385,-0.5099366621069821,0.0,0.0,0.0,0.0,0.0
duodenum,sampled_site_condition,healthy,myeloid,Nonclassical Monocytes,4,4,3,0.0,0,0.0,0.0,-0.6354455488260744,-0.6633666283883461,-0.7888755151074385,-0.5099366621069821,0.0,0.0,0.0,0.0,0.0
duodenum,sampled_site_condition,healthy,myeloid,Perivascular Resident Macrophages,4,4,3,1.0,1,0.25,0.0,-0.46215875368608816,-0.6633666283883461,-0.7888755151074385,-0.33664986696699584,4.166666666666666,0.0,0.0,4.166666666666666,0.25
duodenum,sampled_site_condition,healthy,myeloid,Tolerogenic cDC2,4,4,3,1.0,1,0.25,0.0,-0.46215875368608816,-0.46781451626701376,-0.7888755151074385,-0.14109775484566345,0.5319148936170213,0.0,0.0,0.5319148936170213,0.25
duodenum,sampled_site_condition,healthy,myeloid,cDC1,4,4,3,0.0,0,0.0,0.0,-0.6354455488260744,-0.6633666283883461,-0.7888755151074385,-0.5099366621069821,0.0,0.0,0.0,0.0,0.0
duodenum,sampled_site_condition,healthy,myeloid,cDC2,4,4,3,18.0,3,4.5,4.5,0.6627936638964781,0.8903416675131928,0.1776488803239601,1.3754864510857108,9.171985815602836,9.833333333333332,2.25,16.755319148936167,0.75
duodenum,sampled_site_condition,healthy,myeloid,migDC,4,4,3,0.0,0,0.0,0.0,-0.6354455488260744,-0.6633666283883461,-0.7888755151074385,-0.5099366621069821,0.0,0.0,0.0,0.0,0.0
duodenum,sampled_site_condition,healthy,myeloid,pDC,4,4,3,0.0,0,0.0,0.0,-0.6354455488260744,-0.6633666283883461,-0.7888755151074385,-0.5099366621069821,0.0,0.0,0.0,0.0,0.0
