segment,covariate,category,n_samples,n_donors,n_datasets,n_categories_excluding_unknown,n_datasets_with_multiple_categories,n_datasets_with_two_categories_each_n_ge_5,within_study_contrast_supported
duodenum,sampled_site_condition,healthy,10,8,4,1,0,0,False
duodenum,radial_tissue_term,EPI,3,3,1,3,0,0,False
duodenum,radial_tissue_term,EPI_LP,2,2,1,3,0,0,False
duodenum,radial_tissue_term,EPI_LP_MUSC,5,3,2,3,0,0,False
duodenum,sample_preservation_method,ambient temperature,10,8,4,1,0,0,False
duodenum,sex_ontology_term,female,2,2,2,2,2,0,False
duodenum,sex_ontology_term,male,8,6,4,2,2,0,False
duodenum,age_range,20-29,1,1,1,4,2,0,False
duodenum,age_range,40-49,2,2,2,4,2,0,False
duodenum,age_range,50-59,3,3,3,4,2,0,False
duodenum,age_range,60-69,4,2,1,4,2,0,False
duodenum,assay,10x 3' v2,6,4,2,3,0,0,False
duodenum,assay,10x 3' v3,3,3,1,3,0,0,False
duodenum,assay,10x 5' v1,1,1,1,3,0,0,False
duodenum,sample_collection_method,biopsy,2,2,1,2,0,0,False
duodenum,sample_collection_method,surgical resection,8,6,3,2,0,0,False
duodenum,sequenced_fragment,3 prime tag,9,7,3,2,0,0,False
duodenum,sequenced_fragment,5 prime tag,1,1,1,2,0,0,False
duodenum,gene_annotation_version,v104,3,3,1,2,0,0,False
duodenum,gene_annotation_version,v98,7,5,3,2,0,0,False
jejunum,sampled_site_condition,healthy,45,26,4,1,0,0,False
jejunum,radial_tissue_term,EPI,21,21,3,3,2,1,True
jejunum,radial_tissue_term,EPI_LP_MUSC,4,3,1,3,2,1,True
jejunum,radial_tissue_term,LP,20,20,2,3,2,1,True
jejunum,sample_preservation_method,ambient temperature,45,26,4,1,0,0,False
jejunum,sex_ontology_term,female,21,11,3,2,3,1,True
jejunum,sex_ontology_term,male,24,15,4,2,3,1,True
jejunum,age_range,20-29,15,8,2,6,4,0,False
jejunum,age_range,30-39,2,1,1,6,4,0,False
jejunum,age_range,40-49,5,4,3,6,4,0,False
jejunum,age_range,50-59,8,5,3,6,4,0,False
jejunum,age_range,60-69,9,5,3,6,4,0,False
jejunum,age_range,70-79,6,3,2,6,4,0,False
jejunum,assay,10x 3' v2,4,3,1,3,0,0,False
jejunum,assay,10x 3' v3,33,19,2,3,0,0,False
jejunum,assay,10x 5' v2,8,5,1,3,0,0,False
jejunum,sample_collection_method,surgical resection,45,26,4,1,0,0,False
jejunum,sequenced_fragment,3 prime tag,37,22,3,2,0,0,False
jejunum,sequenced_fragment,5 prime tag,8,5,1,2,0,0,False
jejunum,gene_annotation_version,v104,3,3,1,2,0,0,False
jejunum,gene_annotation_version,v98,42,23,3,2,0,0,False
ileum,sampled_site_condition,adjacent,117,55,7,2,2,2,True
ileum,sampled_site_condition,healthy,135,119,9,2,2,2,True
ileum,radial_tissue_term,EPI,49,34,5,5,4,2,True
ileum,radial_tissue_term,EPI_LP,110,99,6,5,4,2,True
ileum,radial_tissue_term,EPI_LP_MUSC,16,11,3,5,4,2,True
ileum,radial_tissue_term,LP,64,46,4,5,4,2,True
ileum,radial_tissue_term,WM,13,13,1,5,4,2,True
ileum,sample_preservation_method,ambient temperature,250,172,13,2,0,0,False
ileum,sample_preservation_method,frozen at -80C,2,2,1,2,0,0,False
ileum,sex_ontology_term,female,120,85,12,2,11,5,True
ileum,sex_ontology_term,male,121,78,12,2,11,5,True
ileum,sex_ontology_term,unknown,11,11,1,2,11,5,True
ileum,age_range,0-9,10,7,2,8,9,3,True
ileum,age_range,10-19,20,20,3,8,9,3,True
ileum,age_range,20-29,18,7,4,8,9,3,True
ileum,age_range,30-39,30,18,3,8,9,3,True
ileum,age_range,40-49,23,18,6,8,9,3,True
ileum,age_range,50-59,58,37,8,8,9,3,True
ileum,age_range,60-69,55,30,8,8,9,3,True
ileum,age_range,70-79,21,20,5,8,9,3,True
ileum,age_range,unknown,17,17,2,8,9,3,True
ileum,assay,10x 3' v2,68,49,7,3,0,0,False
ileum,assay,10x 3' v3,177,118,5,3,0,0,False
ileum,assay,10x 5' v1,7,7,2,3,0,0,False
ileum,sample_collection_method,biopsy,214,143,7,2,1,1,True
ileum,sample_collection_method,surgical resection,38,31,8,2,1,1,True
ileum,sequenced_fragment,3 prime tag,245,167,12,2,0,0,False
ileum,sequenced_fragment,5 prime tag,7,7,2,2,0,0,False
ileum,gene_annotation_version,v104,3,3,1,2,0,0,False
