segment,covariate,lineage,celltype,analysis_type,n_categories_tested,categories_tested,n_samples,n_donors,n_datasets,omega_squared,kruskal_p_value,highest_median_pct_category,highest_median_within_lineage_pct,lowest_median_pct_category,lowest_median_within_lineage_pct,n_datasets_with_multiple_categories,n_datasets_with_two_categories_each_n_ge_5,within_study_contrast_supported,spearman_age_rho,spearman_age_p_value,kruskal_fdr_within_segment_covariate,spearman_age_fdr_within_segment_covariate
duodenum,radial_tissue_term,epithelial,BEST4 Colonocytes,descriptive,3,EPI | EPI_LP | EPI_LP_MUSC,9,7,3,0.47966411141478515,,EPI_LP,0.05916015614092891,EPI,0.0,0,0,False,,,,
duodenum,radial_tissue_term,epithelial,BEST4 Enterocytes,descriptive,3,EPI | EPI_LP | EPI_LP_MUSC,9,7,3,0.6909365319795299,,EPI,3.7037037037037033,EPI_LP_MUSC,0.4325259515570934,0,0,False,,,,
duodenum,radial_tissue_term,epithelial,Brunners Gland Cells,descriptive,3,EPI | EPI_LP | EPI_LP_MUSC,9,7,3,0.46751786814941076,,EPI_LP_MUSC,2.4815874427325975,EPI,0.0,0,0,False,,,,
duodenum,radial_tissue_term,epithelial,Colonocyte Progenitors,descriptive,3,EPI | EPI_LP | EPI_LP_MUSC,9,7,3,0.706634305133718,,EPI,0.0,EPI,0.0,0,0,False,,,,
duodenum,radial_tissue_term,epithelial,Crypt Top Colonocytes,descriptive,3,EPI | EPI_LP | EPI_LP_MUSC,9,7,3,0.5757066948093379,,EPI_LP,0.028026905829596414,EPI,0.0,0,0,False,,,,
duodenum,radial_tissue_term,epithelial,EEC Enterochromaffin (EC),descriptive,3,EPI | EPI_LP | EPI_LP_MUSC,9,7,3,0.0,,EPI,0.5291005291005291,EPI_LP_MUSC,0.0,0,0,False,,,,
duodenum,radial_tissue_term,epithelial,EEC L,descriptive,3,EPI | EPI_LP | EPI_LP_MUSC,9,7,3,0.6961915597858483,,EPI,0.8992805755395683,EPI_LP_MUSC,0.0,0,0,False,,,,
duodenum,radial_tissue_term,epithelial,EEC N,descriptive,3,EPI | EPI_LP | EPI_LP_MUSC,9,7,3,0.5991608789139088,,EPI,0.0,EPI,0.0,0,0,False,,,,
duodenum,radial_tissue_term,epithelial,EEC Progenitors,descriptive,3,EPI | EPI_LP | EPI_LP_MUSC,9,7,3,0.6075005164267087,,EPI,0.33670033670033667,EPI_LP_MUSC,0.0,0,0,False,,,,
duodenum,radial_tissue_term,epithelial,EEC S,descriptive,3,EPI | EPI_LP | EPI_LP_MUSC,9,7,3,0.5991608789139088,,EPI,0.0,EPI,0.0,0,0,False,,,,
duodenum,radial_tissue_term,epithelial,Enterocyte Progenitors,descriptive,3,EPI | EPI_LP | EPI_LP_MUSC,9,7,3,0.0,,EPI_LP_MUSC,10.512072065106029,EPI_LP,5.87880928580603,0,0,False,,,,
duodenum,radial_tissue_term,epithelial,Enteroendocrine Cells (EEC),descriptive,3,EPI | EPI_LP | EPI_LP_MUSC,9,7,3,0.5991608789139088,,EPI,0.0,EPI,0.0,0,0,False,,,,
duodenum,radial_tissue_term,epithelial,Epithelial,descriptive,3,EPI | EPI_LP | EPI_LP_MUSC,9,7,3,0.5757066948093379,,EPI_LP,0.028026905829596414,EPI,0.0,0,0,False,,,,
duodenum,radial_tissue_term,epithelial,Foveolar Cells,descriptive,3,EPI | EPI_LP | EPI_LP_MUSC,9,7,3,0.706634305133718,,EPI,0.0,EPI,0.0,0,0,False,,,,
duodenum,radial_tissue_term,epithelial,Goblet Cells,descriptive,3,EPI | EPI_LP | EPI_LP_MUSC,9,7,3,0.8264929728326618,,EPI,2.751322751322751,EPI_LP_MUSC,0.0,0,0,False,,,,
duodenum,radial_tissue_term,epithelial,Intestinal Stem Cells (ISC),descriptive,3,EPI | EPI_LP | EPI_LP_MUSC,9,7,3,0.8692541899278204,,EPI,9.352517985611511,EPI_LP_MUSC,0.17301038062283738,0,0,False,,,,
duodenum,radial_tissue_term,epithelial,Lower Crypt Colonocytes,descriptive,3,EPI | EPI_LP | EPI_LP_MUSC,9,7,3,0.35373768891911933,,EPI_LP,0.09029340645226142,EPI,0.0,0,0,False,,,,
duodenum,radial_tissue_term,epithelial,Lower Villus Enterocytes,descriptive,3,EPI | EPI_LP | EPI_LP_MUSC,9,7,3,0.0,,EPI,55.93525179856115,EPI_LP,29.857729422736487,0,0,False,,,,
duodenum,radial_tissue_term,epithelial,Mature Goblet Cells,descriptive,3,EPI | EPI_LP | EPI_LP_MUSC,9,7,3,0.753755380614737,,EPI_LP,1.1209366221959134,EPI_LP_MUSC,0.0,0,0,False,,,,
duodenum,radial_tissue_term,epithelial,Microfold Cells (M Cells),descriptive,3,EPI | EPI_LP | EPI_LP_MUSC,9,7,3,0.19639352905648066,,EPI_LP,0.031133250311332503,EPI,0.0,0,0,False,,,,
duodenum,radial_tissue_term,epithelial,Mid Crypt Colonocytes,descriptive,3,EPI | EPI_LP | EPI_LP_MUSC,9,7,3,0.706634305133718,,EPI,0.0,EPI,0.0,0,0,False,,,,
duodenum,radial_tissue_term,epithelial,Mid Villus Enterocytes,descriptive,3,EPI | EPI_LP | EPI_LP_MUSC,9,7,3,0.0,,EPI_LP_MUSC,52.37430167597765,EPI,10.251798561151078,0,0,False,,,,
duodenum,radial_tissue_term,epithelial,Paneth Cells,descriptive,3,EPI | EPI_LP | EPI_LP_MUSC,9,7,3,0.31420979823083905,,EPI,0.21164021164021166,EPI_LP_MUSC,0.0,0,0,False,,,,
duodenum,radial_tissue_term,epithelial,Secretory Progenitors,descriptive,3,EPI | EPI_LP | EPI_LP_MUSC,9,7,3,0.7548424233338278,,EPI_LP,2.0301531811759714,EPI_LP_MUSC,0.043252595155709346,0,0,False,,,,
duodenum,radial_tissue_term,epithelial,Transiently Amplifying Cells (TA),descriptive,3,EPI | EPI_LP | EPI_LP_MUSC,9,7,3,0.1247485786708152,,EPI_LP,5.299633102323686,EPI_LP_MUSC,2.501401480736889,0,0,False,,,,
duodenum,radial_tissue_term,epithelial,Tuft Cells,descriptive,3,EPI | EPI_LP | EPI_LP_MUSC,9,7,3,0.45302232644040724,,EPI,1.2589928057553956,EPI_LP_MUSC,0.0,0,0,False,,,,
