author_cell_type,closest_GCA_celltype,cell_type_ontology_term_id,worksheet,column_4
stromal 1 fibroblasts,Fibroblasts,,Egozi2023_HCA_tier,
monocytes/macrophages,Monocytes,,Egozi2023_HCA_tier,
B cells,B Cell Lineage,,Egozi2023_HCA_tier,
stromal 3 fibroblasts,Fibroblasts,,Egozi2023_HCA_tier,
stromal 2 fibroblasts,Fibroblasts,,Egozi2023_HCA_tier,
lymphatic endothelial cells,Endothelial Lymphatic,,Egozi2023_HCA_tier,
blood endothelial cells,Endothelial,,Egozi2023_HCA_tier,
pericytes,Pericytes,,Egozi2023_HCA_tier,
enterocyte,Enterocytes,,Egozi2023_HCA_tier,
Goblet,Secretory Goblet Cells,,Egozi2023_HCA_tier,
erythrocytes,Red Blood Cells (RBC),,Egozi2023_HCA_tier,
cDCs,Dendritic Cells (DC),,Egozi2023_HCA_tier,
CD4 T cells,CD4 T,,Egozi2023_HCA_tier,
glial cells,Glia,,Egozi2023_HCA_tier,
T cell,T Cells,,Egozi2023_HCA_tier,
plasma cells,Plasma Cells,,Egozi2023_HCA_tier,
stromal,Stromal,,Egozi2023_HCA_tier,
proliferating,Epithelial,,Egozi2023_HCA_tier,
smooth muscle cells,Smooth Muscle Cells (SMC),,Egozi2023_HCA_tier,
ILCs,ILC,,Egozi2023_HCA_tier,
proliferating cells,Cycling Epithelial Cells,,Egozi2023_HCA_tier,
stromal 4 fibroblasts,Fibroblasts,,Egozi2023_HCA_tier,
CD8 T cells/NK cells,CD8 T,,Egozi2023_HCA_tier,
UM,unknown,,Egozi2023_HCA_tier,
plasma cell,Plasma Cells,,Egozi2023_HCA_tier,
early enterocyte,Enterocytes Early,,Egozi2023_HCA_tier,
CD8+T cell,CD8 T,,Egozi2023_HCA_tier,
B cell,B Cell Lineage,,Egozi2023_HCA_tier,
BEST4+ enterocyte,Enterocytes BEST4,,Egozi2023_HCA_tier,
High mt,Enterocytes,,Egozi2023_HCA_tier,
stem/TA/undiff,Epithelial Stem Cells (LGR5+),,Egozi2023_HCA_tier,
EECs,Enteroendocrine Cells (EEC),,Egozi2023_HCA_tier,
inf.macrophage,Macrophages,,Egozi2023_HCA_tier,
paneth,Secretory Paneth Cells,,Egozi2023_HCA_tier,
TA/undiff,Transiently Amplifying Cells (TA),,Egozi2023_HCA_tier,
T cell/NK,Lymphoid,,Egozi2023_HCA_tier,
tuft,Secretory Tuft Cells,,Egozi2023_HCA_tier,
undiff/early enterocyte,Enterocytes Early,,Egozi2023_HCA_tier,
undiff,Transiently Amplifying Cells (TA),,Egozi2023_HCA_tier,
mast cells,Granulocytes Mast Cells,,Egozi2023_HCA_tier,
PDCs,DC pDC,,Egozi2023_HCA_tier,
res.macrophages,Macrophages,,Egozi2023_HCA_tier,
enterocytes,Enterocytes,,Egozi2023_HCA_tier,
Glial,Glia,,KarakashevaHelmsley_HCA_tier,
