column_0,dataset_id,consortia,study_pi,contact_email,batch_condition,default_embedding,sequencing_platform,assay_ontology_term,assay_ontology_term_id,reference_genome,alignment_software,intron_inclusion,ambient_count_correction,doublet_detection,sequenced_fragment,gene_annotation_version,comments,description,publication_doi,protocol_url,worksheet
"",Egozi2023,"","liza,konnikova",liza.konnikova@yale.edu,donor_id,umap,Illumina,10x 3' v3,EFO:0009922,GRCh38,cellranger_4.0.0,no,none,none,3 prime tag,v98,"","",10.1371/journal.pbio.3002124,,Egozi2023_HCA_tier
"",KarakashevaHelmlsey,HCA,"karakasheva,tatiana",karakashet@chop.edu,sample_id,umap,Illumina,"","",GRCh38,cell_ranger_3.1.0,no,decontX,doublet_finder,"","","","In total, we processed endoscopically non-inflamed biopsies from the ascending colon from 19 patients with Crohn’s disease and 23 control subjects.",,,KarakashevaHelmsley_HCA_tier
"",Elmentaite2020,HCA,"sarah,teichmann",st9@sanger.ac.uk,doi,umap,"","","",GRCh38-2020-A,STARsolo_2.7.10a_alpha_220818,no,no,"","",v98,re-aligned by PanGI,"",10.1038/s41586-021-03852-1,,Elmentaite2021_HCA_tier
"",Nowicki2021,"","rebecca,fitzgerald",rcf29@cam.ac.uk,"",umap,"","","",GRCh38,CellRanger_v3.0.1,no,no,manual,"",v92,"","",10.1126/science.abd1449,,Nowicki2021_HCA_tier
"",Luoma2020,"","kai,w,wucherpfennig",kai_wucherpfennig@dfci.harvard.edu,none,umap,"","","",GRCh38,scRNA-seq: Cell Ranger (v3.0.2); scTCR-se: Cell Ranger (v3.1.0),no,none,DoubletFinder (v2.0.2),"","scRNA-seq: human reference genome (GRCh38, v3.0.0, from 10X Genomics); scTCR-seq: human GRCh38 V(D)J reference genome (v3.1.0, from 10X Genomics)","","",10.1016/j.cell.2020.06.001,,Luoma2020_HCA_tier
"",snRNAseq,HCA,"michael,snyder",mpsnyder@stanford.edu,donor_id,"",Illumina,10x 3' v1,EFO:0009901,GRCh38,cellranger_7.0.0,no,decontX,doublet_finder,3 prime tag,"","","We performed snRNA-seq on 8 regions of of the human intestine (duodenum, proximal-jejunum, mid-jejunum, ileum, ascending colon, transverse colon, descending colon, and sigmoid colon) from 9 healthy donors (B001, B004, B005, B006, B008, B009, B010, B011, and B012)",10.1038/s41586-023-05915-x,,Hickey2023_HCA_tier
"",multiome,HCA,"michael,snyder",mpsnyder@stanford.edu,donor_id,"",Illumina,10x Chromium Next GEM Single Cell Multiome ATAC + Gene Expression,"",GRCh38,cellranger_7.0.0,no,decontX,doublet_finder,3 prime tag,"","","We performed snRNA-seq on 8 regions of of the human intestine (duodenum, proximal-jejunum, mid-jejunum, ileum, ascending colon, transverse colon, descending colon, and sigmoid colon) from 9 healthy donors (B001, B004, B005, B006, B008, B009, B010, B011, and B012)",10.1038/s41586-023-05915-x,,Hickey2023_HCA_tier
"",Domanska2022,HCA,"Domanska, Diana; Jahnsen, Frode; Baekkevold, Espen",fjahnsen@uio.no,donor_id,umap,Illumina,10x 3' v2,EFO:0009899,GRCh38,cellranger_3.0.0,no,none,doublet_finder,3 prime tag,"","",Purified colonic macrophages from mucosa and teniae.,10.1084/jem.20211846,,Domanska2022_HCA_tier
"",BasuGCARNA,HCA,"anindita,basu",onibasu@uchicago.edu,Patient,umap,Illumina,10x 3' v3,"10x 3' v3        ""EFO:0009922""",GRCh38,cellranger 7.0.1,yes,none,scrublet,3 prime tag,gencode.v32.primary_assembly.annotation,none,A single cell dataset with 14 non-IBD healthy controls,not_applicable,dx.doi.org/10.17504/protocols.io.q26g7bxqklwz/v5,BasuHelmsley_HCA_tier
"",Boland2020,"","chang,john",jtc007@health.ucsd.edu,-,umap,"","","",GRCh38,cellranger_2.1.0,no,none,none,"","","","",10.1126/sciimmunol.abb4432,,Boland2020_HCA_tier
