hgca_celltype_level1,hgca_celltype_level2,hgca_celltype_level3,hgca_celltype_level4,hgca_celltype_level5,hgca_celltype_v1,hgca_celltype_v0,Markers,Negative markers (careful if QC differences change presence),Comments,"please add 👍 if you agree with the cell type label and marker genes, otherwise add comment","""True"" if disagreement, here we track if we had any disagreement on the labels, because it may help point us to interesting areas for analysis",Other names for the same thing,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,cell_ontology_fillins
Epithelial,,,,,Epithelial,Epithelial,"KRT (KRT19, KRT20), EPCAM, ELF3",,"JC - KRT20 is a differentiation marker of epithelial cells, very few progenitors will express KRT20
IA_group: Potentially split entire Epithelial in SI and LI (secretory often more similar across the intesine, absorptive more distinct, but is this consitent? -> let the data tell us) JRT - There are considerable differences across the cephalo-caudal axis in epitheial cells (both absoptive and secretory) at level 2 and 3 - the vast majority of markers here refer to the colon. Would therefore split into at least 3. The SI data here is largely is derived from the ileum and differentiated subtypes are functionally different to the duodenum/jejunum.",,,,CL:0002251,epithelial cell of ailmentary canal,UBERON: 0000483,epithelium,updated to 'epithelial cell of alimentary canal' as grouping ,CL:0002251
Epithelial,Absorptive Epithelial,,,,Absorptive Epithelial,Absorptive Epithelial,,,"KK - for overall hierarchy consistency, we need broader labels for level 2 of epithelium",,,,,,,,,
Epithelial,Absorptive Epithelial,Enterocytes,,,Enterocytes,Enterocytes,"REG1A, CCL25",,AA - I don't think REG1A is a pan-enterocyte marker. Added CCL25 as is a good differentiator between colonocytes and enterocytes,👍👍,,,CL:0000584,enterocyte,UBERON:0001277,intestinal epithelium ,,CL:0000584
Epithelial,Absorptive Epithelial,Enterocytes,Enterocyte Progenitors,,Enterocyte Progenitors,,"OLFM4, ADH1C, REG1A, LCN2",,,,,,,,UBERON:0001277,intestinal epithelium ,,
Epithelial,Absorptive Epithelial,Enterocytes,Lower Villus Enterocytes,,Lower Villus Enterocytes,Enterocytes Early,"ALDOB, ANPEP, PRAP1, FABP1",,"IA_group: make difference to TA clear (TA markers: MCM5, TOP2A, CCNA2, PCLAF, HELLS, PCNA, MKI67)",,,,CL:4047019,early enterocyte,UBERON:0001277,intestinal epithelium ,https://github.com/obophenotype/cell-ontology/pull/2604,CL:4047019
Epithelial,Absorptive Epithelial,Enterocytes,Mid Villus Enterocytes,,Mid Villus Enterocytes,Enterocytes,"APOA1, APOC3, ALDOB, ANPEP",,,,,,,,,,,
Epithelial,Absorptive Epithelial,Enterocytes,Villus Tip Enterocytes,,Villus Tip Enterocytes,Enterocytes Late,"APOA1, APOC3, APOB, GUCA2A, CDHR5, DUOX2",,"AA - DUOX2 is often inflammation induced, care is needed",👍👍👍,,Mature,CL:0000584,enterocyte,UBERON:0001277,intestinal epithelium ,Decided late enterocytes are what the CL term enterocyte is refering to in the ontology.   added DUOX2,CL:0000584
Epithelial,Absorptive Epithelial,Enterocytes,BEST4 Enterocytes,,BEST4 Enterocytes,Enterocytes BEST4,"BEST4, OTOP2, KLK15, SPIB, CA7, CFTR",,,👍👍,,,CL:4047051,small intestine BEST4+ enterocyte,UBERON:0001277,intestinal epithelium ,Distinguish BEST 4 enterocytes from BEST 4 colonocytes https://github.com/obophenotype/cell-ontology/issues/2410,CL:4047051
Epithelial,Absorptive Epithelial,Colonocytes,,,Colonocytes,Colonocytes,"ADH1C, CD24? 
VG: CA1, CA2, PLA2G2A
CL: PLAC8",,"AA - suggest splitting into maturity groups like enterocytes? There are location specific markers for each. 
VG: I agree, a possibility could be using AQP8+ as marker of the most differentiated/top-crypt colonocyte. In that sense, I think ADH1C is a marker of AQP8-/less differentiated colonocyte. JRT -AQP8 is a marker of surface colonocytes",,,,CL:1000347,enterocyte of colon,UBERON:0000397,colonic epithelium ,,CL:1000347
Epithelial,Absorptive Epithelial,Colonocytes,Colonocyte Progenitors,,Colonocyte Progenitors,,"NOTCH1, EDN1",,,,,,,,,,,
Epithelial,Absorptive Epithelial,Colonocytes,Lower Crypt Colonocytes,,Lower Crypt Colonocytes,Colonocytes Early,"LEFTY1, ADH1C",,VG: easier to identify them by the lack of expression of maturation markers,👍,,,CL:4047018,early colonocyte,UBERON:0000397,colonic epithelium ,https://github.com/obophenotype/cell-ontology/pull/2604,CL:4047018
Epithelial,Absorptive Epithelial,Colonocytes,Mid Crypt Colonocytes,,Mid Crypt Colonocytes,Colonocytes,"CEACAM5, LEFTY1, ADH1C, SPINK5, AQP8",,,,,,,,,,,
Epithelial,Absorptive Epithelial,Colonocytes,Crypt Top Colonocytes,,Crypt Top Colonocytes,Colonocytes Late,"CEACAM5, FABP1, AQP8, TFF1, SLC26A3, CEACAM7, GUCA2A",,"VG: TFF1 seems more like a marker of maduration, works well as well to identify mature goblet cells. Shown nicely in this paper by IF doi: 10.1084/jem.20191130.",,,,CL:1000347,enterocyte of colon,UBERON:0000397,colonic epithelium ,Decided late colonocytes are what the CL term colonocyte is refering to in the ontology.   added DUOX2,CL:1000347
Epithelial,Absorptive Epithelial,Colonocytes,BEST4 Colonocytes,,BEST4 Colonocytes,Colonocytes BEST4,"BEST4,  SPIB, OTOP2, CA7",,,👍,,,CL:4047052,BEST4+ colonocyte,UBERON:0000397,colonic epithelium ,Require published lterure on this cell. Ticket iceboxed until then. https://github.com/obophenotype/cell-ontology/pull/2609,CL:4047052
Epithelial,Follicle associated enterocyte (FAE),,,,Follicle associated enterocyte (FAE),Follicle associated enterocyte (FAE),"CCL20, IL15, CCL25, ANPEP",,RZ: share some markers with microfold and enterocytes,👍,,,CL:4052011,follicle associated enterocyte ,UBERON:8700001,follicle associated epithelium ,https://github.com/obophenotype/cell-ontology/issues/2587,CL:4052011
Epithelial,Follicle associated enterocyte (FAE),Microfold Cells (M Cells),,,Microfold Cells (M Cells),Microfold Cells (M Cells),"TGM2, NOS2, CCL20, REG3G, RANK, GP2, SPIB, SOX8, CLU, TNFAIP2, CCL23, MIA, ICAM2, GP2",,"VG: at least in the colon, only SOX8 is specific. SPIB is also shared by BEST4 enterocytes, and TGM2, NOS2, CCL20, REG3G, RANK, GP2 and CLU are not specific (colon).     
RZ: GP2 is a mandatory marker, not sure if microfold exist in healthy colon,can be confused with FAE. AA - GP2 seems a bit hit and miss as a marker in human RNA data",👍,,,CL:0000682,M cell of gut,UBERON:8700001,follicle associated epithelium ,,CL:0000682
Epithelial,Enteroendocrine Cells (EEC),,,,Enteroendocrine Cells (EEC),Enteroendocrine Cells (EEC),"CHGA, CHGB, NEUROD1, PCSK1N, FXYD3, CPE, SCG5, CA2, SLC26A2, SLC4A4",,JC - Missing Ghrelin/Motilin+ subset which makes up a significant number of proximal EECs (X and M cells respectively but in my experience these are always coexpressed in the same cluster),👍👍,,,CL:0000164,enteroendocrine cell,UBERON:0006799,glandular epithelium ,,CL:0000164
Epithelial,Enteroendocrine Cells (EEC),EEC Progenitor,,,EEC Progenitors,EEC Progenitor,NEUROG3,,AA -added,👍👍,,,CL:4052006,intestinal enteroendocrine progenitor,UBERON:0006799,glandular epithelium ,Add new term: ECC progenitor https://github.com/obophenotype/cell-ontology/issues/2586,CL:4052006
Epithelial,Enteroendocrine Cells (EEC),I Cells (CCK+),,,EEC I,EEC I Cells (CCK+),CCK,,,👍👍,,,CL:0002277,type I enteroendocrine cell,UBERON:0006799,glandular epithelium ,,CL:0002277
Epithelial,Enteroendocrine Cells (EEC),S Cells (SCT+),,,EEC S,EEC S Cells (SCT+),SCT,,,👍👍,,,CL:0002281,type S enteroendocrine cell ,UBERON:0006799,glandular epithelium ,Recent evidence suggests that this may not be a cell type.  Multiple EEC lineages express SCT.  https://github.com/obophenotype/cell-ontology/issues/2902#issuecomment-2591998390,CL:0000164
Epithelial,Enteroendocrine Cells (EEC),Mo Cells (MLN+),,,EEC Mo,EEC Mo Cells (MLN+),MLN,,KK - added: Motilin producing enteroendocrine cells of the small intestine,👍👍,,,CL:0002502,type M enteroendocrine cell,UBERON:0006799,glandular epithelium ,https://github.com/obophenotype/cell-ontology/issues/2901,CL:0002502
Epithelial,Enteroendocrine Cells (EEC),Enterochromaffin Cells,,,EEC Enterochromaffin (EC),EEC Enterochromaffin Cells,"CHGA, TPH1, GULP1, IGFBP3",,"VG: CHGA, shared by L cells too",👍👍,,,CL:0000577,type EC enteroendocrine cell,UBERON:0006799,glandular epithelium ,,CL:0000577
Epithelial,Enteroendocrine Cells (EEC),L Cells (PYY+),,,EEC L,EEC L Cells (PYY+),"PYY, INSL5, GCG, TNNC1",,,👍👍,,,CL:0002279,type L enteroendocrine cell,UBERON:0006799,glandular epithelium ,,CL:0002279
Epithelial,Enteroendocrine Cells (EEC),K Cells (GIP+),,,EEC K,EEC K Cells (GIP+),GIP,,,👍👍,,,CL:0002278,GIP cell,UBERON:0006799,glandular epithelium ,,CL:0002278
Epithelial,Enteroendocrine Cells (EEC),D Cells (SST+),,,EEC D,EEC D Cells (SST+),SST,,,👍👍,,,CL:0000502,type D enteroendocrine cell,UBERON:0006799,glandular epithelium ,,CL:0000502
Epithelial,Enteroendocrine Cells (EEC),N Cells (NTS+),,,EEC N,EEC N Cells,NTS,,AA - added,👍👍,,,CL:0002280,type N enteroendocrine cell,UBERON:0006799,glandular epithelium ,,CL:0002280
Epithelial,Enteroendocrine Cells (EEC),Gastric Enteroendocrine Cells,,,EEC Gastric,EEC Gastric Enteroendocrine Cells,,,,,,,CL:1001517,stomach enteroendocrine cell,UBERON:0006799,glandular epithelium ,,CL:1001517
