celltype,lineage,is_follicle_tlo,n_A,n_B,mean_CLR_A,mean_CLR_B,delta_CLR_B_minus_A,p_value,p_adj,neglog10_p_adj,analysis_type
CD4 Tr1,lymphoid,False,10,5,-0.910447222585676,-0.38002191121342677,0.5304253113722492,0.007992007992007992,0.3126104664566203,0.5049964855354485,inferential
Intestinal Stem Cells (ISC),epithelial,False,24,5,0.14289172261149172,-0.2595163724010631,-0.4024080950125548,0.016832221147242695,0.3126104664566203,0.5049964855354485,inferential
Goblet Cells,epithelial,False,24,5,0.5281219901179056,-0.2595163724010631,-0.7876383625189687,0.03634084686760636,0.3126104664566203,0.5049964855354485,inferential
Naive B,lymphoid,False,10,5,0.8529100596828705,-0.38002191121342677,-1.2329319708962974,0.03996003996003995,0.3126104664566203,0.5049964855354485,inferential
Mid Crypt Colonocytes,epithelial,False,24,5,-0.05908043335259422,1.5301488368535328,1.589229270206127,0.04172766923625751,0.3126104664566203,0.5049964855354485,inferential
NKT Cells,lymphoid,False,10,5,-0.31005851587502214,0.7185903774546828,1.0286488933297049,0.05527805527805527,0.3126104664566203,0.5049964855354485,inferential
Memory B,lymphoid,False,10,5,0.9786559555738054,-0.16029945347980493,-1.1389554090536103,0.05527805527805527,0.3126104664566203,0.5049964855354485,inferential
ILC3,lymphoid,False,10,5,-0.5808635359852431,-0.38002191121342677,0.20084162477181633,0.05527805527805527,0.3126104664566203,0.5049964855354485,inferential
CD4 Tfr,lymphoid,True,10,5,-0.8005859937188651,-0.38002191121342677,0.4205640825054383,0.05527805527805527,0.3126104664566203,0.5049964855354485,inferential
Tuft Cells,epithelial,False,24,5,0.06881965506909103,-0.2595163724010631,-0.32833602747015417,0.07183825036208748,0.3126104664566203,0.5049964855354485,inferential
Enterocyte Progenitors,epithelial,False,24,5,-0.08036483434284385,-0.2595163724010631,-0.17915153805821926,0.07183825036208748,0.3126104664566203,0.5049964855354485,inferential
CD8 TRM,lymphoid,False,10,5,0.4597897629130724,-0.38002191121342677,-0.8398116741264992,0.07525807525807525,0.3126104664566203,0.5049964855354485,inferential
GC B Dark Zone (GC B DZ),lymphoid,True,10,5,0.9147774327888379,0.009160118597635858,-0.9056173141912021,0.07525807525807525,0.3126104664566203,0.5049964855354485,inferential
Villus Tip Enterocytes,epithelial,False,24,5,0.03247059070308158,-0.2595163724010631,-0.2919869631041447,0.08166241308453767,0.3149835933260739,0.501712066888238,inferential
BEST4 Colonocytes,epithelial,False,24,5,0.4496047678838737,1.145591290526641,0.6959865226427673,0.10849318331453234,0.3394578397710028,0.469214156852695,inferential
CD4 Naive,lymphoid,False,10,5,-0.3706309524339009,-0.16029945347980484,0.21033149895409603,0.12920412920412921,0.3394578397710028,0.469214156852695,inferential
Plasma IGA,lymphoid,False,10,5,0.41010827424343316,1.7645214031000034,1.3544131288565702,0.12920412920412921,0.3394578397710028,0.469214156852695,inferential
Enteroendocrine Cells (EEC),epithelial,False,24,5,-0.12614034637068175,-0.2595163724010631,-0.13337602603038137,0.13231467001608443,0.3394578397710028,0.469214156852695,inferential
EEC L,epithelial,False,24,5,-0.10485594538043214,-0.2595163724010631,-0.154660427020631,0.13231467001608443,0.3394578397710028,0.469214156852695,inferential
EEC Enterochromaffin (EC),epithelial,False,24,5,-0.12614034637068175,-0.2595163724010631,-0.13337602603038137,0.13231467001608443,0.3394578397710028,0.469214156852695,inferential
Mid Villus Enterocytes,epithelial,False,24,5,-0.045060756826710346,-0.2595163724010631,-0.21445561557435278,0.1481728413435342,0.3394578397710028,0.469214156852695,inferential
Tuft Progenitors,epithelial,False,24,5,-0.03458932231500591,-0.03979391466744113,-0.005204592352435221,0.15232895293036516,0.3394578397710028,0.469214156852695,inferential
BEST4 Enterocytes,epithelial,False,24,5,0.03247059070308161,-0.2595163724010631,-0.29198696310414474,0.15232895293036516,0.3394578397710028,0.469214156852695,inferential
EEC Progenitors,epithelial,False,24,5,0.01118618971283201,-0.2595163724010631,-0.27070256211389515,0.18040689117091868,0.3394578397710028,0.469214156852695,inferential
Brunners Gland Cells,epithelial,False,24,5,-0.0590804333525942,-0.2595163724010631,-0.20043593904846893,0.20445803501913473,0.3394578397710028,0.469214156852695,inferential
Epithelial,epithelial,False,24,5,-0.12614034637068172,-0.2595163724010631,-0.1333760260303814,0.20445803501913473,0.3394578397710028,0.469214156852695,inferential
Microfold Cells (M Cells),epithelial,False,24,5,-0.12614034637068175,-0.2595163724010631,-0.13337602603038137,0.20445803501913473,0.3394578397710028,0.469214156852695,inferential
CD8 Memory Exhausted,lymphoid,False,10,5,-0.5297809736086442,-0.38002191121342677,0.1497590623952174,0.20646020646020646,0.3394578397710028,0.469214156852695,inferential
CD8 Naive,lymphoid,False,10,5,-0.6396422024754551,-0.38002191121342677,0.25962029126202835,0.20646020646020646,0.3394578397710028,0.469214156852695,inferential
CD4 tTreg,lymphoid,False,10,5,-0.5808635359852432,-0.16029945347980484,0.42056408250543836,0.20646020646020646,0.3394578397710028,0.469214156852695,inferential
EEC S,epithelial,False,24,5,-0.17191585839851964,-0.2595163724010631,-0.08760051400254348,0.22630522651400187,0.3394578397710028,0.469214156852695,inferential
Paneth Cells,epithelial,False,24,5,-0.17191585839851964,-0.2595163724010631,-0.08760051400254348,0.22630522651400187,0.3394578397710028,0.469214156852695,inferential
Lower Villus Enterocytes,epithelial,False,24,5,-0.17191585839851964,-0.2595163724010631,-0.08760051400254348,0.22630522651400187,0.3394578397710028,0.469214156852695,inferential
Mature Goblet Cells,epithelial,False,24,5,-0.17191585839851964,-0.2595163724010631,-0.08760051400254348,0.22630522651400187,0.3394578397710028,0.469214156852695,inferential
Foveolar Cells,epithelial,False,24,5,-0.17191585839851964,-0.2595163724010631,-0.08760051400254348,0.22630522651400187,0.3394578397710028,0.469214156852695,inferential
EEC N,epithelial,False,24,5,-0.17191585839851964,-0.2595163724010631,-0.08760051400254348,0.22630522651400187,0.3394578397710028,0.469214156852695,inferential
Lower Crypt Colonocytes,epithelial,False,24,5,0.4068336400127171,1.1265825807892622,0.7197489407765452,0.24976912635677595,0.36153320363846675,0.44185181041713284,inferential
CD4 pTreg,lymphoid,False,10,5,-0.41991974474183313,0.009160118597635946,0.42907986333946907,0.2544122544122544,0.36153320363846675,0.44185181041713284,inferential
Gamma Delta T Cells,lymphoid,False,10,5,-0.219571744654154,-0.38002191121342677,-0.16045016655927277,0.37096237096237095,0.5136402059478983,0.28934098856480167,inferential
Plasma IGG,lymphoid,False,10,5,-0.21450737137227854,0.05942300425381699,0.2739303756260955,0.43956043956043955,0.5934065934065934,0.22664763249812508,inferential
MAIT Cells,lymphoid,False,10,5,-0.32436860023908953,-0.16029945347980484,0.1640691467592847,0.5134865134865134,0.6601969459112316,0.18032648905897491,inferential
NK Cells,lymphoid,False,10,5,-0.45093523757221715,-0.38002191121342677,0.07091332635879039,0.5134865134865134,0.6601969459112316,0.18032648905897491,inferential
Secretory Progenitors,epithelial,False,24,5,0.01782901208483621,-0.03979391466744113,-0.05762292675227734,0.5354415213617639,0.6724149338031454,0.17236264978896373,inferential
CD8 Circulating Effector Memory,lymphoid,False,10,5,0.2606278982443387,0.05942300425381699,-0.2012048939905217,0.594072594072594,0.7012986327486431,0.1540970078006307,inferential
GC B Light Zone (GC B LZ),lymphoid,True,10,5,0.6072364824007404,0.22888257633125778,-0.3783539060694826,0.594072594072594,0.7012986327486431,0.1540970078006307,inferential
Crypt Top Colonocytes,epithelial,False,24,5,0.03601883271726105,0.5490938811658468,0.5130750484485858,0.5974025390081034,0.7012986327486431,0.1540970078006307,inferential
CD4 Th17,lymphoid,False,10,5,0.4889540102798602,0.4667993897060252,-0.022154620573834993,0.6786546786546787,0.7479051560684213,0.12615347273411867,inferential
CD4 Tfh,lymphoid,True,10,5,-0.22532872983630187,-0.38002191121342677,-0.1546931813771249,0.6786546786546787,0.7479051560684213,0.12615347273411867,inferential
Plasma Cells,lymphoid,False,10,5,0.33030994083696286,-0.16029945347980493,-0.49060939431676776,0.6786546786546787,0.7479051560684213,0.12615347273411867,inferential
Transiently Amplifying Cells (TA),epithelial,False,24,5,-0.013304921324756322,0.17992854306618078,0.1932334643909371,0.7012476773561976,0.7573474915446935,0.12070480869882504,inferential
Colonocyte Progenitors,epithelial,False,24,5,0.2061461911526047,0.7385701449546841,0.5324239538020794,0.790551373815858,0.8370543958050262,0.07724631855351285,inferential
CD4 Memory,lymphoid,False,10,5,0.418464719179991,0.34216167131541814,-0.07630304786457287,0.9530469530469531,0.971028971028971,0.012767812553044072,inferential
CD8 IEL,lymphoid,False,10,5,0.7080284099128976,0.9344345973253748,0.2264061874124772,0.9530469530469531,0.971028971028971,0.012767812553044072,inferential
CD8 Effector Memory,lymphoid,False,10,5,0.1476414150271174,0.009160118597635946,-0.13848129642948145,1.0,1.0,-0.0,inferential
