celltype,lineage,is_follicle_tlo,n_A,n_B,mean_CLR_A,mean_CLR_B,delta_CLR_B_minus_A,p_value,p_adj,neglog10_p_adj,analysis_type
Mid Villus Enterocytes,epithelial,False,4,2,0.5186033068398278,1.7695057764137663,1.2509024695739384,,,,descriptive
Brunners Gland Cells,epithelial,False,4,2,-0.21750643795178226,0.7209352170241479,0.9384416549759301,,,,descriptive
Enterocyte Progenitors,epithelial,False,4,2,0.18485304015674275,1.1020052430475964,0.9171522028908536,,,,descriptive
Lower Villus Enterocytes,epithelial,False,4,2,0.7932563790068552,1.3574180549305916,0.5641616759237364,,,,descriptive
EEC Progenitors,epithelial,False,4,2,-0.21750643795178226,0.29728628683054636,0.5147927247823286,,,,descriptive
BEST4 Colonocytes,epithelial,False,4,2,-0.21750643795178226,-0.25201985750350864,-0.034513419551726376,,,,descriptive
Foveolar Cells,epithelial,False,4,2,-0.21750643795178226,-0.25201985750350864,-0.034513419551726376,,,,descriptive
Secretory Progenitors,epithelial,False,4,2,-0.21750643795178226,-0.25201985750350864,-0.034513419551726376,,,,descriptive
Mid Crypt Colonocytes,epithelial,False,4,2,-0.21750643795178226,-0.25201985750350864,-0.034513419551726376,,,,descriptive
Microfold Cells (M Cells),epithelial,False,4,2,-0.21750643795178226,-0.25201985750350864,-0.034513419551726376,,,,descriptive
Mature Goblet Cells,epithelial,False,4,2,-0.21750643795178226,-0.25201985750350864,-0.034513419551726376,,,,descriptive
Lower Crypt Colonocytes,epithelial,False,4,2,-0.21750643795178226,-0.25201985750350864,-0.034513419551726376,,,,descriptive
Goblet Cells,epithelial,False,4,2,-0.21750643795178226,-0.25201985750350864,-0.034513419551726376,,,,descriptive
Epithelial,epithelial,False,4,2,-0.21750643795178226,-0.25201985750350864,-0.034513419551726376,,,,descriptive
Enteroendocrine Cells (EEC),epithelial,False,4,2,-0.21750643795178226,-0.25201985750350864,-0.034513419551726376,,,,descriptive
EEC S,epithelial,False,4,2,-0.21750643795178226,-0.25201985750350864,-0.034513419551726376,,,,descriptive
EEC Enterochromaffin (EC),epithelial,False,4,2,-0.21750643795178226,-0.25201985750350864,-0.034513419551726376,,,,descriptive
Crypt Top Colonocytes,epithelial,False,4,2,-0.21750643795178226,-0.25201985750350864,-0.034513419551726376,,,,descriptive
Colonocyte Progenitors,epithelial,False,4,2,-0.21750643795178226,-0.25201985750350864,-0.034513419551726376,,,,descriptive
Transiently Amplifying Cells (TA),epithelial,False,4,2,0.3819673802478103,0.29728628683054614,-0.08468109341726415,,,,descriptive
EEC N,epithelial,False,4,2,0.05714663421524513,-0.25201985750350864,-0.30916649171875377,,,,descriptive
Villus Tip Enterocytes,epithelial,False,4,2,0.05714663421524513,-0.25201985750350864,-0.30916649171875377,,,,descriptive
Paneth Cells,epithelial,False,4,2,0.05714663421524524,-0.25201985750350864,-0.3091664917187539,,,,descriptive
EEC L,epithelial,False,4,2,0.18485304015674275,-0.25201985750350864,-0.4368728976602514,,,,descriptive
Tuft Cells,epithelial,False,4,2,0.18485304015674275,-0.25201985750350864,-0.4368728976602514,,,,descriptive
BEST4 Enterocytes,epithelial,False,4,2,0.268971099312046,-0.25201985750350864,-0.5209909568155546,,,,descriptive
Tuft Progenitors,epithelial,False,4,2,0.33179970638227274,-0.25201985750350864,-0.5838195638857814,,,,descriptive
Intestinal Stem Cells (ISC),epithelial,False,4,2,0.45950611232377014,-0.25201985750350864,-0.7115259698272788,,,,descriptive
