celltype,lineage,is_follicle_tlo,n_A,n_B,mean_CLR_A,mean_CLR_B,delta_CLR_B_minus_A,p_value,p_adj,neglog10_p_adj,analysis_type
Mature Goblet Cells,epithelial,False,42,7,0.17900680319892245,-0.2040149896635497,-0.3830217928624722,0.0013260683380552434,0.05834700687443071,1.233981417789294,inferential
Villus Tip Enterocytes,epithelial,False,42,7,0.43789501009438553,0.13854147787907461,-0.2993535322153109,0.016876619927297984,0.19801722162845498,0.7032970373497766,inferential
Tuft Cells,epithelial,False,42,7,-0.07061219224077926,-0.2040149896635497,-0.13340279742277045,0.02307960808748738,0.19801722162845498,0.7032970373497766,inferential
Neutrophils,myeloid,False,20,5,-0.14593219443326172,0.8387669381407574,0.9846991325740191,0.027278848596239864,0.19801722162845498,0.7032970373497766,inferential
cDC2,myeloid,False,20,5,0.1936850269402787,-0.09202513189074724,-0.2857101588310259,0.02863073540755169,0.19801722162845498,0.7032970373497766,inferential
M0 Macrophages,myeloid,False,20,5,0.3700871574802361,-0.09202513189074724,-0.4621122893709833,0.02866986708224326,0.19801722162845498,0.7032970373497766,inferential
Goblet Cells,epithelial,False,42,7,0.31026844533856246,0.2558244138890505,-0.05444403144951199,0.034827585099017726,0.19801722162845498,0.7032970373497766,inferential
EEC N,epithelial,False,42,7,-0.10893214253682929,-0.2040149896635497,-0.09508284712672041,0.03874441977232597,0.19801722162845498,0.7032970373497766,inferential
Paneth Cells,epithelial,False,42,7,0.09434366415517008,-0.2040149896635497,-0.2983586538187198,0.0520040947030616,0.19801722162845498,0.7032970373497766,inferential
BEST4 Colonocytes,epithelial,False,42,7,-0.03644351306722394,-0.2040149896635497,-0.16757147659632576,0.05669974075073309,0.19801722162845498,0.7032970373497766,inferential
EEC S,epithelial,False,42,7,-0.13508957798130808,-0.2040149896635497,-0.06892541168224162,0.06264992444859754,0.19801722162845498,0.7032970373497766,inferential
