celltype,lineage,is_follicle_tlo,n_A,n_B,mean_CLR_A,mean_CLR_B,delta_CLR_B_minus_A,p_value,p_adj,neglog10_p_adj
Contractile Pericytes,stroma,False,18,12,-0.13366725404564975,0.7303672443598067,0.8640344984054564,4.8343141266477995e-05,0.0031878058418284023,2.49650813783752
Mature Goblet Cells,epithelial,False,59,28,0.09224897302417655,-0.2418380190605025,-0.33408699208467907,6.990644628878684e-05,0.0031878058418284023,2.49650813783752
Venular Endothelial,stroma,False,18,12,-0.011599221971415361,1.109970323069159,1.1215695450405745,0.0001017384843136724,0.0031878058418284023,2.49650813783752
Villus Tip Enterocytes,epithelial,False,59,28,0.33240391464474905,-0.0594828235640532,-0.39188673820880227,0.001156702995246328,0.02718252038828871,1.5657102775527982
CD8 Memory Exhausted,lymphoid,False,27,20,-0.6629094130631848,-0.16219501227058572,0.5007144007925991,0.0026821566525312354,0.05042454506758723,1.297358011321003
Fibroblastic Reticular Cells (FRC),stroma,True,18,12,0.19988202746026906,-0.357611313145396,-0.557493340605665,0.005091442025950614,0.07436074595332944,1.128656262232713
Lymphatic Endothelial,stroma,True,18,12,-0.13366725404564975,0.7659875789287183,0.899654832974368,0.00578543693683503,0.07436074595332944,1.128656262232713
Follicle Associated Resident Macrophages,myeloid,True,23,16,0.3164570693069339,-0.14018913408672995,-0.45664620339366385,0.008209447725899236,0.07436074595332944,1.128656262232713
Memory B,lymphoid,False,27,20,0.7861199661059689,-0.03551017157271417,-0.8216301376786831,0.008386867752878828,0.07436074595332944,1.128656262232713
Angiogenic Pericytes,stroma,False,18,12,0.04943479406570184,-0.357611313145396,-0.40704610721109785,0.00855555667005892,0.07436074595332944,1.128656262232713
Paneth Cells,epithelial,False,59,28,0.031980297772691804,-0.20260186589378426,-0.23458216366647605,0.008701789420070466,0.07436074595332944,1.128656262232713
Plasma IGA,lymphoid,False,27,20,-0.12066350589353975,0.8086508489770929,0.9293143548706326,0.011455439620952532,0.08755257176095524,1.0577310924681695
Crypt Bottom Fibroblasts (S2A),stroma,False,18,12,0.23253684217705356,-0.357611313145396,-0.5901481553224496,0.01415337858744655,0.08755257176095524,1.0577310924681695
EEC S,epithelial,False,59,28,-0.13134506103632657,-0.2418380190605025,-0.11049295802417594,0.014761597374636297,0.08755257176095524,1.0577310924681695
Enteroendocrine Cells (EEC),epithelial,False,59,28,-0.13134506103632657,-0.2418380190605025,-0.11049295802417594,0.014761597374636297,0.08755257176095524,1.0577310924681695
M0 Macrophages,myeloid,False,23,16,0.31306797437175893,-0.07152586604497307,-0.384593840416732,0.015562734597789394,0.08755257176095524,1.0577310924681695
Microfold Cells (M Cells),epithelial,False,59,28,-0.048204810554319265,-0.2418380190605025,-0.19363320850618324,0.015833975744002544,0.08755257176095524,1.0577310924681695
Interstitial Cells of Cajal (ICC),stroma,False,18,12,0.11046881010281906,-0.357611313145396,-0.4680801232482151,0.018682652111303526,0.0975649610256962,1.0107061246015843
Submucosal Fibroblasts (S3),stroma,False,18,12,-0.011599221971415361,1.0012440891088996,1.012843311080315,0.025209168439179613,0.11698070712135741,0.931885757754921
Plasma IGG,lymphoid,False,27,20,-0.5190715045110941,-0.1399607212075135,0.3791107833035806,0.025932374969160083,0.11698070712135741,0.931885757754921
Marginal Reticular Cells (MRC),stroma,True,18,12,0.17150282613993628,-0.26606028908972024,-0.4375631152296565,0.026133987761154314,0.11698070712135741,0.931885757754921
Glia,stroma,False,18,12,0.04943479406570185,-0.357611313145396,-0.40704610721109785,0.02829438959025563,0.12089421006745586,0.9175944981133168
CD8 Effector Memory,lymphoid,False,27,20,-0.2710247324658539,0.25343432578443614,0.52445905825029,0.03225721623340295,0.12678176875925778,0.8969431935876504
EEC N,epithelial,False,59,28,-0.11272451377076537,-0.20260186589378426,-0.0898773521230189,0.03236981330023603,0.12678176875925778,0.8969431935876504
Crypt Top Fibroblasts (S2B),stroma,False,18,12,-0.07263323800853255,-0.357611313145396,-0.28497807513686346,0.03504805378887637,0.13031602729981748,0.8850021680186506
Mid Villus Enterocytes,epithelial,False,59,28,0.2757979533598239,0.2685427058765614,-0.00725524748326245,0.036777051306574424,0.13031602729981748,0.8850021680186506
EEC Progenitors,epithelial,False,59,28,-0.075483419239643,-0.16336571272706607,-0.08788229348742307,0.03743119933079864,0.13031602729981748,0.8850021680186506
Follicular Dendritic Cells (fDC),stroma,True,18,12,-0.07263323800853255,-0.357611313145396,-0.28497807513686346,0.04329187176998237,0.14032537746132218,0.8528637808977154
Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),stroma,True,18,12,-0.07263323800853255,-0.357611313145396,-0.28497807513686346,0.04329187176998237,0.14032537746132218,0.8528637808977154
Capillary Endothelial,stroma,False,18,12,-0.07263323800853255,-0.357611313145396,-0.28497807513686346,0.047993812522894225,0.14842058997914354,0.8285058464017463
GC B Dark Zone (GC B DZ),lymphoid,True,27,20,0.5419476984332353,-0.10731380495582499,-0.6492615033890603,0.048947215844185626,0.14842058997914354,0.8285058464017463
Eosinophils,myeloid,False,23,16,0.09983812062977919,-0.14018913408672995,-0.24002725471650915,0.050630689843865116,0.14872765141635377,0.8276082800245971
Crypt Top Colonocytes,epithelial,False,59,28,-0.046761457870585256,-0.09744333092355427,-0.05068187305296901,0.05245224408364533,0.14940942254129275,0.8256220127706215
Tuft Progenitors,epithelial,False,59,28,-0.0010012301773982561,-0.08489340639362965,-0.08389217621623139,0.054482290499795805,0.14995683530157417,0.8240337335316683
Lower Villus Enterocytes,epithelial,False,59,28,0.17764102235042106,0.23013235333201662,0.05249133098159556,0.056557029121140245,0.14995683530157417,0.8240337335316683
Arteriolar Endothelial,stroma,False,18,12,-0.07263323800853255,0.6869209113920975,0.7595541494006302,0.057430277349539045,0.14995683530157417,0.8240337335316683
Foveolar Cells,epithelial,False,59,28,-0.14996560830188774,-0.15023268486544758,-0.00026707656355984266,0.06975773043958074,0.17722234219785377,0.751481528038204
CD4 Tr1,lymphoid,False,27,20,-0.6097581343487654,-0.43300003238080675,0.1767581019679586,0.07583615380012747,0.1875946962424206,0.7267794443429407
GC B Light Zone (GC B LZ),lymphoid,True,27,20,0.4923339641898086,-0.09044078600611964,-0.5827747501959283,0.07945547306649042,0.1915080632884641,0.7178129357007692
EEC Enterochromaffin (EC),epithelial,False,59,28,-0.14996560830188774,-0.20260186589378426,-0.052636257591896524,0.09792939571474896,0.23013407992966003,0.638019063080851
Goblet Cells,epithelial,False,59,28,0.27748777594060536,0.35819442252500483,0.08070664658439947,0.11625938925712093,0.2665459168333992,0.5742279659632744
Epithelial,epithelial,False,59,28,-0.0941039665052042,-0.12412955956034787,-0.03002559305514367,0.14199340201610378,0.31779475689318465,0.4978532722360707
Naive B,lymphoid,False,27,20,0.3687064644813558,-0.08887815883091436,-0.4575846233122702,0.15867574377098614,0.34687255615052787,0.459830059292756
Plasma Cells,lymphoid,False,27,20,0.20704294555794775,-0.3780694179474013,-0.585112363505349,0.19293657765726935,0.41218268863143903,0.3849102522213331
Gamma Delta T Cells,lymphoid,False,27,20,-0.42594907396876885,-0.43300003238080675,-0.0070509584120379,0.20039702445628838,0.4186071177531357,0.37819339144255515
Tuft Cells,epithelial,False,59,28,-0.08544590508544164,0.0219866322129531,0.10743253729839475,0.2064541085728816,0.4218844827358885,0.3748064480386227
pDC,myeloid,False,23,16,-0.08787875387179954,-0.14018913408672995,-0.05231038021493041,0.2233784942790652,0.43474544739365156,0.3617649571853252
Tolerogenic cDC2,myeloid,False,23,16,-0.08787875387179954,-0.14018913408672995,-0.05231038021493041,0.2233784942790652,0.43474544739365156,0.3617649571853252
Muscularis Propria Fibroblasts,stroma,False,18,12,-0.02556113465368791,-0.1745092650340444,-0.14894813038035648,0.22662262683286094,0.43474544739365156,0.3617649571853252
Secretory Pericytes,stroma,False,18,12,-0.13366725404564975,-0.2660602890897203,-0.13239303504407055,0.2320300327089201,0.43621646149276977,0.3602979494850152
EEC L,epithelial,False,59,28,-0.14996560830188774,-0.12687816817235248,0.023087440129535258,0.2692154012807315,0.49400053677263556,0.30627257917905143
Secretory Progenitors,epithelial,False,59,28,-0.028373094407704788,0.05675267313131395,0.08512576753901874,0.2732768926827346,0.49400053677263556,0.30627257917905143
CD4 tTreg,lymphoid,False,27,20,-0.3780840048899712,-0.22584329606123008,0.1522407088287411,0.2867743939261391,0.5067339500233988,0.29521999799096693
NKT Cells,lymphoid,False,27,20,0.04173428449703344,0.16738867432984714,0.12565438983281368,0.29662202715596,0.5067339500233988,0.29521999799096693
CD4 pTreg,lymphoid,False,27,20,-0.3873919466781529,-0.20030201487293056,0.18708993180522235,0.3066933340063882,0.5067339500233988,0.29521999799096693
Smooth Muscle Cells (SMC),stroma,False,18,12,-0.13366725404564975,-0.26606028908972024,-0.1323930350440705,0.30710925099149033,0.5067339500233988,0.29521999799096693
Brunners Gland Cells,epithelial,False,59,28,-0.14996560830188774,-0.01814522396794449,0.13182038433394325,0.3072748420354653,0.5067339500233988,0.29521999799096693
CD8 TRM,lymphoid,False,27,20,1.1025327915544432,1.0455039627412837,-0.057028828813159516,0.33826536354956904,0.5482231754079222,0.261042609185006
Enterocyte Progenitors,epithelial,False,59,28,0.0956416326362776,0.16601867627203173,0.07037704363575413,0.35114671673742326,0.5594540910731829,0.25223554597499215
ILC3,lymphoid,False,27,20,-0.3156247843873701,-0.2308474689890792,0.08477731539829092,0.38345542545344224,0.5944944891948453,0.22585216682049936
cDC2,myeloid,False,23,16,0.11190906569926957,0.09772727152391504,-0.014181794175354534,0.3857889770306975,0.5944944891948453,0.22585216682049936
Lamina propria Fibroblasts (S1),stroma,False,18,12,0.3460536474583848,0.18378660270342576,-0.16226704475495904,0.3970666880957623,0.6020043335645429,0.22040038243587326
cDC1,myeloid,False,23,16,0.007652749490644795,-0.0715258660449731,-0.07917861553561789,0.4277929798583059,0.638294287407631,0.19497904239213612
CD4 Tfr,lymphoid,True,27,20,-0.3998538813678274,-0.3525281367591018,0.04732574460872563,0.4448977468964308,0.6529203852497405,0.18513977179488222
Classical Monocytes,myeloid,False,23,16,-0.08787875387179954,0.09772727152391505,0.18560602539571458,0.4514875004386504,0.6529203852497405,0.18513977179488222
CD8 IEL,lymphoid,False,27,20,0.4222513097172264,0.7818212809726309,0.3595699712554045,0.47096523247101096,0.6707686644284095,0.17342723405596286
Mast Cells,myeloid,False,23,16,-0.06566894414284341,0.2580366063652611,0.3237055505081045,0.48085844248522835,0.6746372178150966,0.1709297036954835
BEST4 Enterocytes,epithelial,False,59,28,0.0835367609112526,0.1408554548354097,0.0573186939241571,0.5019471711486068,0.68796323364263,0.16243477085284055
Colonocyte Progenitors,epithelial,False,59,28,-0.05203929773879185,0.05410017568174984,0.1061394734205417,0.5049942885249092,0.68796323364263,0.16243477085284055
Pre Venule Capillary Endothelial (PVC),stroma,False,18,12,-0.07263323800853255,-0.17450926503404443,-0.10187602702551188,0.5285847804696662,0.7098138480592661,0.1488555320706213
Neutrophils,myeloid,False,23,16,-0.13564450555302168,0.15068338779811527,0.28632789335113695,0.5811534408883892,0.7694144146973039,0.11383968160490449
CD4 Memory,lymphoid,False,27,20,0.48555253929639997,0.41318488377932605,-0.07236765551707391,0.6130584255496373,0.7874053737983133,0.1038016256100634
Myofibroblasts,stroma,False,18,12,-0.07263323800853255,-0.13194046305354523,-0.05930722504501268,0.6172241611018152,0.7874053737983133,0.1038016256100634
Mid Crypt Colonocytes,epithelial,False,59,28,-0.12268699961656401,0.11698120718739355,0.23966820680395756,0.6244878247378158,0.7874053737983133,0.1038016256100634
NK Cells,lymphoid,False,27,20,-0.07621482297797108,-0.1777027586857777,-0.10148793570780662,0.628248968456101,0.7874053737983133,0.1038016256100634
Cycling Macrophages,myeloid,False,23,16,0.05541850117186701,-0.002862598003216227,-0.058281099175083236,0.6623336569621618,0.8192021546637266,0.08660891408633992
Homeostatic Macrophages,myeloid,False,23,16,-0.08787875387179954,0.09772727152391503,0.18560602539571458,0.7286737221647918,0.8729105654905992,0.05903024988388003
Monocyte Derived Dendritic Cells (MO DC),myeloid,False,23,16,0.007652749490644833,0.06580067003854068,0.058147920547895846,0.7310847779214855,0.8729105654905992,0.05903024988388003
Lower Crypt Colonocytes,epithelial,False,59,28,-0.04129072240849965,0.2727571402291908,0.31404786263769047,0.7336163263165675,0.8729105654905992,0.05903024988388003
Transiently Amplifying Cells (TA),epithelial,False,59,28,0.15549552332261316,0.3187924483916439,0.16329692506903074,0.7725554542152068,0.90698926455929,0.042397853370173336
BEST4 Colonocytes,epithelial,False,59,28,0.113816123828663,0.24268227786194116,0.12886615403327817,0.7815545790351328,0.90698926455929,0.042397853370173336
MAIT Cells,lymphoid,False,27,20,-0.42407338016066687,-0.43300003238080675,-0.008926652220139886,0.804539572201694,0.9185758786195127,0.03688496314189778
Adipocytes,stroma,False,18,12,-0.13366725404564975,-0.04038943899786943,0.09327781504778032,0.8110829566533996,0.9185758786195127,0.03688496314189778
CD8 Circulating Effector Memory,lymphoid,False,27,20,0.09018291648142357,-0.02294445015866886,-0.11312736664009243,0.8380120139672445,0.9344122739172274,0.029461465544696034
Post Arteriole Capillary Endothelial (PAC),stroma,False,18,12,0.13884801142315187,0.05116158505780636,-0.08768642636534552,0.8449472689677057,0.9344122739172274,0.029461465544696034
CD4 Naive,lymphoid,False,27,20,-0.07748452825199353,-0.132559373108677,-0.05507484485668346,0.8717802280464666,0.9528760632135798,0.02096358263837968
CD4 Th17,lymphoid,False,27,20,0.6156282806441732,0.6791662713649931,0.06353799072081989,0.9057837915650677,0.9647995205330443,0.015562921030939725
Intestinal Stem Cells (ISC),epithelial,False,59,28,-0.06538200513614643,0.15193241656054676,0.21731442169669318,0.9072185673773265,0.9647995205330443,0.015562921030939725
Medullary Sinus Endothelial,stroma,True,18,12,-0.07263323800853255,0.008592783077307153,0.0812260210858397,0.9134803971004355,0.9647995205330443,0.015562921030939725
Perivascular Resident Macrophages,myeloid,True,23,16,-0.08787875387179951,0.029064003482158207,0.11694275735395772,0.9380514024925919,0.9695317833351378,0.013437949245602794
CD8 Naive,lymphoid,False,27,20,-0.4280812907028977,-0.4879306468142123,-0.05984935611131459,0.9399609865177957,0.9695317833351378,0.013437949245602794
Nonclassical Monocytes,myeloid,False,23,16,-0.13564450555302168,-0.01856974977077286,0.11707475578224882,0.9489034475194965,0.9695317833351378,0.013437949245602794
CD4 Tfh,lymphoid,True,27,20,-0.057848157290959414,-0.017123932566448286,0.04072422472451113,0.9742491355391183,0.9744386098604343,0.011245516462911862
migDC,myeloid,False,23,16,-0.13564450555302168,-0.07152586604497307,0.06411863950804861,0.9744386098604343,0.9744386098604343,0.011245516462911862
