celltype,lineage,is_follicle_tlo,n_A,n_B,mean_CLR_A,mean_CLR_B,delta_CLR_B_minus_A,p_value,p_adj,neglog10_p_adj
Villus Tip Enterocytes,epithelial,False,70,17,0.27713530196713043,-0.08547995490896625,-0.3626152568760967,0.00013480786442301957,0.00655469101869288,2.1834477756809
Contractile Pericytes,stroma,False,21,9,-0.07533577887241022,0.8822719684240665,0.9576077472964768,0.0002017278859258247,0.00655469101869288,2.1834477756809
Mature Goblet Cells,epithelial,False,70,17,0.036032562585473465,-0.22653261801475272,-0.26256518060022616,0.0002091922665540281,0.00655469101869288,2.1834477756809
Venular Endothelial,stroma,False,21,9,0.0816088337944626,1.2663413746289685,1.184732540834506,0.0005356049314449754,0.010775940903891532,1.9675447989836774
Tuft Cells,epithelial,False,70,17,-0.00820897416896533,-0.22653261801475272,-0.2183236438457874,0.0005731883459516772,0.010775940903891532,1.9675447989836774
Fibroblastic Reticular Cells (FRC),stroma,True,21,9,0.1582487343865626,-0.44629807617530265,-0.6045468105618652,0.0013575656749786674,0.021268528907999126,1.672262548143015
Angiogenic Pericytes,stroma,False,21,9,0.029293962905504973,-0.44629807617530265,-0.4755920390808076,0.0018528650554783474,0.022797009501994165,1.6421221197523277
Lymphatic Endothelial,stroma,True,21,9,-0.1276506497613678,1.0518337799235167,1.1794844296848845,0.002166566749855513,0.022797009501994165,1.6421221197523277
Marginal Reticular Cells (MRC),stroma,True,21,9,0.18623857557237783,-0.44629807617530265,-0.6325366517476805,0.0025448345205926117,0.022797009501994165,1.6421221197523277
Goblet Cells,epithelial,False,70,17,0.35480252450346045,0.09206152329138965,-0.2627410012120708,0.00271465278783155,0.022797009501994165,1.6421221197523277
Plasma IGA,lymphoid,False,36,11,-0.05704425722505348,1.3607905073198372,1.4178347645448908,0.0029035484350030767,0.022797009501994165,1.6421221197523277
Crypt Bottom Fibroblasts (S2A),stroma,False,21,9,0.18623857557237786,-0.44629807617530265,-0.6325366517476805,0.0030284590162856233,0.022797009501994165,1.6421221197523277
Interstitial Cells of Cajal (ICC),stroma,False,21,9,0.0816088337944626,-0.44629807617530265,-0.5279069099697653,0.003152777909850257,0.022797009501994165,1.6421221197523277
EEC N,epithelial,False,70,17,-0.12103634358929032,-0.22653261801475272,-0.1054962744254624,0.00392999208461402,0.02638708971097985,1.5786085064135236
Crypt Top Fibroblasts (S2B),stroma,False,21,9,-0.07533577887241022,-0.44629807617530265,-0.37096229730289243,0.004595601022571941,0.027167884281667082,1.5659441812572716
Glia,stroma,False,21,9,0.029293962905504983,-0.44629807617530265,-0.4755920390808076,0.004624320728794397,0.027167884281667082,1.5659441812572716
Capillary Endothelial,stroma,False,21,9,-0.07533577887241022,-0.44629807617530265,-0.37096229730289243,0.006122053420604874,0.027403477216040868,1.5621943262334577
Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),stroma,True,21,9,-0.07533577887241022,-0.44629807617530265,-0.37096229730289243,0.006122053420604874,0.027403477216040868,1.5621943262334577
Follicular Dendritic Cells (fDC),stroma,True,21,9,-0.07533577887241022,-0.44629807617530265,-0.37096229730289243,0.006122053420604874,0.027403477216040868,1.5621943262334577
Secretory Pericytes,stroma,False,21,9,-0.07533577887241022,-0.44629807617530265,-0.37096229730289243,0.006122053420604874,0.027403477216040868,1.5621943262334577
Submucosal Fibroblasts (S3),stroma,False,21,9,-0.023020907983452625,1.3655091268304247,1.3885300348138774,0.006122053420604874,0.027403477216040868,1.5621943262334577
EEC L,epithelial,False,70,17,-0.12213578703409213,-0.22653261801475272,-0.10439683098066059,0.0069973278518265705,0.02989767354871353,1.5243626044603622
Paneth Cells,epithelial,False,70,17,0.0009291404259093346,-0.22653261801475272,-0.22746175844066205,0.007858905395042054,0.03211900465799796,1.49323792161991
Neutrophils,myeloid,False,31,8,-0.1515075583718764,0.4984806108223143,0.6499881691941907,0.008523535481354174,0.03338384730197052,1.4764636147588226
EEC Enterochromaffin (EC),epithelial,False,70,17,-0.15242526612266485,-0.22653261801475272,-0.07410735189208786,0.012065741853273953,0.042006656822509314,1.3766818812163928
EEC S,epithelial,False,70,17,-0.15242526612266485,-0.22653261801475272,-0.07410735189208786,0.012065741853273953,0.042006656822509314,1.3766818812163928
Enteroendocrine Cells (EEC),epithelial,False,70,17,-0.15242526612266485,-0.22653261801475272,-0.07410735189208786,0.012065741853273953,0.042006656822509314,1.3766818812163928
Tuft Progenitors,epithelial,False,70,17,-0.011175114722479293,-0.09728411346556334,-0.08610899874308404,0.013652558439160772,0.04583358904575403,1.3388161335530144
Microfold Cells (M Cells),epithelial,False,70,17,-0.082349912144973,-0.22653261801475272,-0.14418270586977971,0.015878403798815454,0.051467929554781126,1.2884633021407281
Enterocyte Progenitors,epithelial,False,70,17,0.10896744395050764,0.15668577556598434,0.0477183316154767,0.02296646547856123,0.07196159183282519,1.1428992383703191
CD8 TRM,lymphoid,False,36,11,1.276889979823992,0.42822048664835727,-0.8486694931756349,0.024510448110665252,0.07432200394846883,1.1288825889494403
EEC Progenitors,epithelial,False,70,17,-0.08964742105591572,-0.16190836574015802,-0.0722609446842423,0.027293845041446097,0.08017566980924791,1.0959574031707076
Arteriolar Endothelial,stroma,False,21,9,-0.07533577887241022,0.9464115565413554,1.0217473354137656,0.028323089148455088,0.08067789030165995,1.0932454669581195
Secretory Progenitors,epithelial,False,70,17,-0.0005792243699616189,-0.0026112950870868677,-0.002032070717125249,0.03540047397532722,0.09787189863766936,1.0093419866288833
CD4 Tr1,lymphoid,False,36,11,-0.5930053639955519,-0.3432070155629943,0.2497983484325576,0.061185362479716086,0.16432640208838034,0.7842926534845399
