celltype,lineage,is_follicle_tlo,n_A,n_B,mean_CLR_A,mean_CLR_B,delta_CLR_B_minus_A,p_value,p_adj,neglog10_p_adj
NKT Cells,lymphoid,False,10,14,0.8408280822458136,-0.5833935661010645,-1.4242216483468781,0.0045132033540006096,0.16516145561062695,0.7820912982308704
CD8 IEL,lymphoid,False,10,14,1.7978940951379385,0.13272507221992158,-1.665169022918017,0.007717001420083896,0.16516145561062695,0.7820912982308704
Paneth Cells,epithelial,False,25,16,-0.21773572518205428,0.1997093592272463,0.4174450844093006,0.014483081587037898,0.16516145561062695,0.7820912982308704
CD8 TRM,lymphoid,False,10,14,2.1421434823418855,0.9671643673116213,-1.1749791150302642,0.015099190199248972,0.16516145561062695,0.7820912982308704
Epithelial,epithelial,False,25,16,-0.2616802167287786,-0.006280444898024318,0.2553997718307543,0.015292727371354347,0.16516145561062695,0.7820912982308704
Brunners Gland Cells,epithelial,False,25,16,-0.2616802167287786,-0.07494371293978119,0.18673650378899742,0.025578789184923175,0.1973220879979788,0.704824297623019
Foveolar Cells,epithelial,False,25,16,-0.2616802167287786,-0.07494371293978119,0.18673650378899742,0.025578789184923175,0.1973220879979788,0.704824297623019
Microfold Cells (M Cells),epithelial,False,25,16,-0.21773572518205428,-0.006280444898024318,0.21145528028402996,0.041144308847515756,0.26022991227024755,0.5846427846873166
CD4 Tr1,lymphoid,False,10,14,-0.34294418475528,-0.6618658724345009,-0.3189216876792209,0.04337165204504126,0.26022991227024755,0.5846427846873166
CD4 Th17,lymphoid,False,10,14,0.4435197560268744,1.1630676465944156,0.7195478905675412,0.057039874249055496,0.2823620817775714,0.5491936248313938
Plasma Cells,lymphoid,False,10,14,-0.5375351996608113,0.24836439145576436,0.7858995911165757,0.06511742054768742,0.2823620817775714,0.5491936248313938
EEC S,epithelial,False,25,16,-0.21773572518205428,-0.07494371293978119,0.1427920122422731,0.07320498416455554,0.2823620817775714,0.5491936248313938
Enteroendocrine Cells (EEC),epithelial,False,25,16,-0.21773572518205428,-0.07494371293978119,0.1427920122422731,0.07320498416455554,0.2823620817775714,0.5491936248313938
EEC Enterochromaffin (EC),epithelial,False,25,16,-0.21773572518205428,-0.07494371293978119,0.1427920122422731,0.07320498416455554,0.2823620817775714,0.5491936248313938
Plasma IGG,lymphoid,False,10,14,-0.4276739707940004,-0.6618658724345009,-0.23419190164050052,0.08410605776282679,0.2838579449495404,0.5468989457244363
CD4 Tfh,lymphoid,True,10,14,-0.3765914084174013,0.17261223868639644,0.5492036471037978,0.08410605776282679,0.2838579449495404,0.5468989457244363
Enterocyte Progenitors,epithelial,False,25,16,-0.021524734044517116,0.1840022074596896,0.2055269415042067,0.09270440133975662,0.2854775362436973,0.5444280599898749
CD8 Circulating Effector Memory,lymphoid,False,10,14,0.06285350704984256,0.5186220138465067,0.4557685067966642,0.0951591787478991,0.2854775362436973,0.5444280599898749
CD4 Memory,lymphoid,False,10,14,-0.013360498154847144,0.9000851168466545,0.9134456150015017,0.10734653699381101,0.3050901577718839,0.5155718024995344
EEC Progenitors,epithelial,False,25,16,-0.041957758995156684,-0.07494371293978119,-0.03298595394462451,0.15901054707005047,0.38197115624702394,0.4179694306896162
Lower Villus Enterocytes,epithelial,False,25,16,0.09965913745575282,0.13104609118548938,0.03138695372973656,0.15981971684107976,0.38197115624702394,0.4179694306896162
Mid Crypt Colonocytes,epithelial,False,25,16,-0.15335820868469027,-0.07494371293978119,0.07841449574490908,0.17683849826251108,0.38197115624702394,0.4179694306896162
EEC L,epithelial,False,25,16,-0.13292518373405066,-0.07494371293978119,0.05798147079426946,0.17683849826251108,0.38197115624702394,0.4179694306896162
EEC N,epithelial,False,25,16,-0.1737912336353299,-0.07494371293978119,0.0988475206955487,0.17683849826251108,0.38197115624702394,0.4179694306896162
Crypt Top Colonocytes,epithelial,False,25,16,-0.10600740480435361,-0.07494371293978119,0.031063691864572418,0.17683849826251108,0.38197115624702394,0.4179694306896162
GC B Light Zone (GC B LZ),lymphoid,True,10,14,0.1784717210988013,-0.13600797591594846,-0.31447969701474976,0.20806244620945058,0.4321296959734743,0.36438588792558957
Goblet Cells,epithelial,False,25,16,0.4053495921288293,0.39607903321050075,-0.009270558918328564,0.2949522345212571,0.5891922389467038,0.2297429824757398
Gamma Delta T Cells,lymphoid,False,10,14,-0.34294418475528,-0.478655204044391,-0.135711019289111,0.30550708686125383,0.5891922389467038,0.2297429824757398
CD8 Naive,lymphoid,False,10,14,-0.34294418475528,-0.4684337152129144,-0.1254895304576344,0.3339735948493513,0.6218818662712058,0.20629210678700954
Memory B,lymphoid,False,10,14,0.13827425078196173,0.5473289720486295,0.40905472126666775,0.3640964293652711,0.655373572857488,0.18351107499753014
CD8 Memory Exhausted,lymphoid,False,10,14,-0.5375351996608113,-0.3954586261034872,0.14207657355732412,0.3958628946276468,0.6622684155931041,0.17896595650484473
MAIT Cells,lymphoid,False,10,14,-0.5375351996608113,-0.24323828504408188,0.29429691461672947,0.3958628946276468,0.6622684155931041,0.17896595650484473
CD8 Effector Memory,lymphoid,False,10,14,0.004074840559630743,-0.13600797591594846,-0.1400828164755792,0.4292480471436786,0.6622684155931041,0.17896595650484473
NK Cells,lymphoid,False,10,14,0.11393606942644156,-0.15816189936622269,-0.27209796879266424,0.4292480471436786,0.6622684155931041,0.17896595650484473
CD4 tTreg,lymphoid,False,10,14,-0.5375351996608113,-0.23301679621260515,0.30451840344820613,0.4292480471436786,0.6622684155931041,0.17896595650484473
BEST4 Enterocytes,epithelial,False,25,16,0.15057776448826832,0.06238282314373253,-0.08819494134453579,0.4613784368345153,0.6920676552517729,0.15985144764397885
Transiently Amplifying Cells (TA),epithelial,False,25,16,0.18823909845073886,0.12623602611448134,-0.062003072336257514,0.5261243620718246,0.767857177077798,0.1147195520716577
Villus Tip Enterocytes,epithelial,False,25,16,0.47197596546835463,0.06238282314373253,-0.4095931423246221,0.5442684421662145,0.7734341020256732,0.111576683058065
GC B Dark Zone (GC B DZ),lymphoid,True,10,14,0.20948721392918532,0.18499547045581677,-0.02449174347336855,0.5780310485673851,0.7901972155783332,0.1022645049773968
Tuft Progenitors,epithelial,False,25,16,-0.04195775899515672,-0.006280444898024318,0.0356773140971324,0.5853312707987653,0.7901972155783332,0.1022645049773968
Tuft Cells,epithelial,False,25,16,0.09818090919485561,-0.07494371293978119,-0.1731246221346368,0.639384614280357,0.8029481202590529,0.09531251426438833
Mature Goblet Cells,epithelial,False,25,16,-0.012069182921947856,-0.07494371293978119,-0.06287453001783333,0.639384614280357,0.8029481202590529,0.09531251426438833
Colonocyte Progenitors,epithelial,False,25,16,0.10125935084030076,-0.07494371293978119,-0.17620306378008194,0.639384614280357,0.8029481202590529,0.09531251426438833
CD4 pTreg,lymphoid,False,10,14,-0.4276739707940004,-0.2509678268040985,0.17670614398990186,0.7034993180411209,0.8633855266868302,0.06379523588907364
CD4 Naive,lymphoid,False,10,14,-0.34294418475528,-0.18150632656544072,0.16143785818983927,0.7474170705441505,0.8774026480300897,0.05680105921404555
ILC3,lymphoid,False,10,14,-0.5375351996608113,-0.42644895343419165,0.11108624622661967,0.7474170705441505,0.8774026480300897,0.05680105921404555
CD4 Tfr,lymphoid,True,10,14,-0.5375351996608113,-0.16004170710317794,0.37749349255763337,0.7921706029981195,0.8911919283728844,0.05002875560727509
Naive B,lymphoid,False,10,14,0.1775349460984413,0.2095791714259663,0.03204422532752499,0.7921706029981195,0.8911919283728844,0.05002875560727509
Mid Villus Enterocytes,epithelial,False,25,16,0.3642711345668608,0.06238282314373253,-0.3018883114231282,0.8371207198825681,0.9225412015032383,0.03501422876139536
BEST4 Colonocytes,epithelial,False,25,16,0.1622800599608665,-0.006280444898024318,-0.16856050485889082,0.9018325775680484,0.9739791837734922,0.011450324916982718
Plasma IGA,lymphoid,False,10,14,-0.2667301795505903,0.13052614180086913,0.39725632135145944,0.9766436686336611,0.9780112371186842,0.00965615524245924
Secretory Progenitors,epithelial,False,25,16,0.07274135852605575,-0.07494371293978119,-0.14768507146583693,0.9780112371186842,0.9780112371186842,0.00965615524245924
Lower Crypt Colonocytes,epithelial,False,25,16,0.2939193017460086,-0.07494371293978119,-0.3688630146857898,0.9780112371186842,0.9780112371186842,0.00965615524245924
Intestinal Stem Cells (ISC),epithelial,False,25,16,0.1488570690849206,-0.07494371293978119,-0.2238007820247018,0.9780112371186842,0.9780112371186842,0.00965615524245924
