segment,covariate,category,lineage,celltype,n_samples,n_donors,n_datasets,total_cells,n_samples_present,mean_cells_per_sample,median_cells_per_sample,mean_clr,median_clr,q1_clr,q3_clr,mean_within_lineage_pct,median_within_lineage_pct,q1_within_lineage_pct,q3_within_lineage_pct,present_sample_fraction
duodenum,sampled_site_condition,healthy,epithelial,BEST4 Colonocytes,6,5,3,0.0,0,0.0,0.0,-0.22901091113569105,-0.039236153166716914,-0.3584117096719045,-0.039236153166716914,0.0,0.0,0.0,0.0,0.0
duodenum,sampled_site_condition,healthy,epithelial,BEST4 Enterocytes,6,5,3,3.0,1,0.5,0.0,0.09530744704019445,-0.039236153166716914,-0.039236153166716914,-0.039236153166716914,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666
duodenum,sampled_site_condition,healthy,epithelial,Brunners Gland Cells,6,5,3,3.0,1,0.5,0.0,0.09530744704019445,-0.039236153166716914,-0.039236153166716914,-0.039236153166716914,0.9803921568627451,0.0,0.0,0.0,0.16666666666666666
duodenum,sampled_site_condition,healthy,epithelial,Colonocyte Progenitors,6,5,3,0.0,0,0.0,0.0,-0.22901091113569105,-0.039236153166716914,-0.3584117096719045,-0.039236153166716914,0.0,0.0,0.0,0.0,0.0
duodenum,sampled_site_condition,healthy,epithelial,Crypt Top Colonocytes,6,5,3,0.0,0,0.0,0.0,-0.22901091113569105,-0.039236153166716914,-0.3584117096719045,-0.039236153166716914,0.0,0.0,0.0,0.0,0.0
duodenum,sampled_site_condition,healthy,epithelial,EEC Enterochromaffin (EC),6,5,3,0.0,0,0.0,0.0,-0.22901091113569105,-0.039236153166716914,-0.3584117096719045,-0.039236153166716914,0.0,0.0,0.0,0.0,0.0
duodenum,sampled_site_condition,healthy,epithelial,EEC L,6,5,3,2.0,1,0.3333333333333333,0.0,0.03922874093665896,-0.039236153166716914,-0.039236153166716914,-0.039236153166716914,0.5555555555555556,0.0,0.0,0.0,0.16666666666666666
duodenum,sampled_site_condition,healthy,epithelial,EEC N,6,5,3,1.0,1,0.16666666666666666,0.0,-0.04590886302433946,-0.039236153166716914,-0.039236153166716914,-0.039236153166716914,0.2777777777777778,0.0,0.0,0.0,0.16666666666666666
duodenum,sampled_site_condition,healthy,epithelial,EEC Progenitors,6,5,3,1.0,1,0.16666666666666666,0.0,-0.045908863024339386,-0.039236153166716914,-0.3584117096719045,-0.039236153166716914,16.666666666666668,0.0,0.0,0.0,0.16666666666666666
duodenum,sampled_site_condition,healthy,epithelial,EEC S,6,5,3,0.0,0,0.0,0.0,-0.22901091113569105,-0.039236153166716914,-0.3584117096719045,-0.039236153166716914,0.0,0.0,0.0,0.0,0.0
duodenum,sampled_site_condition,healthy,epithelial,Enterocyte Progenitors,6,5,3,9.0,2,1.5,0.0,0.49057044112036063,-0.039236153166716914,-0.039236153166716914,0.6330314268036621,2.8431372549019613,0.0,0.0,2.5,0.3333333333333333
duodenum,sampled_site_condition,healthy,epithelial,Enteroendocrine Cells (EEC),6,5,3,0.0,0,0.0,0.0,-0.22901091113569105,-0.039236153166716914,-0.3584117096719045,-0.039236153166716914,0.0,0.0,0.0,0.0,0.0
duodenum,sampled_site_condition,healthy,epithelial,Epithelial,6,5,3,0.0,0,0.0,0.0,-0.22901091113569105,-0.039236153166716914,-0.3584117096719045,-0.039236153166716914,0.0,0.0,0.0,0.0,0.0
duodenum,sampled_site_condition,healthy,epithelial,Foveolar Cells,6,5,3,0.0,0,0.0,0.0,-0.22901091113569105,-0.039236153166716914,-0.3584117096719045,-0.039236153166716914,0.0,0.0,0.0,0.0,0.0
duodenum,sampled_site_condition,healthy,epithelial,Goblet Cells,6,5,3,0.0,0,0.0,0.0,-0.22901091113569105,-0.039236153166716914,-0.3584117096719045,-0.039236153166716914,0.0,0.0,0.0,0.0,0.0
duodenum,sampled_site_condition,healthy,epithelial,Intestinal Stem Cells (ISC),6,5,3,7.0,1,1.1666666666666667,0.0,0.22233078904801054,-0.039236153166716914,-0.039236153166716914,-0.039236153166716914,1.9444444444444444,0.0,0.0,0.0,0.16666666666666666
duodenum,sampled_site_condition,healthy,epithelial,Lower Crypt Colonocytes,6,5,3,0.0,0,0.0,0.0,-0.22901091113569105,-0.039236153166716914,-0.3584117096719045,-0.039236153166716914,0.0,0.0,0.0,0.0,0.0
duodenum,sampled_site_condition,healthy,epithelial,Lower Villus Enterocytes,6,5,3,40.0,2,6.666666666666667,0.0,0.981310270981434,-0.039236153166716914,-0.039236153166716914,2.0557451589792457,11.699346405228757,0.0,0.0,17.64705882352941,0.3333333333333333
duodenum,sampled_site_condition,healthy,epithelial,Mature Goblet Cells,6,5,3,0.0,0,0.0,0.0,-0.22901091113569105,-0.039236153166716914,-0.3584117096719045,-0.039236153166716914,0.0,0.0,0.0,0.0,0.0
duodenum,sampled_site_condition,healthy,epithelial,Microfold Cells (M Cells),6,5,3,0.0,0,0.0,0.0,-0.22901091113569105,-0.039236153166716914,-0.3584117096719045,-0.039236153166716914,0.0,0.0,0.0,0.0,0.0
duodenum,sampled_site_condition,healthy,epithelial,Mid Crypt Colonocytes,6,5,3,0.0,0,0.0,0.0,-0.22901091113569105,-0.039236153166716914,-0.3584117096719045,-0.039236153166716914,0.0,0.0,0.0,0.0,0.0
duodenum,sampled_site_condition,healthy,epithelial,Mid Villus Enterocytes,6,5,3,37.0,2,6.166666666666667,0.0,0.9355707966978072,-0.039236153166716914,-0.039236153166716914,1.6342822268529171,11.650326797385622,0.0,0.0,11.25,0.3333333333333333
duodenum,sampled_site_condition,healthy,epithelial,Paneth Cells,6,5,3,1.0,1,0.16666666666666666,0.0,-0.045908863024339386,-0.039236153166716914,-0.3584117096719045,-0.039236153166716914,16.666666666666668,0.0,0.0,0.0,0.16666666666666666
