segment,covariate,category,n_samples,n_donors,n_datasets,n_categories_excluding_unknown,n_datasets_with_multiple_categories,n_datasets_with_two_categories_each_n_ge_5,within_study_contrast_supported
duodenum,sampled_site_condition,healthy,6,5,3,1,0,0,False
duodenum,radial_tissue_term,EPI,2,2,1,3,0,0,False
duodenum,radial_tissue_term,EPI_LP,2,2,1,3,0,0,False
duodenum,radial_tissue_term,EPI_LP_MUSC,2,1,1,3,0,0,False
duodenum,sample_preservation_method,ambient temperature,6,5,3,1,0,0,False
duodenum,sex_ontology_term,female,1,1,1,2,1,0,False
duodenum,sex_ontology_term,male,5,4,3,2,1,0,False
duodenum,age_range,20-29,1,1,1,4,2,0,False
duodenum,age_range,40-49,2,2,2,4,2,0,False
duodenum,age_range,50-59,1,1,1,4,2,0,False
duodenum,age_range,60-69,2,1,1,4,2,0,False
duodenum,assay,10x 3' v2,4,3,2,2,0,0,False
duodenum,assay,10x 3' v3,2,2,1,2,0,0,False
duodenum,sample_collection_method,biopsy,2,2,1,2,0,0,False
duodenum,sample_collection_method,surgical resection,4,3,2,2,0,0,False
duodenum,sequenced_fragment,3 prime tag,6,5,3,1,0,0,False
duodenum,gene_annotation_version,v104,2,2,1,2,0,0,False
duodenum,gene_annotation_version,v98,4,3,2,2,0,0,False
jejunum,sampled_site_condition,healthy,9,9,3,1,0,0,False
jejunum,radial_tissue_term,EPI,2,2,1,3,1,0,False
jejunum,radial_tissue_term,EPI_LP_MUSC,1,1,1,3,1,0,False
jejunum,radial_tissue_term,LP,6,6,2,3,1,0,False
jejunum,sample_preservation_method,ambient temperature,9,9,3,1,0,0,False
jejunum,sex_ontology_term,female,4,4,2,2,1,0,False
jejunum,sex_ontology_term,male,5,5,2,2,1,0,False
jejunum,age_range,20-29,3,3,1,5,1,0,False
jejunum,age_range,40-49,2,2,1,5,1,0,False
jejunum,age_range,50-59,1,1,1,5,1,0,False
jejunum,age_range,60-69,1,1,1,5,1,0,False
jejunum,age_range,70-79,2,2,2,5,1,0,False
jejunum,assay,10x 3' v2,1,1,1,3,0,0,False
jejunum,assay,10x 3' v3,7,7,1,3,0,0,False
jejunum,assay,10x 5' v2,1,1,1,3,0,0,False
jejunum,sample_collection_method,surgical resection,9,9,3,1,0,0,False
jejunum,sequenced_fragment,3 prime tag,8,8,2,2,0,0,False
jejunum,sequenced_fragment,5 prime tag,1,1,1,2,0,0,False
jejunum,gene_annotation_version,v98,9,9,3,1,0,0,False
ileum,sampled_site_condition,adjacent,27,21,5,2,2,1,True
ileum,sampled_site_condition,healthy,44,38,7,2,2,1,True
ileum,radial_tissue_term,EPI,9,9,1,5,3,1,True
ileum,radial_tissue_term,EPI_LP,25,22,4,5,3,1,True
ileum,radial_tissue_term,EPI_LP_MUSC,8,6,3,5,3,1,True
ileum,radial_tissue_term,LP,22,19,4,5,3,1,True
ileum,radial_tissue_term,WM,7,7,1,5,3,1,True
ileum,sample_preservation_method,ambient temperature,71,59,10,1,0,0,False
ileum,sex_ontology_term,female,37,34,8,2,6,1,True
ileum,sex_ontology_term,male,32,23,7,2,6,1,True
ileum,sex_ontology_term,unknown,2,2,1,2,6,1,True
ileum,age_range,0-9,3,2,1,8,6,1,True
ileum,age_range,10-19,2,2,1,8,6,1,True
ileum,age_range,20-29,4,3,2,8,6,1,True
ileum,age_range,30-39,7,6,2,8,6,1,True
ileum,age_range,40-49,5,5,3,8,6,1,True
ileum,age_range,50-59,24,18,6,8,6,1,True
ileum,age_range,60-69,16,13,5,8,6,1,True
ileum,age_range,70-79,6,6,3,8,6,1,True
ileum,age_range,unknown,4,4,2,8,6,1,True
ileum,assay,10x 3' v2,22,17,6,3,0,0,False
ileum,assay,10x 3' v3,48,41,3,3,0,0,False
ileum,assay,10x 5' v1,1,1,1,3,0,0,False
ileum,sample_collection_method,biopsy,59,49,6,2,1,0,False
ileum,sample_collection_method,surgical resection,12,10,5,2,1,0,False
ileum,sequenced_fragment,3 prime tag,70,58,9,2,0,0,False
ileum,sequenced_fragment,5 prime tag,1,1,1,2,0,0,False
ileum,gene_annotation_version,v98,71,59,10,1,0,0,False
colon,sampled_site_condition,adjacent,7,7,3,2,1,0,False
colon,sampled_site_condition,healthy,35,30,10,2,1,0,False
colon,radial_tissue_term,EPI,15,14,3,5,1,1,True
colon,radial_tissue_term,EPI_LP,9,8,4,5,1,1,True
colon,radial_tissue_term,EPI_LP_MUSC,8,7,4,5,1,1,True
colon,radial_tissue_term,LP,5,5,1,5,1,1,True
colon,radial_tissue_term,WM,5,5,1,5,1,1,True
colon,sample_preservation_method,ambient temperature,26,23,10,2,0,0,False
colon,sample_preservation_method,frozen at -80C,16,14,2,2,0,0,False
colon,sex_ontology_term,female,18,17,7,2,6,1,True
colon,sex_ontology_term,male,24,20,11,2,6,1,True
colon,age_range,0-9,4,4,1,8,7,0,False
colon,age_range,10-19,5,3,2,8,7,0,False
colon,age_range,20-29,3,2,2,8,7,0,False
colon,age_range,30-39,3,3,3,8,7,0,False
colon,age_range,40-49,5,4,3,8,7,0,False
colon,age_range,50-59,13,12,7,8,7,0,False
colon,age_range,60-69,8,8,6,8,7,0,False
colon,age_range,80-89,1,1,1,8,7,0,False
colon,assay,10x 3' v2,14,13,5,5,0,0,False
colon,assay,10x 3' v3,21,18,3,5,0,0,False
colon,assay,10x 5' v1,4,4,2,5,0,0,False
colon,assay,10x 5' v2,1,1,1,5,0,0,False
colon,assay,10x 5' v3,2,1,1,5,0,0,False
colon,sample_collection_method,biopsy,26,23,5,2,0,0,False
colon,sample_collection_method,surgical resection,16,14,7,2,0,0,False
colon,sequenced_fragment,3 prime tag,35,31,8,2,0,0,False
colon,sequenced_fragment,5 prime tag,7,6,4,2,0,0,False
colon,gene_annotation_version,v104,2,1,1,2,0,0,False
colon,gene_annotation_version,v98,40,36,11,2,0,0,False
