segment,covariate,lineage,celltype,analysis_type,n_categories_tested,categories_tested,n_samples,n_donors,n_datasets,omega_squared,kruskal_p_value,highest_median_pct_category,highest_median_within_lineage_pct,lowest_median_pct_category,lowest_median_within_lineage_pct,n_datasets_with_multiple_categories,n_datasets_with_two_categories_each_n_ge_5,within_study_contrast_supported,spearman_age_rho,spearman_age_p_value,kruskal_fdr_within_segment_covariate,spearman_age_fdr_within_segment_covariate
duodenum,radial_tissue_term,epithelial,BEST4 Colonocytes,descriptive,3,EPI | EPI_LP | EPI_LP_MUSC,6,5,3,0.0,,EPI,0.0,EPI,0.0,0,0,False,,,,
duodenum,radial_tissue_term,epithelial,BEST4 Enterocytes,descriptive,3,EPI | EPI_LP | EPI_LP_MUSC,6,5,3,0.09322873147275382,,EPI,2.5,EPI_LP,0.0,0,0,False,,,,
duodenum,radial_tissue_term,epithelial,Brunners Gland Cells,descriptive,3,EPI | EPI_LP | EPI_LP_MUSC,6,5,3,0.11359369054677593,,EPI_LP_MUSC,2.941176470588235,EPI,0.0,0,0,False,,,,
duodenum,radial_tissue_term,epithelial,Colonocyte Progenitors,descriptive,3,EPI | EPI_LP | EPI_LP_MUSC,6,5,3,0.0,,EPI,0.0,EPI,0.0,0,0,False,,,,
duodenum,radial_tissue_term,epithelial,Crypt Top Colonocytes,descriptive,3,EPI | EPI_LP | EPI_LP_MUSC,6,5,3,0.0,,EPI,0.0,EPI,0.0,0,0,False,,,,
duodenum,radial_tissue_term,epithelial,EEC Enterochromaffin (EC),descriptive,3,EPI | EPI_LP | EPI_LP_MUSC,6,5,3,0.0,,EPI,0.0,EPI,0.0,0,0,False,,,,
duodenum,radial_tissue_term,epithelial,EEC L,descriptive,3,EPI | EPI_LP | EPI_LP_MUSC,6,5,3,0.11437575175552665,,EPI,1.6666666666666667,EPI_LP,0.0,0,0,False,,,,
duodenum,radial_tissue_term,epithelial,EEC N,descriptive,3,EPI | EPI_LP | EPI_LP_MUSC,6,5,3,0.14226149479716382,,EPI,0.8333333333333334,EPI_LP,0.0,0,0,False,,,,
duodenum,radial_tissue_term,epithelial,EEC Progenitors,descriptive,3,EPI | EPI_LP | EPI_LP_MUSC,6,5,3,0.0,,EPI_LP_MUSC,50.0,EPI,0.0,0,0,False,,,,
duodenum,radial_tissue_term,epithelial,EEC S,descriptive,3,EPI | EPI_LP | EPI_LP_MUSC,6,5,3,0.0,,EPI,0.0,EPI,0.0,0,0,False,,,,
duodenum,radial_tissue_term,epithelial,Enterocyte Progenitors,descriptive,3,EPI | EPI_LP | EPI_LP_MUSC,6,5,3,0.0,,EPI_LP_MUSC,6.862745098039216,EPI_LP,0.0,0,0,False,,,,
