segment,covariate,category_A,category_B,contrast,lineage,celltype,analysis_type,n_samples_A,n_samples_B,n_donors_A,n_donors_B,n_datasets_A,n_datasets_B,mean_clr_A,mean_clr_B,delta_clr_B_minus_A,median_within_lineage_pct_A,median_within_lineage_pct_B,delta_median_pct_B_minus_A,mannwhitney_p_value,n_datasets_with_multiple_categories,n_datasets_with_two_categories_each_n_ge_5,within_study_contrast_supported,mannwhitney_fdr_within_segment_covariate_contrast
duodenum,radial_tissue_term,EPI,EPI_LP,EPI_LP minus EPI,epithelial,BEST4 Colonocytes,descriptive,2,2,2,2,1,1,-0.3957767227368476,-0.039236153166716914,0.3565405695701307,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP_MUSC,EPI_LP_MUSC minus EPI,epithelial,BEST4 Colonocytes,descriptive,2,2,2,1,1,1,-0.3957767227368476,-0.25201985750350864,0.14375686523333897,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI_LP,EPI_LP_MUSC,EPI_LP_MUSC minus EPI_LP,epithelial,BEST4 Colonocytes,descriptive,2,2,2,1,1,1,-0.039236153166716914,-0.25201985750350864,-0.21278370433679172,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP,EPI_LP minus EPI,epithelial,BEST4 Enterocytes,descriptive,2,2,2,2,1,1,0.5771783517908089,-0.039236153166716914,-0.6164145049575258,2.5,0.0,-2.5,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP_MUSC,EPI_LP_MUSC minus EPI,epithelial,BEST4 Enterocytes,descriptive,2,2,2,1,1,1,0.5771783517908089,-0.25201985750350864,-0.8291982092943175,2.5,0.0,-2.5,,0,0,False,
duodenum,radial_tissue_term,EPI_LP,EPI_LP_MUSC,EPI_LP_MUSC minus EPI_LP,epithelial,BEST4 Enterocytes,descriptive,2,2,2,1,1,1,-0.039236153166716914,-0.25201985750350864,-0.21278370433679172,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP,EPI_LP minus EPI,epithelial,Brunners Gland Cells,descriptive,2,2,2,2,1,1,-0.3957767227368476,-0.039236153166716914,0.3565405695701307,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP_MUSC,EPI_LP_MUSC minus EPI,epithelial,Brunners Gland Cells,descriptive,2,2,2,1,1,1,-0.3957767227368476,0.7209352170241479,1.1167119397609955,0.0,2.941176470588235,2.941176470588235,,0,0,False,
duodenum,radial_tissue_term,EPI_LP,EPI_LP_MUSC,EPI_LP_MUSC minus EPI_LP,epithelial,Brunners Gland Cells,descriptive,2,2,2,1,1,1,-0.039236153166716914,0.7209352170241479,0.7601713701908648,0.0,2.941176470588235,2.941176470588235,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP,EPI_LP minus EPI,epithelial,Colonocyte Progenitors,descriptive,2,2,2,2,1,1,-0.3957767227368476,-0.039236153166716914,0.3565405695701307,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP_MUSC,EPI_LP_MUSC minus EPI,epithelial,Colonocyte Progenitors,descriptive,2,2,2,1,1,1,-0.3957767227368476,-0.25201985750350864,0.14375686523333897,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI_LP,EPI_LP_MUSC,EPI_LP_MUSC minus EPI_LP,epithelial,Colonocyte Progenitors,descriptive,2,2,2,1,1,1,-0.039236153166716914,-0.25201985750350864,-0.21278370433679172,0.0,0.0,0.0,,0,0,False,
