closest_GCA_celltype,support,tp,fp,fn,precision,recall,f1,reannotated_cells,reannotated_fraction
CD4 T,474,0,0,474,0.0,0.0,0.0,474,1.0
GC B Germinal Center,181,0,0,181,0.0,0.0,0.0,181,1.0
Endothelial,131,0,0,131,0.0,0.0,0.0,131,1.0
NK Cells,80,0,0,80,0.0,0.0,0.0,80,1.0
Secretory Goblet cells Mature,68,0,0,68,0.0,0.0,0.0,68,1.0
ILC1,67,0,7,67,0.0,0.0,0.0,67,1.0
Macrophages M1,43,0,0,43,0.0,0.0,0.0,43,1.0
Pericytes,23,0,0,23,0.0,0.0,0.0,23,1.0
T Unconventional,21,0,0,21,0.0,0.0,0.0,21,1.0
Fibroblasts Myofibroblasts,9,0,1,9,0.0,0.0,0.0,9,1.0
Fibroblasts Subepithelial (S2),7,0,0,7,0.0,0.0,0.0,7,1.0
Glia,6,0,0,6,0.0,0.0,0.0,6,1.0
Fibroblasts Subserosal,74,3,0,71,1.0,0.04054054054054054,0.07792207792207792,71,0.9594594594594594
CD8 T,528,25,10,503,0.7142857142857143,0.04734848484848485,0.08880994671403197,503,0.9526515151515151
B Naive,80,8,75,72,0.0963855421686747,0.1,0.09815950920245399,72,0.9
Enteroendocrine Cells (EEC),16,1,0,15,1.0,0.0625,0.11764705882352941,15,0.9375
Epithelial Stem Cells (LGR5+),256,26,0,230,1.0,0.1015625,0.18439716312056736,230,0.8984375
Transiently Amplifying Cells (TA),63,13,50,50,0.20634920634920634,0.20634920634920634,0.20634920634920634,50,0.7936507936507936
Enterocytes,321,61,23,260,0.7261904761904762,0.19003115264797507,0.30123456790123454,260,0.8099688473520249
B Memory,138,31,2,107,0.9393939393939394,0.2246376811594203,0.36257309941520466,107,0.7753623188405797
DC cDC2,37,11,1,26,0.9166666666666666,0.2972972972972973,0.4489795918367347,26,0.7027027027027027
Colonocytes,90,40,22,50,0.6451612903225806,0.4444444444444444,0.5263157894736842,50,0.5555555555555556
Plasma Cells,222,81,2,141,0.9759036144578314,0.36486486486486486,0.5311475409836066,141,0.6351351351351351
Secretory Goblet Cells,105,66,66,39,0.5,0.6285714285714286,0.5569620253164557,39,0.37142857142857144
Fibroblasts Lamina propria (S1),46,27,0,19,1.0,0.5869565217391305,0.7397260273972603,19,0.41304347826086957
Granulocytes Mast Cells,22,14,0,8,1.0,0.6363636363636364,0.7777777777777778,8,0.36363636363636365
ILC3,34,24,1,10,0.96,0.7058823529411765,0.8135593220338982,10,0.29411764705882354
Secretory Tuft Cells,30,28,5,2,0.8484848484848485,0.9333333333333333,0.888888888888889,2,0.06666666666666667
Secretory Paneth Cells,12,12,0,0,1.0,1.0,1.0,0,0.0
Fibroblasts Follicular Dendritic Cells (fDC),1,1,0,0,1.0,1.0,1.0,0,0.0
