hgca_celltype_v1,n_cells,n_datasets,n_samples,n_donors,n_tissues,n_author_labels,author_v0_exact_fraction,author_level1_match_fraction,author_level2_match_fraction,author_level3_match_fraction,author_level4_match_fraction,author_level5_match_fraction,atlas_increased_resolution_fraction,atlas_same_resolution_fraction,atlas_reduced_resolution_fraction,atlas_changed_branch_fraction,author_taxonomy_mapped_fraction,cell_fraction,rare_lt_0_1pct,one_dataset_only,Disease/case,Health/control,Other/unknown,hgca_celltype_level1,taxonomy_order,lodo_f1,lodo_f1_support,lodo_f1_std,lodo_f1_n_folds,lodo_run
Epithelial,6,4,6,6,2,3,0.0,0.0,,,,,0.0,0.0,0.0,1.0,1.0,0.0018838304552590266,False,False,1,1,0,Epithelial,0,,,,,
Enterocyte Progenitors,37,6,17,15,3,10,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,1.0,0.011616954474097331,False,False,1,1,0,Epithelial,3,,,,,
Lower Villus Enterocytes,81,5,16,13,3,9,0.07407407407407407,1.0,0.4444444444444444,0.4444444444444444,,,0.4444444444444444,0.0,0.0,0.5555555555555556,1.0,0.02543171114599686,False,False,1,1,0,Epithelial,4,,,,,
Mid Villus Enterocytes,110,6,18,15,4,8,0.33636363636363636,1.0,0.6454545454545455,0.6454545454545455,,,0.6454545454545455,0.0,0.0,0.35454545454545455,1.0,0.03453689167974882,False,False,1,1,0,Epithelial,5,,,,,
Villus Tip Enterocytes,110,6,15,14,3,7,0.16363636363636364,1.0,0.9818181818181818,0.9818181818181818,,,0.9818181818181818,0.0,0.0,0.01818181818181818,1.0,0.03453689167974882,False,False,1,1,0,Epithelial,6,,,,,
BEST4 Enterocytes,47,7,14,12,4,9,0.0,1.0,1.0,1.0,,,1.0,0.0,0.0,0.0,1.0,0.014756671899529042,False,False,1,1,1,Epithelial,7,,,,,
Colonocyte Progenitors,35,3,6,5,1,10,0.0,1.0,0.2,0.17142857142857143,,,0.17142857142857143,0.0,0.0,0.8285714285714286,1.0,0.01098901098901099,False,False,0,1,0,Epithelial,9,,,,,
Lower Crypt Colonocytes,83,3,8,6,1,13,0.3132530120481928,1.0,0.3373493975903614,0.3253012048192771,,,0.3253012048192771,0.0,0.0,0.6746987951807228,1.0,0.0260596546310832,False,False,0,1,0,Epithelial,10,,,,,
Mid Crypt Colonocytes,32,3,5,4,1,6,0.5,1.0,0.96875,0.9375,,,0.9375,0.0,0.0,0.0625,1.0,0.010047095761381476,False,False,0,1,0,Epithelial,11,,,,,
Crypt Top Colonocytes,18,4,6,6,2,6,0.5555555555555556,1.0,1.0,1.0,,,1.0,0.0,0.0,0.0,1.0,0.00565149136577708,False,False,0,1,1,Epithelial,12,,,,,
BEST4 Colonocytes,55,7,17,15,3,13,0.0,1.0,0.8727272727272727,0.12727272727272726,,,0.12727272727272726,0.0,0.0,0.8727272727272727,1.0,0.01726844583987441,False,False,1,1,0,Epithelial,13,,,,,
Microfold Cells (M Cells),6,3,5,5,2,5,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,1.0,0.0018838304552590266,False,False,1,1,0,Epithelial,15,,,,,
Enteroendocrine Cells (EEC),1,1,1,1,1,1,1.0,1.0,1.0,,,,0.0,1.0,0.0,0.0,1.0,0.0003139717425431711,True,True,0,1,0,Epithelial,16,,,,,
EEC Progenitors,6,4,6,6,3,4,0.0,1.0,1.0,,,,1.0,0.0,0.0,0.0,1.0,0.0018838304552590266,False,False,1,1,1,Epithelial,17,,,,,
EEC S,1,1,1,1,1,1,0.0,1.0,1.0,,,,1.0,0.0,0.0,0.0,1.0,0.0003139717425431711,True,True,0,1,0,Epithelial,19,,,,,
EEC Enterochromaffin (EC),1,1,1,1,1,1,0.0,1.0,1.0,,,,1.0,0.0,0.0,0.0,1.0,0.0003139717425431711,True,True,0,1,0,Epithelial,21,,,,,
EEC L,4,1,2,2,2,2,0.0,1.0,1.0,,,,1.0,0.0,0.0,0.0,1.0,0.0012558869701726845,False,True,0,1,0,Epithelial,22,,,,,
EEC N,3,3,3,3,2,3,0.0,1.0,1.0,,,,1.0,0.0,0.0,0.0,1.0,0.0009419152276295133,True,False,0,1,0,Epithelial,25,,,,,
Brunners Gland Cells,12,2,3,3,3,7,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,1.0,0.0037676609105180532,False,False,0,1,1,Epithelial,30,,,,,
Paneth Cells,12,6,10,10,2,6,1.0,1.0,1.0,1.0,,,0.0,1.0,0.0,0.0,1.0,0.0037676609105180532,False,False,1,1,0,Epithelial,31,,,,,
Tuft Cells,23,3,6,5,3,4,1.0,1.0,1.0,1.0,,,0.0,1.0,0.0,0.0,1.0,0.007221350078492936,False,False,0,1,0,Epithelial,32,,,,,
Tuft Progenitors,12,9,12,12,3,7,0.4166666666666667,1.0,0.6666666666666666,0.5833333333333334,,,0.5833333333333334,0.0,0.0,0.4166666666666667,1.0,0.0037676609105180532,False,False,1,1,1,Epithelial,33,,,,,
Goblet Cells,108,8,19,18,3,7,0.5370370370370371,1.0,0.9907407407407407,0.9907407407407407,,,0.0,0.6388888888888888,0.35185185185185186,0.009259259259259259,1.0,0.03390894819466248,False,False,1,1,1,Epithelial,34,,,,,
Mature Goblet Cells,29,2,8,8,1,3,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,0.0,0.0,1.0,0.009105180533751962,False,False,1,1,0,Epithelial,35,,,,,
Foveolar Cells,6,1,1,1,1,2,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,1.0,0.0018838304552590266,False,True,0,1,0,Epithelial,36,,,,,
Intestinal Stem Cells (ISC),27,4,9,7,3,7,0.9629629629629629,1.0,1.0,1.0,,,0.0,1.0,0.0,0.0,1.0,0.00847723704866562,False,False,0,1,0,Epithelial,41,,,,,
Transiently Amplifying Cells (TA),59,7,20,14,4,11,0.01694915254237288,1.0,0.9152542372881356,0.06779661016949153,,,0.0,0.06779661016949153,0.0,0.9322033898305084,1.0,0.018524332810047096,False,False,1,1,0,Epithelial,42,,,,,
Secretory Progenitors,37,4,8,6,2,10,0.21621621621621623,1.0,0.02702702702702703,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.011616954474097331,False,False,1,1,0,Epithelial,43,,,,,
Arteriolar Endothelial,31,2,7,3,4,4,0.0,1.0,1.0,,,,1.0,0.0,0.0,0.0,1.0,0.009733124018838305,False,False,0,1,0,Stromal,46,,,,,
Capillary Endothelial,1,1,1,1,1,1,0.0,1.0,1.0,,,,1.0,0.0,0.0,0.0,1.0,0.0003139717425431711,True,True,0,1,0,Stromal,47,,,,,
Post Arteriole Capillary Endothelial (PAC),10,6,8,6,4,7,0.0,1.0,1.0,,,,1.0,0.0,0.0,0.0,1.0,0.0031397174254317113,False,False,1,1,1,Stromal,48,,,,,
Pre Venule Capillary Endothelial (PVC),3,2,3,3,1,2,0.0,1.0,1.0,,,,1.0,0.0,0.0,0.0,1.0,0.0009419152276295133,True,False,0,1,0,Stromal,49,,,,,
Venular Endothelial,46,5,11,6,4,3,0.0,1.0,1.0,,,,1.0,0.0,0.0,0.0,1.0,0.014442700156985872,False,False,1,1,1,Stromal,50,,,,,
Lymphatic Endothelial,31,1,6,2,4,1,0.0,1.0,1.0,,,,1.0,0.0,0.0,0.0,1.0,0.009733124018838305,False,True,0,1,0,Stromal,51,,,,,
Medullary Sinus Endothelial,7,2,4,3,1,2,0.0,1.0,1.0,,,,1.0,0.0,0.0,0.0,1.0,0.002197802197802198,False,False,0,1,1,Stromal,53,,,,,
Crypt Top Fibroblasts (S2B),1,1,1,1,1,1,0.0,1.0,1.0,1.0,,,1.0,0.0,0.0,0.0,1.0,0.0003139717425431711,True,True,0,1,0,Stromal,58,,,,,
Crypt Bottom Fibroblasts (S2A),6,3,6,6,2,3,0.0,1.0,1.0,1.0,,,1.0,0.0,0.0,0.0,1.0,0.0018838304552590266,False,False,1,1,0,Stromal,59,,,,,
