annotation_group,annotation_column,annotation_level,level_order,hgca_celltype_v1,n_samples,mean_clr,row_z
Tissue,tissue_level_1,duodenum,0,Epithelial,6,-0.08126922628024093,0.6724910134174368
Tissue,tissue_level_1,duodenum,0,Enterocyte Progenitors,6,0.6383121259758108,2.060371711481903
Tissue,tissue_level_1,duodenum,0,Lower Villus Enterocytes,6,1.1290519558368841,2.1320344943666143
Tissue,tissue_level_1,duodenum,0,Mid Villus Enterocytes,6,1.0833124815532575,2.054739958817146
Tissue,tissue_level_1,duodenum,0,Villus Tip Enterocytes,6,0.10183282183111068,0.7238246452584911
Tissue,tissue_level_1,duodenum,0,BEST4 Enterocytes,6,0.24304913189564462,1.5935460024292039
Tissue,tissue_level_1,duodenum,0,Colonocyte Progenitors,6,-0.08126922628024093,-0.053370044206348013
Tissue,tissue_level_1,duodenum,0,Lower Crypt Colonocytes,6,-0.08126922628024093,-0.17806622647976994
Tissue,tissue_level_1,duodenum,0,Mid Crypt Colonocytes,6,-0.08126922628024093,0.023293955904485155
Tissue,tissue_level_1,duodenum,0,Crypt Top Colonocytes,6,-0.08126922628024093,0.11860670481090294
Tissue,tissue_level_1,duodenum,0,BEST4 Colonocytes,6,-0.08126922628024093,-0.6033118658147174
Tissue,tissue_level_1,duodenum,0,Microfold Cells (M Cells),6,-0.08126922628024093,0.7371448345384134
Tissue,tissue_level_1,duodenum,0,Enteroendocrine Cells (EEC),6,-0.08126922628024093,1.3901681029010917
Tissue,tissue_level_1,duodenum,0,EEC Progenitors,6,0.10183282183111066,1.905637006804302
Tissue,tissue_level_1,duodenum,0,EEC S,6,-0.08126922628024093,1.4626453716633836
Tissue,tissue_level_1,duodenum,0,EEC Enterochromaffin (EC),6,-0.08126922628024093,1.3901681029010917
Tissue,tissue_level_1,duodenum,0,EEC L,6,0.18697042579210912,2.175641571809117
Tissue,tissue_level_1,duodenum,0,EEC N,6,0.10183282183111068,2.1269798859355022
Tissue,tissue_level_1,duodenum,0,Brunners Gland Cells,6,0.24304913189564462,0.6106057659211412
Tissue,tissue_level_1,duodenum,0,Paneth Cells,6,0.10183282183111068,1.6763105216205065
Tissue,tissue_level_1,duodenum,0,Tuft Cells,6,0.18697042579210912,1.9251598991553411
Tissue,tissue_level_1,duodenum,0,Tuft Progenitors,6,0.28493486994246225,2.0559435007248195
Tissue,tissue_level_1,duodenum,0,Goblet Cells,6,-0.08126922628024093,-0.6789805296754249
Tissue,tissue_level_1,duodenum,0,Mature Goblet Cells,6,-0.08126922628024093,0.1740680964931949
Tissue,tissue_level_1,duodenum,0,Foveolar Cells,6,-0.08126922628024093,-0.35899502522307986
Tissue,tissue_level_1,duodenum,0,Intestinal Stem Cells (ISC),6,0.3700724739034607,2.0268131434956724
Tissue,tissue_level_1,duodenum,0,Transiently Amplifying Cells (TA),6,0.5014820339641725,1.7909006264782108
Tissue,tissue_level_1,duodenum,0,Secretory Progenitors,6,-0.08126922628024093,0.04074562241087499
Tissue,tissue_level_1,duodenum,0,Arteriolar Endothelial,6,0.18697042579210912,1.6369780965167118
Tissue,tissue_level_1,duodenum,0,Capillary Endothelial,6,-0.08126922628024093,1.4626453716633836
Tissue,tissue_level_1,duodenum,0,Post Arteriole Capillary Endothelial (PAC),6,0.10183282183111068,1.7313186437608075
Tissue,tissue_level_1,duodenum,0,Pre Venule Capillary Endothelial (PVC),6,-0.08126922628024093,1.0788488193054606
Tissue,tissue_level_1,duodenum,0,Venular Endothelial,6,0.24304913189564462,1.6643318708563113
Tissue,tissue_level_1,duodenum,0,Lymphatic Endothelial,6,0.10183282183111068,0.8571029115422798
Tissue,tissue_level_1,duodenum,0,Medullary Sinus Endothelial,6,-0.08126922628024093,0.7717866663356101
Tissue,tissue_level_1,duodenum,0,Crypt Top Fibroblasts (S2B),6,-0.08126922628024093,1.4626453716633836
Tissue,tissue_level_1,duodenum,0,Crypt Bottom Fibroblasts (S2A),6,-0.08126922628024093,0.4112976079893315
Tissue,tissue_level_1,duodenum,0,Lamina propria Fibroblasts (S1),6,-0.08126922628024093,0.11064041591990156
Tissue,tissue_level_1,duodenum,0,Submucosal Fibroblasts (S3),6,-0.08126922628024093,-0.34849392307172183
Tissue,tissue_level_1,duodenum,0,Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),6,-0.08126922628024093,1.4626453716633836
Tissue,tissue_level_1,duodenum,0,Fibroblastic Reticular Cells (FRC),6,-0.08126922628024093,0.679365763607039
Tissue,tissue_level_1,duodenum,0,Marginal Reticular Cells (MRC),6,-0.08126922628024093,0.6525844204104911
Tissue,tissue_level_1,duodenum,0,Follicular Dendritic Cells (fDC),6,-0.08126922628024093,1.4626453716633836
Tissue,tissue_level_1,duodenum,0,Muscularis Propria Fibroblasts,6,-0.08126922628024093,0.9726391047206393
Tissue,tissue_level_1,duodenum,0,Myofibroblasts,6,-0.08126922628024093,0.9931867390766062
Tissue,tissue_level_1,duodenum,0,Interstitial Cells of Cajal (ICC),6,-0.08126922628024093,0.9138736565703529
Tissue,tissue_level_1,duodenum,0,Angiogenic Pericytes,6,-0.08126922628024093,1.0919366356285136
Tissue,tissue_level_1,duodenum,0,Contractile Pericytes,6,0.18697042579210912,1.5697425993581042
Tissue,tissue_level_1,duodenum,0,Secretory Pericytes,6,-0.08126922628024093,1.3901681029010917
Tissue,tissue_level_1,duodenum,0,Glia,6,-0.08126922628024093,0.9879585421780264
