dataset_id,hgca_celltype_v1,n_cells
ArendsHelmsley,Epithelial,3
ArendsHelmsley,Goblet Cells,12
ArendsHelmsley,Neutrophils,6
ArendsHelmsley,Tuft Progenitors,1
BasuHelmsley,BEST4 Colonocytes,12
BasuHelmsley,BEST4 Enterocytes,12
BasuHelmsley,CD4 Tfr,1
BasuHelmsley,Crypt Bottom Fibroblasts (S2A),3
BasuHelmsley,Eosinophils,4
BasuHelmsley,Epithelial,1
BasuHelmsley,Follicle Associated Resident Macrophages,1
BasuHelmsley,Monocyte Derived Dendritic Cells (MO DC),2
BasuHelmsley,Paneth Cells,1
BasuHelmsley,Tuft Progenitors,1
Burclaff2022,BEST4 Colonocytes,9
Burclaff2022,BEST4 Enterocytes,3
Burclaff2022,Colonocyte Progenitors,5
Burclaff2022,EEC Enterochromaffin (EC),1
Burclaff2022,EEC L,4
Burclaff2022,EEC N,1
Burclaff2022,Enterocyte Progenitors,4
Burclaff2022,Goblet Cells,15
Burclaff2022,Intestinal Stem Cells (ISC),16
Burclaff2022,Lower Crypt Colonocytes,44
Burclaff2022,Lower Villus Enterocytes,28
Burclaff2022,Mid Crypt Colonocytes,1
Burclaff2022,Mid Villus Enterocytes,9
Burclaff2022,Paneth Cells,1
Burclaff2022,Secretory Progenitors,11
Burclaff2022,Transiently Amplifying Cells (TA),6
Burclaff2022,Tuft Cells,19
Burclaff2022,Tuft Progenitors,1
Burclaff2022,Villus Tip Enterocytes,3
Dominguez2022,CD4 Memory,6
Dominguez2022,CD4 Tfh,1
Dominguez2022,CD4 Th17,5
Dominguez2022,CD8 Effector Memory,5
Dominguez2022,CD8 TRM,28
Dominguez2022,ILC3,1
Dominguez2022,Memory B,7
Dominguez2022,NKT Cells,2
Dominguez2022,Naive B,4
Dominguez2022,Plasma IGA,1
Elmentaite2020,Adipocytes,6
Elmentaite2020,Arteriolar Endothelial,30
Elmentaite2020,BEST4 Colonocytes,19
Elmentaite2020,BEST4 Enterocytes,14
Elmentaite2020,Brunners Gland Cells,5
Elmentaite2020,CD4 Naive,5
Elmentaite2020,CD4 Tfr,1
Elmentaite2020,CD4 Th17,2
Elmentaite2020,CD4 tTreg,1
Elmentaite2020,CD8 Circulating Effector Memory,1
Elmentaite2020,CD8 Effector Memory,6
Elmentaite2020,CD8 IEL,29
Elmentaite2020,CD8 TRM,11
Elmentaite2020,Colonocyte Progenitors,13
Elmentaite2020,Contractile Pericytes,18
Elmentaite2020,Crypt Top Colonocytes,10
Elmentaite2020,EEC Progenitors,1
Elmentaite2020,Enterocyte Progenitors,13
Elmentaite2020,Fibroblastic Reticular Cells (FRC),1
Elmentaite2020,Foveolar Cells,6
Elmentaite2020,GC B Dark Zone (GC B DZ),11
Elmentaite2020,GC B Light Zone (GC B LZ),6
Elmentaite2020,Goblet Cells,4
Elmentaite2020,Homeostatic Macrophages,1
Elmentaite2020,Intestinal Stem Cells (ISC),4
Elmentaite2020,Lamina propria Fibroblasts (S1),15
Elmentaite2020,Lower Crypt Colonocytes,21
Elmentaite2020,Lower Villus Enterocytes,22
Elmentaite2020,Lymphatic Endothelial,31
Elmentaite2020,Marginal Reticular Cells (MRC),1
Elmentaite2020,Medullary Sinus Endothelial,6
Elmentaite2020,Memory B,5
Elmentaite2020,Mid Crypt Colonocytes,29
Elmentaite2020,Mid Villus Enterocytes,48
Elmentaite2020,Muscularis Propria Fibroblasts,2
Elmentaite2020,Myofibroblasts,3
Elmentaite2020,NKT Cells,10
Elmentaite2020,Naive B,2
Elmentaite2020,Paneth Cells,1
Elmentaite2020,Perivascular Resident Macrophages,3
Elmentaite2020,Plasma Cells,2
Elmentaite2020,Plasma IGA,71
Elmentaite2020,Plasma IGG,3
Elmentaite2020,Post Arteriole Capillary Endothelial (PAC),4
Elmentaite2020,Pre Venule Capillary Endothelial (PVC),2
Elmentaite2020,Secretory Progenitors,8
Elmentaite2020,Smooth Muscle Cells (SMC),1
Elmentaite2020,Submucosal Fibroblasts (S3),56
Elmentaite2020,Transiently Amplifying Cells (TA),17
Elmentaite2020,Venular Endothelial,42
Elmentaite2020,Villus Tip Enterocytes,5
HamiltonHelmsley,Angiogenic Pericytes,1
HamiltonHelmsley,Arteriolar Endothelial,1
HamiltonHelmsley,BEST4 Colonocytes,8
HamiltonHelmsley,BEST4 Enterocytes,3
HamiltonHelmsley,CD4 Memory,17
HamiltonHelmsley,CD4 Naive,8
HamiltonHelmsley,CD4 Tfh,3
HamiltonHelmsley,CD4 Tfr,1
HamiltonHelmsley,CD4 Th17,23
HamiltonHelmsley,CD4 pTreg,1
HamiltonHelmsley,CD4 tTreg,1
HamiltonHelmsley,CD8 Circulating Effector Memory,13
HamiltonHelmsley,CD8 Effector Memory,6
HamiltonHelmsley,CD8 IEL,40
HamiltonHelmsley,CD8 Memory Exhausted,2
HamiltonHelmsley,CD8 Naive,2
HamiltonHelmsley,CD8 TRM,18
HamiltonHelmsley,Colonocyte Progenitors,17
HamiltonHelmsley,Crypt Top Colonocytes,6
HamiltonHelmsley,EEC Progenitors,3
HamiltonHelmsley,Enteroendocrine Cells (EEC),1
HamiltonHelmsley,Epithelial,1
HamiltonHelmsley,GC B Dark Zone (GC B DZ),19
HamiltonHelmsley,GC B Light Zone (GC B LZ),9
HamiltonHelmsley,Gamma Delta T Cells,9
HamiltonHelmsley,Glia,4
HamiltonHelmsley,Goblet Cells,16
HamiltonHelmsley,Intestinal Stem Cells (ISC),4
HamiltonHelmsley,Lower Crypt Colonocytes,18
HamiltonHelmsley,MAIT Cells,8
HamiltonHelmsley,Marginal Reticular Cells (MRC),1
HamiltonHelmsley,Memory B,33
HamiltonHelmsley,Microfold Cells (M Cells),1
HamiltonHelmsley,Mid Crypt Colonocytes,2
HamiltonHelmsley,Mid Villus Enterocytes,4
HamiltonHelmsley,NK Cells,1
HamiltonHelmsley,NKT Cells,2
HamiltonHelmsley,Naive B,25
HamiltonHelmsley,Plasma Cells,8
HamiltonHelmsley,Plasma IGA,33
HamiltonHelmsley,Plasma IGG,2
HamiltonHelmsley,Post Arteriole Capillary Endothelial (PAC),1
HamiltonHelmsley,Transiently Amplifying Cells (TA),3
HamiltonHelmsley,Tuft Progenitors,1
HamiltonHelmsley,Venular Endothelial,1
HamiltonHelmsley,Villus Tip Enterocytes,5
He2020,Cycling Macrophages,1
Huang2019,BEST4 Enterocytes,1
Huang2019,CD8 Effector Memory,7
Huang2019,CD8 IEL,1
Huang2019,GC B Dark Zone (GC B DZ),1
Huang2019,GC B Light Zone (GC B LZ),6
Huang2019,Gamma Delta T Cells,5
Huang2019,ILC3,13
Huang2019,MAIT Cells,1
Huang2019,Memory B,4
Huang2019,NK Cells,5
Huang2019,NKT Cells,7
Huang2019,Naive B,4
Huang2019,Plasma Cells,1
Huang2019,Plasma IGG,4
Huang2019,cDC1,1
Jaeger2021,CD4 Tfr,3
James2020_3p,CD4 Memory,18
James2020_3p,CD4 Naive,19
James2020_3p,CD4 Tfh,32
