dataset_id,Epithelial,Enterocyte Progenitors,Lower Villus Enterocytes,Mid Villus Enterocytes,Villus Tip Enterocytes,BEST4 Enterocytes,Colonocyte Progenitors,Lower Crypt Colonocytes,Mid Crypt Colonocytes,Crypt Top Colonocytes,BEST4 Colonocytes,Microfold Cells (M Cells),Enteroendocrine Cells (EEC),EEC Progenitors,EEC S,EEC Enterochromaffin (EC),EEC L,EEC N,Brunners Gland Cells,Paneth Cells,Tuft Cells,Tuft Progenitors,Goblet Cells,Mature Goblet Cells,Foveolar Cells,Intestinal Stem Cells (ISC),Transiently Amplifying Cells (TA),Secretory Progenitors,Arteriolar Endothelial,Capillary Endothelial,Post Arteriole Capillary Endothelial (PAC),Pre Venule Capillary Endothelial (PVC),Venular Endothelial,Lymphatic Endothelial,Medullary Sinus Endothelial,Crypt Top Fibroblasts (S2B),Crypt Bottom Fibroblasts (S2A),Lamina propria Fibroblasts (S1),Submucosal Fibroblasts (S3),Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),Fibroblastic Reticular Cells (FRC),Marginal Reticular Cells (MRC),Follicular Dendritic Cells (fDC),Muscularis Propria Fibroblasts,Myofibroblasts,Interstitial Cells of Cajal (ICC),Angiogenic Pericytes,Contractile Pericytes,Secretory Pericytes,Glia,Smooth Muscle Cells (SMC),Adipocytes,Plasma Cells,Plasma IGA,Plasma IGG,GC B Dark Zone (GC B DZ),GC B Light Zone (GC B LZ),Memory B,Naive B,CD4 Tfh,CD4 Th17,CD4 Tr1,CD4 Tfr,CD4 pTreg,CD4 tTreg,CD4 Naive,CD4 Memory,CD8 Effector Memory,CD8 Circulating Effector Memory,CD8 Memory Exhausted,CD8 TRM,CD8 IEL,CD8 Naive,Gamma Delta T Cells,MAIT Cells,NKT Cells,NK Cells,ILC3,Classical Monocytes,Nonclassical Monocytes,Cycling Macrophages,Homeostatic Macrophages,M0 Macrophages,Perivascular Resident Macrophages,Follicle Associated Resident Macrophages,migDC,cDC1,cDC2,Tolerogenic cDC2,pDC,Monocyte Derived Dendritic Cells (MO DC),Mast Cells,Neutrophils,Eosinophils
Elmentaite2020,0,13,22,48,5,14,13,21,29,10,19,0,0,1,0,0,0,0,5,1,0,0,4,0,6,4,17,8,30,0,4,2,42,31,6,0,0,15,56,0,1,1,0,2,3,0,0,18,0,0,1,6,2,71,3,11,6,5,2,0,2,0,1,0,1,5,0,6,1,0,11,29,0,0,0,10,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
Kong2023_v3,0,7,12,23,69,13,0,0,0,0,1,1,0,1,1,0,0,1,0,3,2,3,20,12,0,0,21,4,0,0,1,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,27,0,0,16,9,29,25,15,32,4,3,7,7,6,22,3,16,0,46,28,4,1,2,37,10,1,1,0,3,1,16,0,3,0,0,2,0,0,1,2,0,1
HamiltonHelmsley,1,0,0,4,5,3,17,18,2,6,8,1,1,3,0,0,0,0,0,0,0,1,16,0,0,4,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0,8,33,2,19,9,33,25,3,23,0,1,1,1,8,17,6,13,2,18,40,2,9,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Krzak2023,0,10,16,12,5,0,0,0,0,0,5,4,0,0,0,0,0,1,0,2,2,1,21,17,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,13,14,18,8,3,7,0,1,1,0,14,13,0,0,0,48,2,1,0,0,5,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1
Wells2025_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,15,0,0,1,0,0,12,35,3,12,94,31,0,0,0,5,7,1,2,3,1,2,0,0,0,0,1,0,0,0,3,10,0,0
Burclaff2022,0,4,28,9,3,3,5,44,1,0,9,0,0,0,0,1,4,1,0,1,19,1,15,0,0,16,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kong2023_v2,1,2,3,14,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,14,0,1,1,1,0,0,0,1,0,3,2,0,1,0,0,3,0,6,1,0,0,0,0,0,18,0,0,6,6,2,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0
Zheng2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,12,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,13,11,18,1,5,9,0,2,0,1,4,3,0,3,0,4,2,1,0,0,0,3,4,0,0,0,0,5,0,5,0,0,5,1,1,0,0,0,0
Luoma2020,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4,0,11,13,12,7,2,3,0,0,1,2,6,11,3,2,0,4,6,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
James2020_3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,36,1,0,3,4,19,18,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Lee2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,8,4,4,6,3,2,0,0,7,0,0,0,1,2,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,2,0,0
Huang2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,6,4,4,0,0,0,0,0,0,0,0,7,0,0,0,1,0,5,1,7,5,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Martin2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,1,8,0,0,0,1,0,8,1,0,1,13,1,0,1,0,0,4,9,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Dominguez2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,4,1,5,0,0,0,0,0,6,5,0,0,28,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wells2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,41,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BasuHelmsley,1,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,4
ArendsHelmsley,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Wang2020,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kinchen2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaeger2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yu2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James2020_5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
He2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
