dataset_id,n_cells,n_samples,n_donors,n_tissues,n_celltypes,author_v0_exact_fraction
Elmentaite2020,628,17,7,8,51,0.12420382165605096
Kong2023_v3,581,26,19,1,54,0.10327022375215146
HamiltonHelmsley,386,14,12,1,46,0.12953367875647667
Krzak2023,268,15,15,1,34,0.08208955223880597
Wells2025_2,244,7,7,1,21,0.13524590163934427
Burclaff2022,181,4,2,3,19,0.4143646408839779
Kong2023_v2,130,6,4,1,33,0.33076923076923076
Zheng2024,123,2,2,1,31,0.15447154471544716
Luoma2020,121,3,3,1,22,0.2892561983471074
James2020_3p,120,2,2,2,10,0.008333333333333333
Lee2020,73,2,2,2,22,0.2054794520547945
Huang2019,61,2,1,1,15,0.18032786885245902
Martin2019,61,2,2,1,21,0.09836065573770492
Dominguez2022,60,1,1,1,10,0.11666666666666667
Wells2025,60,1,1,1,5,0.0
BasuHelmsley,38,12,10,2,10,0.05263157894736842
ArendsHelmsley,22,3,3,1,4,0.09090909090909091
Wang2020,15,4,4,2,4,0.8
Kinchen2018,6,2,2,1,3,0.0
Jaeger2021,3,2,2,1,1,0.0
Yu2021,2,2,2,1,1,0.0
James2020_5p,1,1,1,1,1,1.0
He2020,1,1,1,1,1,0.0
