celltype,short_name,role,unit,exclude_datasets,min_sample_cells,min_ct_cells,n_ids_A,n_ids_B,mean_CLR_A,mean_CLR_B,delta_CLR,ci_lo,ci_hi,p_value,n_datasets,id_col,aggregation
CD4 Tfr,Tfr,featured,sample,,,,36,11,-0.36035355756256465,-0.4430808599873679,-0.08272730242480325,-0.3749649095031201,0.19390055067300194,0.42860461811363637,16,sample_id,sample
Medullary Sinus Endothelial,Med. sinus endo.,featured,sample,,,,21,9,-0.0753357788724102,0.041974052121634936,0.11730983099404514,-0.2881189531582199,0.5728367449084697,1.0,9,sample_id,sample
Follicle Associated Resident Macrophages,FARM,featured,sample,,,,31,8,0.18392264233067127,-0.0832644329473761,-0.26718707527804736,-0.503840500357906,-0.055344928865458,0.4935313166556319,14,sample_id,sample
Tuft Progenitors,Tuft progenitors,featured,sample,,,,70,17,-0.011175114722479267,-0.09728411346556329,-0.08610899874308402,-0.2859813184013487,0.1557583521954619,0.013652558439160772,15,sample_id,sample
BEST4 Enterocytes,BEST4 enterocytes,featured,sample,,,,70,17,0.07218259005777225,0.2246964897124307,0.15251389965465845,-0.24505356385239155,0.6001040442292266,0.526811668941976,15,sample_id,sample
BEST4 Colonocytes,BEST4 colonocytes,featured,sample,,,,70,17,0.1198551589797491,0.3011996445554728,0.18134448557572372,-0.23956151269757495,0.6857531401201392,0.563804472090611,15,sample_id,sample
Lamina propria Fibroblasts (S1),S1 fibroblasts,negative_control,sample,,,,21,9,0.28353869438494755,0.2755658116231265,-0.007972882761821065,-0.7632797207863631,0.8229089958579929,0.5156983940653587,9,sample_id,sample
Goblet Cells,Goblet cells,negative_control,sample,,,,70,17,0.35480252450346056,0.09206152329138968,-0.2627410012120709,-0.6760563316979965,0.26465097407739213,0.00271465278783155,15,sample_id,sample
Villus Tip Enterocytes,Villus-tip enterocytes,negative_control,sample,,,,70,17,0.27713530196713054,-0.08547995490896622,-0.36261525687609675,-0.68213573838832,0.02049478456651056,0.00013480786442301957,15,sample_id,sample
CD8 IEL,CD8 IEL,negative_control,sample,,,,36,11,0.5135453603191954,0.7772343645751548,0.2636890042559594,-0.5172139835858977,1.0143330654343206,0.6241149561615238,16,sample_id,sample
Homeostatic Macrophages,Homeostatic mac.,negative_control,sample,,,,31,8,-0.02871199418573709,0.05406210313613766,0.08277409732187474,-0.14924476304135348,0.3728034311089708,0.773262288967739,14,sample_id,sample
Paneth Cells,Paneth cells,negative_control,sample,,,,70,17,0.0009291404259093561,-0.22653261801475266,-0.22746175844066202,-0.36717678324141284,-0.10139192592892166,0.007858905395042054,15,sample_id,sample
CD4 Tfr,Tfr,featured,donor,,,,34,9,-0.3406362450106224,-0.4771556578128167,-0.13651941280219432,-0.4418904145127879,0.15868259725895645,0.75388035555132,16,donor_id,donor
Medullary Sinus Endothelial,Med. sinus endo.,featured,donor,,,,19,6,-0.06275322149581512,-0.0456644658548054,0.01708875564100972,-0.3178546720640414,0.4688721439194212,0.28199977919643715,9,donor_id,donor
Follicle Associated Resident Macrophages,FARM,featured,donor,,,,31,8,0.18392264233067132,-0.0832644329473761,-0.2671870752780474,-0.4897266535265512,-0.08427116945723293,0.4935313166556319,14,donor_id,donor
Tuft Progenitors,Tuft progenitors,featured,donor,,,,63,13,0.0049377870143355,-0.03063067716499767,-0.03556846417933317,-0.27924956301988557,0.27110188559128395,0.026986335384834664,15,donor_id,donor
BEST4 Enterocytes,BEST4 enterocytes,featured,donor,,,,63,13,0.08478414222704275,0.15728792241668615,0.0725037801896434,-0.307725867839389,0.5723064604178759,0.38364607744817925,15,donor_id,donor
BEST4 Colonocytes,BEST4 colonocytes,featured,donor,,,,63,13,0.10533862970885355,0.3863076909739646,0.28096906126511106,-0.22541056505723578,0.8537824299662736,0.6186762080521262,15,donor_id,donor
Lamina propria Fibroblasts (S1),S1 fibroblasts,negative_control,donor,,,,19,6,0.2953497125020325,0.12952935377131325,-0.16582035873071926,-0.861955348999152,0.6200452304985822,0.34472983033844506,9,donor_id,donor
Goblet Cells,Goblet cells,negative_control,donor,,,,63,13,0.35648312658522524,0.21697515551717167,-0.13950797106805357,-0.651883027688456,0.546035955902553,0.011746966515834284,15,donor_id,donor
Villus Tip Enterocytes,Villus-tip enterocytes,negative_control,donor,,,,63,13,0.2639130029499423,-0.10742121108323109,-0.3713342140331734,-0.6158424335961205,-0.07116352924468444,0.0003593983490881946,15,donor_id,donor
CD8 IEL,CD8 IEL,negative_control,donor,,,,34,9,0.5125320977694996,0.5709490744488245,0.058416976679324883,-0.7473060899427415,0.9715074414677775,0.9880881422501173,16,donor_id,donor
Homeostatic Macrophages,Homeostatic mac.,negative_control,donor,,,,31,8,-0.028711994185737093,0.05406210313613764,0.08277409732187474,-0.13735048319546045,0.3828387300149856,0.773262288967739,14,donor_id,donor
Paneth Cells,Paneth cells,negative_control,donor,,,,63,13,0.00676143253722118,-0.1996479523447069,-0.20640938488192806,-0.33484357386166097,-0.08576692462769654,0.00616121954237137,15,donor_id,donor
