celltype,short_name,role,dataset_id,inference,n_A,n_B,delta_CLR,ci_lo,ci_hi,p_value,n_datasets_both_arms,n_datasets_total,is_pooled,arm_mean_CLR,arm_present
CD4 Tfr,Tfr,featured,ALL (pooled),mixed,36,11,-0.08272730242480325,-0.3749649095031201,0.19390055067300194,0.42860461811363637,1,16,True,,
CD4 Tfr,Tfr,featured,BasuHelmsley,one-arm (no within-study contrast),1,0,,,,,0,1,False,1.0563579698731815,rest
CD4 Tfr,Tfr,featured,Dominguez2022,one-arm (no within-study contrast),0,1,,,,,0,1,False,-0.815936181837297,full
CD4 Tfr,Tfr,featured,Elmentaite2020,within-study,1,8,-1.4250354285155598,,,,1,1,False,,
CD4 Tfr,Tfr,featured,HamiltonHelmsley,one-arm (no within-study contrast),6,0,,,,,0,1,False,-0.6590628921690909,rest
CD4 Tfr,Tfr,featured,Huang2019,one-arm (no within-study contrast),1,0,,,,,0,1,False,-1.0407230791518511,rest
CD4 Tfr,Tfr,featured,Jaeger2021,one-arm (no within-study contrast),2,0,,,,,0,1,False,1.3019472120683704,rest
CD4 Tfr,Tfr,featured,James2020_3p,one-arm (no within-study contrast),0,2,,,,,0,1,False,-0.5542668044423622,full
CD4 Tfr,Tfr,featured,Kong2023_v2,one-arm (no within-study contrast),1,0,,,,,0,1,False,-0.6290054464272266,rest
CD4 Tfr,Tfr,featured,Kong2023_v3,one-arm (no within-study contrast),9,0,,,,,0,1,False,-0.367930703069778,rest
CD4 Tfr,Tfr,featured,Krzak2023,one-arm (no within-study contrast),4,0,,,,,0,1,False,-0.45600454059291395,rest
CD4 Tfr,Tfr,featured,Lee2020,one-arm (no within-study contrast),1,0,,,,,0,1,False,-0.9048551636416052,rest
CD4 Tfr,Tfr,featured,Luoma2020,one-arm (no within-study contrast),2,0,,,,,0,1,False,-1.052952170690325,rest
CD4 Tfr,Tfr,featured,Martin2019,one-arm (no within-study contrast),1,0,,,,,0,1,False,-0.9650019229730966,rest
CD4 Tfr,Tfr,featured,Wells2025,one-arm (no within-study contrast),1,0,,,,,0,1,False,-0.4921569937994405,rest
CD4 Tfr,Tfr,featured,Wells2025_2,one-arm (no within-study contrast),4,0,,,,,0,1,False,-0.6046384047608964,rest
CD4 Tfr,Tfr,featured,Zheng2024,one-arm (no within-study contrast),2,0,,,,,0,1,False,-0.021683013351886382,rest
Medullary Sinus Endothelial,Med. sinus endo.,featured,ALL (pooled),mixed,21,9,0.11730983099404514,-0.2881189531582199,0.5728367449084697,1.0,1,9,True,,
Medullary Sinus Endothelial,Med. sinus endo.,featured,BasuHelmsley,one-arm (no within-study contrast),3,0,,,,,0,1,False,-0.0457755120278382,rest
Medullary Sinus Endothelial,Med. sinus endo.,featured,Elmentaite2020,within-study,1,9,0.13352507617731144,,,,1,1,False,,
Medullary Sinus Endothelial,Med. sinus endo.,featured,HamiltonHelmsley,one-arm (no within-study contrast),2,0,,,,,0,1,False,-0.16021429209743296,rest
Medullary Sinus Endothelial,Med. sinus endo.,featured,Kinchen2018,one-arm (no within-study contrast),2,0,,,,,0,1,False,-0.12508098056472017,rest
Medullary Sinus Endothelial,Med. sinus endo.,featured,Kong2023_v2,one-arm (no within-study contrast),4,0,,,,,0,1,False,-0.18580528973098842,rest
Medullary Sinus Endothelial,Med. sinus endo.,featured,Kong2023_v3,one-arm (no within-study contrast),4,0,,,,,0,1,False,-0.0739843682893195,rest
Medullary Sinus Endothelial,Med. sinus endo.,featured,Lee2020,one-arm (no within-study contrast),1,0,,,,,0,1,False,-0.1831020481113521,rest
Medullary Sinus Endothelial,Med. sinus endo.,featured,Martin2019,one-arm (no within-study contrast),2,0,,,,,0,1,False,-0.0457755120278382,rest
Medullary Sinus Endothelial,Med. sinus endo.,featured,Zheng2024,one-arm (no within-study contrast),2,0,,,,,0,1,False,0.26561422669557166,rest
Follicle Associated Resident Macrophages,FARM,featured,ALL (pooled),between-study,31,8,-0.26718707527804736,-0.503840500357906,-0.055344928865458,0.4935313166556319,0,14,True,,
Follicle Associated Resident Macrophages,FARM,featured,ArendsHelmsley,one-arm (no within-study contrast),0,3,,,,,0,1,False,-0.09695750729494901,full
Follicle Associated Resident Macrophages,FARM,featured,BasuHelmsley,one-arm (no within-study contrast),4,0,,,,,0,1,False,0.17286068637214355,rest
Follicle Associated Resident Macrophages,FARM,featured,Elmentaite2020,one-arm (no within-study contrast),0,3,,,,,0,1,False,-0.0793054685368822,full
Follicle Associated Resident Macrophages,FARM,featured,He2020,one-arm (no within-study contrast),0,1,,,,,0,1,False,-0.0686632680417576,full
Follicle Associated Resident Macrophages,FARM,featured,Huang2019,one-arm (no within-study contrast),1,0,,,,,0,1,False,-0.0686632680417576,rest
Follicle Associated Resident Macrophages,FARM,featured,James2020_3p,one-arm (no within-study contrast),0,1,,,,,0,1,False,-0.0686632680417576,full
Follicle Associated Resident Macrophages,FARM,featured,Kong2023_v2,one-arm (no within-study contrast),3,0,,,,,0,1,False,-0.1144387800695954,rest
Follicle Associated Resident Macrophages,FARM,featured,Kong2023_v3,one-arm (no within-study contrast),8,0,,,,,0,1,False,0.1832607642029185,rest
Follicle Associated Resident Macrophages,FARM,featured,Krzak2023,one-arm (no within-study contrast),4,0,,,,,0,1,False,0.7552959484593249,rest
Follicle Associated Resident Macrophages,FARM,featured,Lee2020,one-arm (no within-study contrast),1,0,,,,,0,1,False,-0.407169543179533,rest
Follicle Associated Resident Macrophages,FARM,featured,Luoma2020,one-arm (no within-study contrast),1,0,,,,,0,1,False,-0.0686632680417576,rest
Follicle Associated Resident Macrophages,FARM,featured,Martin2019,one-arm (no within-study contrast),1,0,,,,,0,1,False,-0.205989804125271,rest
Follicle Associated Resident Macrophages,FARM,featured,Wells2025_2,one-arm (no within-study contrast),6,0,,,,,0,1,False,-0.16062522241731103,rest
Follicle Associated Resident Macrophages,FARM,featured,Zheng2024,one-arm (no within-study contrast),2,0,,,,,0,1,False,1.2902214087012798,rest
Tuft Progenitors,Tuft progenitors,featured,ALL (pooled),mixed,70,17,-0.08610899874308402,-0.2859813184013487,0.1557583521954619,0.013652558439160772,1,15,True,,
Tuft Progenitors,Tuft progenitors,featured,ArendsHelmsley,one-arm (no within-study contrast),0,3,,,,,0,1,False,0.2755692750376951,full
Tuft Progenitors,Tuft progenitors,featured,BasuHelmsley,one-arm (no within-study contrast),5,0,,,,,0,1,False,0.15019682547833096,rest
Tuft Progenitors,Tuft progenitors,featured,Burclaff2022,one-arm (no within-study contrast),4,0,,,,,0,1,False,-0.32818871314586917,rest
Tuft Progenitors,Tuft progenitors,featured,Elmentaite2020,within-study,1,13,-0.23306491525859502,,,,1,1,False,,
Tuft Progenitors,Tuft progenitors,featured,HamiltonHelmsley,one-arm (no within-study contrast),12,0,,,,,0,1,False,-0.0620263105726598,rest
Tuft Progenitors,Tuft progenitors,featured,Huang2019,one-arm (no within-study contrast),1,0,,,,,0,1,False,-0.0392361531667169,rest
Tuft Progenitors,Tuft progenitors,featured,James2020_5p,one-arm (no within-study contrast),0,1,,,,,0,1,False,1.059376135501393,full
