celltype,short_name,role,unit,exclude_datasets,min_sample_cells,min_ct_cells,n_ids_A,n_ids_B,mean_CLR_A,mean_CLR_B,delta_CLR,ci_lo,ci_hi,p_value,n_datasets,id_col,left_out,analysis,delta_all,delta_shift,same_sign
CD4 Tfr,Tfr,featured,sample,,,,36,11,-0.36035355756256465,-0.4430808599873679,-0.08272730242480325,-0.3749649095031201,0.19390055067300194,0.42860461811363637,16,sample_id,none (all data),all,-0.08272730242480325,0.0,True
Medullary Sinus Endothelial,Med. sinus endo.,featured,sample,,,,21,9,-0.0753357788724102,0.041974052121634936,0.11730983099404514,-0.2881189531582199,0.5728367449084697,1.0,9,sample_id,none (all data),all,0.11730983099404514,0.0,True
Follicle Associated Resident Macrophages,FARM,featured,sample,,,,31,8,0.18392264233067127,-0.0832644329473761,-0.26718707527804736,-0.503840500357906,-0.055344928865458,0.4935313166556319,14,sample_id,none (all data),all,-0.26718707527804736,0.0,True
Tuft Progenitors,Tuft progenitors,featured,sample,,,,70,17,-0.011175114722479267,-0.09728411346556329,-0.08610899874308402,-0.2859813184013487,0.1557583521954619,0.013652558439160772,15,sample_id,none (all data),all,-0.08610899874308402,0.0,True
BEST4 Enterocytes,BEST4 enterocytes,featured,sample,,,,70,17,0.07218259005777225,0.2246964897124307,0.15251389965465845,-0.24505356385239155,0.6001040442292266,0.526811668941976,15,sample_id,none (all data),all,0.15251389965465845,0.0,True
BEST4 Colonocytes,BEST4 colonocytes,featured,sample,,,,70,17,0.1198551589797491,0.3011996445554728,0.18134448557572372,-0.23956151269757495,0.6857531401201392,0.563804472090611,15,sample_id,none (all data),all,0.18134448557572372,0.0,True
Lamina propria Fibroblasts (S1),S1 fibroblasts,negative_control,sample,,,,21,9,0.28353869438494755,0.2755658116231265,-0.007972882761821065,-0.7632797207863631,0.8229089958579929,0.5156983940653587,9,sample_id,none (all data),all,-0.007972882761821065,0.0,True
Goblet Cells,Goblet cells,negative_control,sample,,,,70,17,0.35480252450346056,0.09206152329138968,-0.2627410012120709,-0.6760563316979965,0.26465097407739213,0.00271465278783155,15,sample_id,none (all data),all,-0.2627410012120709,0.0,True
Villus Tip Enterocytes,Villus-tip enterocytes,negative_control,sample,,,,70,17,0.27713530196713054,-0.08547995490896622,-0.36261525687609675,-0.68213573838832,0.02049478456651056,0.00013480786442301957,15,sample_id,none (all data),all,-0.36261525687609675,0.0,True
CD8 IEL,CD8 IEL,negative_control,sample,,,,36,11,0.5135453603191954,0.7772343645751548,0.2636890042559594,-0.5172139835858977,1.0143330654343206,0.6241149561615238,16,sample_id,none (all data),all,0.2636890042559594,0.0,True
Homeostatic Macrophages,Homeostatic mac.,negative_control,sample,,,,31,8,-0.02871199418573709,0.05406210313613766,0.08277409732187474,-0.14924476304135348,0.3728034311089708,0.773262288967739,14,sample_id,none (all data),all,0.08277409732187474,0.0,True
Paneth Cells,Paneth cells,negative_control,sample,,,,70,17,0.0009291404259093561,-0.22653261801475266,-0.22746175844066202,-0.36717678324141284,-0.10139192592892166,0.007858905395042054,15,sample_id,none (all data),all,-0.22746175844066202,0.0,True
CD4 Tfr,Tfr,featured,sample,ArendsHelmsley,,,36,11,-0.36035355756256465,-0.4430808599873679,-0.08272730242480325,-0.3749649095031201,0.19390055067300194,0.42860461811363637,16,sample_id,ArendsHelmsley,lodo,-0.08272730242480325,0.0,True
Medullary Sinus Endothelial,Med. sinus endo.,featured,sample,ArendsHelmsley,,,21,9,-0.0753357788724102,0.041974052121634936,0.11730983099404514,-0.2881189531582199,0.5728367449084697,1.0,9,sample_id,ArendsHelmsley,lodo,0.11730983099404514,0.0,True
Follicle Associated Resident Macrophages,FARM,featured,sample,ArendsHelmsley,,,31,5,0.18392264233067127,-0.07504858833883235,-0.2589712306695036,-0.48357063820289103,-0.05781992616700496,0.8257048471752496,13,sample_id,ArendsHelmsley,lodo,-0.26718707527804736,0.008215844608543743,True
Tuft Progenitors,Tuft progenitors,featured,sample,ArendsHelmsley,,,70,14,-0.011175114722479267,-0.177181268144833,-0.16600615342235375,-0.3455053532260411,0.04097308667498774,0.003994646425481708,14,sample_id,ArendsHelmsley,lodo,-0.08610899874308402,-0.07989715467926974,True
BEST4 Enterocytes,BEST4 enterocytes,featured,sample,ArendsHelmsley,,,70,14,0.07218259005777225,0.29226748490473914,0.2200848948469669,-0.24175223634267787,0.7450715099538733,0.740624068627908,14,sample_id,ArendsHelmsley,lodo,0.15251389965465845,0.06757099519230844,True
BEST4 Colonocytes,BEST4 colonocytes,featured,sample,ArendsHelmsley,,,70,14,0.1198551589797491,0.385164172928433,0.2653090139486839,-0.22831359763795298,0.8998370065898695,0.8544010470029655,14,sample_id,ArendsHelmsley,lodo,0.18134448557572372,0.08396452837296017,True
Lamina propria Fibroblasts (S1),S1 fibroblasts,negative_control,sample,ArendsHelmsley,,,21,9,0.28353869438494755,0.2755658116231265,-0.007972882761821065,-0.7632797207863631,0.8229089958579929,0.5156983940653587,9,sample_id,ArendsHelmsley,lodo,-0.007972882761821065,0.0,True
Goblet Cells,Goblet cells,negative_control,sample,ArendsHelmsley,,,70,14,0.35480252450346056,-0.09870896181139661,-0.45351148631485716,-0.8093746236732269,-0.005640707432544078,0.0007994727273640913,14,sample_id,ArendsHelmsley,lodo,-0.2627410012120709,-0.19077048510278627,True
Villus Tip Enterocytes,Villus-tip enterocytes,negative_control,sample,ArendsHelmsley,,,70,14,0.27713530196713054,-0.08437534070695728,-0.36151064267408783,-0.7010365502223608,0.07288306901190306,0.00033252575486805773,14,sample_id,ArendsHelmsley,lodo,-0.36261525687609675,0.0011046142020089134,True
CD8 IEL,CD8 IEL,negative_control,sample,ArendsHelmsley,,,36,11,0.5135453603191954,0.7772343645751548,0.2636890042559594,-0.5172139835858977,1.0143330654343206,0.6241149561615238,16,sample_id,ArendsHelmsley,lodo,0.2636890042559594,0.0,True
Homeostatic Macrophages,Homeostatic mac.,negative_control,sample,ArendsHelmsley,,,31,5,-0.02871199418573709,0.14467386939478963,0.1733858635805267,-0.13760459500138675,0.6285346178653181,0.3576673615841881,13,sample_id,ArendsHelmsley,lodo,0.08277409732187474,0.09061176625865197,True
Paneth Cells,Paneth cells,negative_control,sample,ArendsHelmsley,,,70,14,0.0009291404259093561,-0.2556535744782694,-0.2565827149041788,-0.3993279650837674,-0.12706023823394458,0.006597432168159329,14,sample_id,ArendsHelmsley,lodo,-0.22746175844066202,-0.029120956463516756,True
CD4 Tfr,Tfr,featured,sample,BasuHelmsley,,,35,11,-0.40083102977501456,-0.4430808599873679,-0.042249830212353345,-0.30771884088140633,0.217051060616047,0.3406490657696337,15,sample_id,BasuHelmsley,lodo,-0.08272730242480325,0.040477472212449905,True
Medullary Sinus Endothelial,Med. sinus endo.,featured,sample,BasuHelmsley,,,18,9,-0.08026249001317219,0.041974052121634936,0.12223654213480713,-0.27414195235928396,0.6046356132431185,0.979182108493039,8,sample_id,BasuHelmsley,lodo,0.11730983099404514,0.004926711140761986,True
Follicle Associated Resident Macrophages,FARM,featured,sample,BasuHelmsley,,,27,8,0.18556145062082355,-0.0832644329473761,-0.26882588356819964,-0.5069457005243536,-0.045486239116933024,0.572725166702605,13,sample_id,BasuHelmsley,lodo,-0.26718707527804736,-0.0016388082901522827,True
Tuft Progenitors,Tuft progenitors,featured,sample,BasuHelmsley,,,65,17,-0.023588340891772364,-0.09728411346556329,-0.07369577257379092,-0.2860417975229923,0.1458174680204321,0.020147488043855445,14,sample_id,BasuHelmsley,lodo,-0.08610899874308402,0.012413226169293093,True
BEST4 Enterocytes,BEST4 enterocytes,featured,sample,BasuHelmsley,,,65,17,0.033562056006958635,0.2246964897124307,0.19113443370547206,-0.18792926546095343,0.6822488076374057,0.6370332052986083,14,sample_id,BasuHelmsley,lodo,0.15251389965465845,0.038620534050813615,True
BEST4 Colonocytes,BEST4 colonocytes,featured,sample,BasuHelmsley,,,65,17,0.08490174561524139,0.3011996445554728,0.21629789894023144,-0.19848078990629747,0.6950174810018672,0.6460270232613562,14,sample_id,BasuHelmsley,lodo,0.18134448557572372,0.03495341336450772,True
Lamina propria Fibroblasts (S1),S1 fibroblasts,negative_control,sample,BasuHelmsley,,,18,9,0.3384243954537451,0.2755658116231265,-0.0628585838306186,-0.7874276081870063,0.7040355103084818,0.5145664669155685,8,sample_id,BasuHelmsley,lodo,-0.007972882761821065,-0.05488570106879753,True
Goblet Cells,Goblet cells,negative_control,sample,BasuHelmsley,,,65,17,0.3874431519464413,0.09206152329138968,-0.29538162865505163,-0.7191879457882117,0.2366094435342131,0.002886716079104873,14,sample_id,BasuHelmsley,lodo,-0.2627410012120709,-0.03264062744298074,True
Villus Tip Enterocytes,Villus-tip enterocytes,negative_control,sample,BasuHelmsley,,,65,17,0.30380152767654744,-0.08547995490896622,-0.38928148258551365,-0.7174253565481159,-0.01614427050103852,0.00014754303931969334,14,sample_id,BasuHelmsley,lodo,-0.36261525687609675,-0.026666225709416902,True
CD8 IEL,CD8 IEL,negative_control,sample,BasuHelmsley,,,35,11,0.5294253511510275,0.7772343645751548,0.2478090134241273,-0.5714245872447635,1.067460643725792,0.6246161620474684,15,sample_id,BasuHelmsley,lodo,0.2636890042559594,-0.015879990831832114,True
Homeostatic Macrophages,Homeostatic mac.,negative_control,sample,BasuHelmsley,,,27,8,-0.01788526950290054,0.05406210313613766,0.07194737263903819,-0.17927741994905105,0.3981588297269824,0.878814386536254,13,sample_id,BasuHelmsley,lodo,0.08277409732187474,-0.010826724682836547,True
