context,n_samples,n_pos,capture_rate,rule,strata,radial_layer,segment,dataset_id,collection
full_thickness,19,0,0.0,niche_primary,depth,,,,
not_full_thickness,109,4,0.03669724770642202,niche_primary,depth,,,,
,28,0,0.0,niche_primary,radial_layer,EPI,,,
,36,2,0.05555555555555555,niche_primary,radial_layer,EPI_LP,,,
,19,0,0.0,niche_primary,radial_layer,EPI_LP_MUSC,,,
,33,2,0.06060606060606061,niche_primary,radial_layer,LP,,,
,12,0,0.0,niche_primary,radial_layer,WM,,,
,42,1,0.023809523809523808,niche_primary,segment,,colon,,
,6,0,0.0,niche_primary,segment,,duodenum,,
,71,3,0.04225352112676056,niche_primary,segment,,ileum,,
,9,0,0.0,niche_primary,segment,,jejunum,,
,3,0,0.0,niche_primary,dataset,,,ArendsHelmsley,
,12,0,0.0,niche_primary,dataset,,,BasuHelmsley,
,4,0,0.0,niche_primary,dataset,,,Burclaff2022,
,1,0,0.0,niche_primary,dataset,,,Dominguez2022,
,15,0,0.0,niche_primary,dataset,,,Elmentaite2020,
,14,0,0.0,niche_primary,dataset,,,HamiltonHelmsley,
,1,0,0.0,niche_primary,dataset,,,He2020,
,2,0,0.0,niche_primary,dataset,,,Huang2019,
,2,0,0.0,niche_primary,dataset,,,Jaeger2021,
,1,0,0.0,niche_primary,dataset,,,James2020_3p,
,1,0,0.0,niche_primary,dataset,,,James2020_5p,
,2,0,0.0,niche_primary,dataset,,,Kinchen2018,
,6,0,0.0,niche_primary,dataset,,,Kong2023_v2,
,26,1,0.038461538461538464,niche_primary,dataset,,,Kong2023_v3,
,15,1,0.06666666666666667,niche_primary,dataset,,,Krzak2023,
,2,1,0.5,niche_primary,dataset,,,Lee2020,
,3,0,0.0,niche_primary,dataset,,,Luoma2020,
,2,0,0.0,niche_primary,dataset,,,Martin2019,
,4,0,0.0,niche_primary,dataset,,,Wang2020,
,1,0,0.0,niche_primary,dataset,,,Wells2025,
,7,0,0.0,niche_primary,dataset,,,Wells2025_2,
,2,0,0.0,niche_primary,dataset,,,Yu2021,
,2,1,0.5,niche_primary,dataset,,,Zheng2024,
full_thickness,8,0,0.0,niche_primary,segment×depth,,colon,,
not_full_thickness,34,1,0.029411764705882353,niche_primary,segment×depth,,colon,,
full_thickness,2,0,0.0,niche_primary,segment×depth,,duodenum,,
not_full_thickness,4,0,0.0,niche_primary,segment×depth,,duodenum,,
full_thickness,8,0,0.0,niche_primary,segment×depth,,ileum,,
not_full_thickness,63,3,0.047619047619047616,niche_primary,segment×depth,,ileum,,
full_thickness,1,0,0.0,niche_primary,segment×depth,,jejunum,,
not_full_thickness,8,0,0.0,niche_primary,segment×depth,,jejunum,,
,15,0,0.0,niche_primary,segment×radial_layer,EPI,colon,,
,9,1,0.1111111111111111,niche_primary,segment×radial_layer,EPI_LP,colon,,
,8,0,0.0,niche_primary,segment×radial_layer,EPI_LP_MUSC,colon,,
,5,0,0.0,niche_primary,segment×radial_layer,LP,colon,,
,5,0,0.0,niche_primary,segment×radial_layer,WM,colon,,
,2,0,0.0,niche_primary,segment×radial_layer,EPI,duodenum,,
,2,0,0.0,niche_primary,segment×radial_layer,EPI_LP,duodenum,,
,2,0,0.0,niche_primary,segment×radial_layer,EPI_LP_MUSC,duodenum,,
,9,0,0.0,niche_primary,segment×radial_layer,EPI,ileum,,
,25,1,0.04,niche_primary,segment×radial_layer,EPI_LP,ileum,,
,8,0,0.0,niche_primary,segment×radial_layer,EPI_LP_MUSC,ileum,,
,22,2,0.09090909090909091,niche_primary,segment×radial_layer,LP,ileum,,
,7,0,0.0,niche_primary,segment×radial_layer,WM,ileum,,
