sample_id,donor_id,dataset_id,segment,radial_layer,context,collection,sample_total_cells,detect_GC,n_support,detect_fDC,detect_Tfh,detect_Tfr,niche_primary,niche_strict,niche_loose
4918STDY7923744,T182,Elmentaite2020,ileum,EPI_LP,not_full_thickness,biopsy,1.0,False,0,False,False,False,False,False,False
Burclaff2022_donor1_duodenum,Burclaff2022_donor1,Burclaff2022,duodenum,EPI,not_full_thickness,surgical resection,60.0,False,0,False,False,False,False,False,False
Burclaff2022_donor2_ascending-colon,Burclaff2022_donor2,Burclaff2022,colon,EPI,not_full_thickness,surgical resection,60.0,False,0,False,False,False,False,False,False
Burclaff2022_donor2_descending-colon,Burclaff2022_donor2,Burclaff2022,colon,EPI,not_full_thickness,surgical resection,60.0,False,0,False,False,False,False,False,False
Burclaff2022_donor2_duodenum,Burclaff2022_donor2,Burclaff2022,duodenum,EPI,not_full_thickness,surgical resection,1.0,False,0,False,False,False,False,False,False
GSM3584931,FA602_FA604,Huang2019,colon,EPI_LP,not_full_thickness,biopsy,1.0,False,0,False,False,False,False,False,False
GSM3587010,D3_54M_Wang2020,Wang2020,colon,EPI,not_full_thickness,surgical resection,1.0,False,0,False,False,False,False,False,False
GSM3587011,D2_67F_Wang2020,Wang2020,colon,EPI,not_full_thickness,surgical resection,1.0,False,0,False,False,False,False,False,False
GSM3587012,D4_66F_Wang2020,Wang2020,colon,EPI,not_full_thickness,surgical resection,1.0,False,0,False,False,False,False,False,False
GSM3587013,D5_50F_Wang2020,Wang2020,colon,EPI,not_full_thickness,surgical resection,12.0,False,0,False,False,False,False,False,False
GSM3972021,patient12_Martin2019,Martin2019,ileum,EPI_LP,not_full_thickness,surgical resection,60.0,False,0,False,False,False,False,False,False
H110216_E,110216,Kong2023_v3,ileum,EPI,not_full_thickness,biopsy,60.0,False,0,False,False,False,False,False,False
H157844_L,157844,Kong2023_v3,ileum,LP,not_full_thickness,biopsy,60.0,False,1,False,True,False,False,False,False
H158108_N1,158108,Kong2023_v2,ileum,EPI_LP,not_full_thickness,biopsy,64.0,True,0,False,False,False,False,False,True
H158160_E,158160,Kong2023_v3,ileum,EPI,not_full_thickness,biopsy,60.0,False,0,False,False,False,False,False,False
H18,H18,Krzak2023,ileum,EPI_LP,not_full_thickness,biopsy,63.0,True,0,False,False,False,False,False,True
H180749_E,180749,Kong2023_v3,ileum,EPI,not_full_thickness,biopsy,2.0,False,0,False,False,False,False,False,False
H180749_L,180749,Kong2023_v3,ileum,LP,not_full_thickness,biopsy,1.0,False,0,False,False,False,False,False,False
H180844_N4,180844,Kong2023_v2,ileum,EPI_LP,not_full_thickness,biopsy,60.0,False,0,False,False,False,False,False,False
H2,H2,Krzak2023,ileum,EPI_LP,not_full_thickness,biopsy,1.0,False,0,False,False,False,False,False,False
H20,H20,Krzak2023,ileum,EPI_LP,not_full_thickness,biopsy,12.0,False,0,False,False,False,False,False,False
