context,n_samples,n_pos,detection_rate,celltype,short_name,strata,radial_layer,segment
full_thickness,19,0,0.0,CD4 Tfh,CD4 Tfh,depth,,
not_full_thickness,109,5,0.045871559633027525,CD4 Tfh,CD4 Tfh,depth,,
,28,0,0.0,CD4 Tfh,CD4 Tfh,radial_layer,EPI,
,36,2,0.05555555555555555,CD4 Tfh,CD4 Tfh,radial_layer,EPI_LP,
,19,0,0.0,CD4 Tfh,CD4 Tfh,radial_layer,EPI_LP_MUSC,
,33,3,0.09090909090909091,CD4 Tfh,CD4 Tfh,radial_layer,LP,
,12,0,0.0,CD4 Tfh,CD4 Tfh,radial_layer,WM,
,42,1,0.023809523809523808,CD4 Tfh,CD4 Tfh,segment,,colon
,6,False,0.0,CD4 Tfh,CD4 Tfh,segment,,duodenum
,71,4,0.056338028169014086,CD4 Tfh,CD4 Tfh,segment,,ileum
,9,0,0.0,CD4 Tfh,CD4 Tfh,segment,,jejunum
full_thickness,8,0,0.0,CD4 Tfh,CD4 Tfh,segment×depth,,colon
not_full_thickness,34,1,0.029411764705882353,CD4 Tfh,CD4 Tfh,segment×depth,,colon
full_thickness,2,False,0.0,CD4 Tfh,CD4 Tfh,segment×depth,,duodenum
not_full_thickness,4,0,0.0,CD4 Tfh,CD4 Tfh,segment×depth,,duodenum
full_thickness,8,0,0.0,CD4 Tfh,CD4 Tfh,segment×depth,,ileum
not_full_thickness,63,4,0.06349206349206349,CD4 Tfh,CD4 Tfh,segment×depth,,ileum
full_thickness,1,False,0.0,CD4 Tfh,CD4 Tfh,segment×depth,,jejunum
not_full_thickness,8,0,0.0,CD4 Tfh,CD4 Tfh,segment×depth,,jejunum
,15,0,0.0,CD4 Tfh,CD4 Tfh,segment×radial_layer,EPI,colon
,9,1,0.1111111111111111,CD4 Tfh,CD4 Tfh,segment×radial_layer,EPI_LP,colon
,8,0,0.0,CD4 Tfh,CD4 Tfh,segment×radial_layer,EPI_LP_MUSC,colon
,5,0,0.0,CD4 Tfh,CD4 Tfh,segment×radial_layer,LP,colon
,5,0,0.0,CD4 Tfh,CD4 Tfh,segment×radial_layer,WM,colon
,2,0,0.0,CD4 Tfh,CD4 Tfh,segment×radial_layer,EPI,duodenum
,2,0,0.0,CD4 Tfh,CD4 Tfh,segment×radial_layer,EPI_LP,duodenum
,2,False,0.0,CD4 Tfh,CD4 Tfh,segment×radial_layer,EPI_LP_MUSC,duodenum
,9,0,0.0,CD4 Tfh,CD4 Tfh,segment×radial_layer,EPI,ileum
,25,1,0.04,CD4 Tfh,CD4 Tfh,segment×radial_layer,EPI_LP,ileum
,8,0,0.0,CD4 Tfh,CD4 Tfh,segment×radial_layer,EPI_LP_MUSC,ileum
,22,3,0.13636363636363635,CD4 Tfh,CD4 Tfh,segment×radial_layer,LP,ileum
,7,0,0.0,CD4 Tfh,CD4 Tfh,segment×radial_layer,WM,ileum
,2,0,0.0,CD4 Tfh,CD4 Tfh,segment×radial_layer,EPI,jejunum
,1,False,0.0,CD4 Tfh,CD4 Tfh,segment×radial_layer,EPI_LP_MUSC,jejunum
,6,0,0.0,CD4 Tfh,CD4 Tfh,segment×radial_layer,LP,jejunum
full_thickness,19,0,0.0,CD4 Tfr,Tfr,depth,,
not_full_thickness,109,0,0.0,CD4 Tfr,Tfr,depth,,
,28,0,0.0,CD4 Tfr,Tfr,radial_layer,EPI,
,36,0,0.0,CD4 Tfr,Tfr,radial_layer,EPI_LP,
,19,0,0.0,CD4 Tfr,Tfr,radial_layer,EPI_LP_MUSC,
,33,0,0.0,CD4 Tfr,Tfr,radial_layer,LP,
,12,0,0.0,CD4 Tfr,Tfr,radial_layer,WM,
,42,0,0.0,CD4 Tfr,Tfr,segment,,colon
,6,False,0.0,CD4 Tfr,Tfr,segment,,duodenum
,71,0,0.0,CD4 Tfr,Tfr,segment,,ileum
,9,0,0.0,CD4 Tfr,Tfr,segment,,jejunum
full_thickness,8,0,0.0,CD4 Tfr,Tfr,segment×depth,,colon
not_full_thickness,34,0,0.0,CD4 Tfr,Tfr,segment×depth,,colon
