celltype,short_name,role,unit,exclude_datasets,min_sample_cells,min_ct_cells,n_ids_A,n_ids_B,mean_CLR_A,mean_CLR_B,delta_CLR,ci_lo,ci_hi,p_value,n_datasets,id_col,aggregation
CD4 Tfr,Tfr,featured,donor,,,,34,9,-0.3406362450106224,-0.4771556578128167,-0.13651941280219432,-0.4418904145127879,0.15868259725895645,0.75388035555132,16,donor_id,donor
Medullary Sinus Endothelial,Med. sinus endo.,featured,donor,,,,19,6,-0.06275322149581512,-0.0456644658548054,0.01708875564100972,-0.3178546720640414,0.4688721439194212,0.28199977919643715,9,donor_id,donor
Follicle Associated Resident Macrophages,FARM,featured,donor,,,,31,8,0.18392264233067132,-0.0832644329473761,-0.2671870752780474,-0.4897266535265512,-0.08427116945723293,0.4935313166556319,14,donor_id,donor
Tuft Progenitors,Tuft progenitors,featured,donor,,,,63,13,0.0049377870143355,-0.03063067716499767,-0.03556846417933317,-0.27924956301988557,0.27110188559128395,0.026986335384834664,15,donor_id,donor
BEST4 Enterocytes,BEST4 enterocytes,featured,donor,,,,63,13,0.08478414222704275,0.15728792241668615,0.0725037801896434,-0.307725867839389,0.5723064604178759,0.38364607744817925,15,donor_id,donor
BEST4 Colonocytes,BEST4 colonocytes,featured,donor,,,,63,13,0.10533862970885355,0.3863076909739646,0.28096906126511106,-0.22541056505723578,0.8537824299662736,0.6186762080521262,15,donor_id,donor
Lamina propria Fibroblasts (S1),S1 fibroblasts,negative_control,donor,,,,19,6,0.2953497125020325,0.12952935377131325,-0.16582035873071926,-0.861955348999152,0.6200452304985822,0.34472983033844506,9,donor_id,donor
Goblet Cells,Goblet cells,negative_control,donor,,,,63,13,0.35648312658522524,0.21697515551717167,-0.13950797106805357,-0.651883027688456,0.546035955902553,0.011746966515834284,15,donor_id,donor
Villus Tip Enterocytes,Villus-tip enterocytes,negative_control,donor,,,,63,13,0.2639130029499423,-0.10742121108323109,-0.3713342140331734,-0.6158424335961205,-0.07116352924468444,0.0003593983490881946,15,donor_id,donor
CD8 IEL,CD8 IEL,negative_control,donor,,,,34,9,0.5125320977694996,0.5709490744488245,0.058416976679324883,-0.7473060899427415,0.9715074414677775,0.9880881422501173,16,donor_id,donor
Homeostatic Macrophages,Homeostatic mac.,negative_control,donor,,,,31,8,-0.028711994185737093,0.05406210313613764,0.08277409732187474,-0.13735048319546045,0.3828387300149856,0.773262288967739,14,donor_id,donor
Paneth Cells,Paneth cells,negative_control,donor,,,,63,13,0.00676143253722118,-0.1996479523447069,-0.20640938488192806,-0.33484357386166097,-0.08576692462769654,0.00616121954237137,15,donor_id,donor
