celltype,mwu_p
Adipocytes,0.3324731408333417
Angiogenic Pericytes,0.07421817703967912
Arteriolar Endothelial,0.036500138079433676
BEST4 Colonocytes,0.09000410182137351
BEST4 Enterocytes,0.4811003219107841
Brunners Gland Cells,0.16889065975686257
CD4 Memory,0.9276085662577942
CD4 Naive,0.4860859116870596
CD4 Tfh,0.8796417258051374
CD4 Tfr,0.5247905582579786
CD4 Th17,0.3798049361311936
CD4 Tr1,0.4860859116870596
CD4 pTreg,0.9758400133547974
CD4 tTreg,0.3798049361311936
CD8 Circulating Effector Memory,0.5247905582579786
CD8 Effector Memory,0.01673449144472778
CD8 IEL,0.7390350250824633
CD8 Memory Exhausted,0.01673449144472778
CD8 Naive,0.9758400133547974
CD8 TRM,0.6066651207037717
Capillary Endothelial,0.16844880877052715
Classical Monocytes,0.9141106571880336
Colonocyte Progenitors,0.16889065975686257
Contractile Pericytes,0.002617224962725782
Crypt Bottom Fibroblasts (S2A),0.20507841752467293
Crypt Top Colonocytes,0.1291128029826848
Crypt Top Fibroblasts (S2B),0.13908141362946988
Cycling Macrophages,0.285774154165504
EEC Enterochromaffin (EC),0.16889065975686257
EEC L,0.16889065975686257
EEC N,0.06730353649693281
EEC Progenitors,0.16726682039712593
EEC S,0.10899883143784042
Enterocyte Progenitors,0.7550229210330275
Enteroendocrine Cells (EEC),0.16889065975686257
Eosinophils,0.18267811425126035
Epithelial,0.8343724257255017
Fibroblastic Reticular Cells (FRC),0.05960327214617529
Follicle Associated Resident Macrophages,0.045481067961682935
Follicular Dendritic Cells (fDC),0.16844880877052715
Foveolar Cells,0.16889065975686257
GC B Dark Zone (GC B DZ),0.3176036280622213
GC B Light Zone (GC B LZ),0.2624866062442627
Gamma Delta T Cells,0.042450788172735274
Glia,0.16925416644821456
Goblet Cells,0.03577186695855949
Homeostatic Macrophages,0.725895751631846
ILC3,0.3176036280622213
Interstitial Cells of Cajal (ICC),0.07659527010689579
Intestinal Stem Cells (ISC),0.23911117345836586
Lamina propria Fibroblasts (S1),0.5080696038453506
Lower Crypt Colonocytes,0.16889065975686257
Lower Villus Enterocytes,0.17784804738033677
Lymphatic Endothelial,0.036500138079433676
M0 Macrophages,0.0035902271501451932
MAIT Cells,0.4135362776921524
Marginal Reticular Cells (MRC),0.1897296479072237
Mast Cells,0.19546556452104835
Mature Goblet Cells,0.001895495926166162
Medullary Sinus Endothelial,0.11382417336225774
Memory B,0.3478205359434978
Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),0.16844880877052715
Microfold Cells (M Cells),0.1550667835758244
Mid Crypt Colonocytes,0.16889065975686257
Mid Villus Enterocytes,0.16726682039712593
"Monocyte Derived Dendritic Cells
(MO DC)",0.31074314257005753
Muscularis Propria Fibroblasts,0.6461850435761427
Myofibroblasts,0.7210519755520508
NK Cells,0.5650147534740867
NKT Cells,0.5650147534740867
Naive B,0.7851898231421872
Neutrophils,0.14107708334059588
Nonclassical Monocytes,0.38810857866451565
Paneth Cells,0.07396388163106492
Perivascular Resident Macrophages,1.0
Plasma Cells,0.8796417258051374
Plasma IGA,0.0027159411830441054
Plasma IGG,0.01970487506693426
Post Arteriole Capillary Endothelial (PAC),0.2840976669117964
Pre Venule Capillary Endothelial (PVC),0.6461850435761427
Secretory Pericytes,0.2407257089723378
Secretory Progenitors,0.2068369258218411
Smooth Muscle Cells (SMC),0.9593194639524205
Submucosal Fibroblasts (S3),0.009284747554992206
Tolerogenic cDC2,0.19546556452104835
Transiently Amplifying Cells (TA),0.5325971635575257
Tuft Cells,0.03972722283827055
Tuft Progenitors,0.21992170956915036
Venular Endothelial,0.0023554644933890733
Villus Tip Enterocytes,0.01653116718810055
cDC1,0.20827996856089925
cDC2,0.19546556452104835
migDC,0.38810857866451565
pDC,0.19546556452104835
