n_genes_in_program,program,program_name,gene,gene_source,lineage,role,cap_source_celltypes,wilcoxon_source_celltypes,methods_summary
47,GC_module,GC B module,ACTG1,wilcoxon_expansion,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,AICDA,cap_marker;curated_staple,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,ANP32B,wilcoxon_expansion,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,ARPC3,wilcoxon_expansion,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,BANK1,cap_marker,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,BASP1,wilcoxon_expansion,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,BCL6,cap_marker;curated_staple,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,BCL7A,cap_marker,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,CD22,wilcoxon_expansion,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,CD38,cap_marker,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
