annotation_group,annotation_column,annotation_level,level_order,hgca_celltype_v1,n_samples,mean_clr,row_z
Tissue,tissue_level_1,duodenum,0,Epithelial,10,-0.5832329239825489,1.1528726479903435
Tissue,tissue_level_1,duodenum,0,Enterocyte Progenitors,10,3.035286075436899,1.6942191539154716
Tissue,tissue_level_1,duodenum,0,Lower Villus Enterocytes,10,4.236341991626978,1.899994544248451
Tissue,tissue_level_1,duodenum,0,Mid Villus Enterocytes,10,3.885436319787483,1.7343883901321957
Tissue,tissue_level_1,duodenum,0,Villus Tip Enterocytes,10,2.245744237417598,1.2448399171588056
Tissue,tissue_level_1,duodenum,0,BEST4 Enterocytes,10,1.9230921865562216,1.8830782305530382
Tissue,tissue_level_1,duodenum,0,Colonocyte Progenitors,10,-0.6930941528493598,-0.4996520920327648
Tissue,tissue_level_1,duodenum,0,Lower Crypt Colonocytes,10,-0.4222891327391388,-0.402868270938227
Tissue,tissue_level_1,duodenum,0,Mid Crypt Colonocytes,10,-0.6930941528493598,-0.3729033995468069
Tissue,tissue_level_1,duodenum,0,Crypt Top Colonocytes,10,-0.5832329239825489,-0.34759936140996595
Tissue,tissue_level_1,duodenum,0,BEST4 Colonocytes,10,-0.4733716951157379,-0.3489898685571428
Tissue,tissue_level_1,duodenum,0,Microfold Cells (M Cells),10,-0.42228913273913876,1.6579318892451138
Tissue,tissue_level_1,duodenum,0,Enteroendocrine Cells (EEC),10,-0.5832329239825489,1.2346858979248196
Tissue,tissue_level_1,duodenum,0,EEC Progenitors,10,-0.007975660099985538,1.9434850860804347
Tissue,tissue_level_1,duodenum,0,EEC S,10,-0.5832329239825489,1.0831919284723508
Tissue,tissue_level_1,duodenum,0,EEC Enterochromaffin (EC),10,0.12195263831304051,1.671604178182486
Tissue,tissue_level_1,duodenum,0,EEC L,10,0.037222852274320185,1.9860637229265743
Tissue,tissue_level_1,duodenum,0,EEC N,10,-0.5832329239825489,0.37095631968951676
Tissue,tissue_level_1,duodenum,0,Brunners Gland Cells,10,0.704814514994509,2.031198876920006
Tissue,tissue_level_1,duodenum,0,Paneth Cells,10,-0.09270544613870589,1.6646936422444467
Tissue,tissue_level_1,duodenum,0,Tuft Cells,10,0.7416710840405343,1.6000806483623722
Tissue,tissue_level_1,duodenum,0,Tuft Progenitors,10,-0.007975660099985538,1.5326991240342631
Tissue,tissue_level_1,duodenum,0,Goblet Cells,10,1.1910921617240111,0.6905008282348815
Tissue,tissue_level_1,duodenum,0,Mature Goblet Cells,10,0.2590773028191153,0.29864920059901007
Tissue,tissue_level_1,duodenum,0,Foveolar Cells,10,-0.6930941528493598,0.47925901233671003
Tissue,tissue_level_1,duodenum,0,Intestinal Stem Cells (ISC),10,2.0869184958607185,1.5230802695309074
Tissue,tissue_level_1,duodenum,0,Transiently Amplifying Cells (TA),10,2.328383524714489,1.2794479448368747
Tissue,tissue_level_1,duodenum,0,Secretory Progenitors,10,0.9026222755651585,0.9920924084281426
Tissue,tissue_level_1,duodenum,0,Arteriolar Endothelial,10,-0.05093192606870804,1.310777856588492
Tissue,tissue_level_1,duodenum,0,Capillary Endothelial,10,-0.6930941528493598,-0.012232062451048558
Tissue,tissue_level_1,duodenum,0,Post Arteriole Capillary Endothelial (PAC),10,-0.5832329239825489,-0.9854460623666627
Tissue,tissue_level_1,duodenum,0,Pre Venule Capillary Endothelial (PVC),10,-0.49850313794382844,0.6160796079161155
Tissue,tissue_level_1,duodenum,0,Venular Endothelial,10,-0.23358216783590086,-0.1632315559533963
Tissue,tissue_level_1,duodenum,0,Lymphatic Endothelial,10,-0.253649237382116,0.48453800733573915
Tissue,tissue_level_1,duodenum,0,Medullary Sinus Endothelial,10,-0.24650334098390142,1.4869054212629937
Tissue,tissue_level_1,duodenum,0,Crypt Top Fibroblasts (S2B),10,-0.6930941528493598,-0.6438631803694205
