,sampled site condition,radial tissue term,sample preservation method,sex ontology term,age range,assay,sample collection method,sequenced fragment,gene annotation version
Post Arteriole Capillary Endothelial (PAC),0.10567322311195139,0.4529769792355745,0.024188296863396998,0.044549923251350626,0.14883429592091915,0.2001113735512482,0.27157279029205583,0.0036905329759862886,0.0
Paneth Cells,0.09855167555032025,0.24593304997456017,0.017728512193443156,0.02181824292503111,0.04585205063559862,0.0036256011560153083,0.004295390104424695,0.000287393739609022,0.001994751000611268
Submucosal Fibroblasts (S3),0.059526122511322235,0.5617911302182607,0.007081933211848736,0.0016411268417255366,0.3218137621616775,0.268299724305036,0.5787257757429721,0.01084845283287554,0.0
Lamina propria Fibroblasts (S1),0.06746057631844492,0.4540867411498383,0.0006790323373930399,0.011945600398047535,0.1532696434801718,0.16134010209768698,0.3869114733076329,0.004795958979578881,0.0
Colonocyte Progenitors,0.028699192543108213,0.16173619610171874,0.28450073102259693,0.0033831329078148884,0.11280078359746643,0.03295943239785692,0.054131799307125215,0.0001899290492178751,0.001920555697633187
Lower Crypt Colonocytes,0.0622088230409169,0.2081978213864763,0.18339864794888497,0.008419029511776829,0.08499581214653626,0.04605937338263997,0.09789210998659438,0.0011507104652319056,0.006551752415447824
Contractile Pericytes,0.013101106092999245,0.21257928329235323,0.0005013844697242895,0.06145815904618678,0.18625967087736758,0.08287795748910715,0.25477233010693234,0.01244847192402926,0.0
Arteriolar Endothelial,0.05955654730300911,0.2911101009263427,0.0035968016440758085,0.05597594814914011,0.20584825714436675,0.1078141883567109,0.2074076258018717,0.0012447361294112066,0.0
Gamma Delta T Cells,0.00018931206943392185,0.05213108698903502,0.1064027988929012,0.021557171687991594,0.3600359991814896,0.09377899010946524,0.0025951502176382786,0.0003250050913633171,0.0
Capillary Endothelial,0.06307450936574939,0.3286176057678434,0.009065906054011664,0.031787466211572454,0.15777242234913438,0.2902995111576879,0.22236055808618926,0.013228826314027822,0.0
CD8 Effector Memory,0.00011565782022105371,0.06270513691169859,0.00040969049240875336,0.013166379683816752,0.0763002135684761,0.11975977007601186,0.056736877488348034,0.11925071811429311,0.0
Plasma IGG,0.0021203178148875594,0.1412739167544158,0.036480757752960356,0.03957141385690902,0.09416529684212636,0.2561832025350392,0.07708254854788797,0.07853721641687096,0.0
Tuft Cells,0.09212309974036413,0.0916180825242948,0.00482806882028867,0.018593846619618916,0.06975401574364853,0.21439425954322752,0.010237143603638909,7.010512486747998e-05,0.1298487728031605
EEC L,0.0015925663330223147,0.07234003534432577,0.005416130707615004,0.016574914366876057,0.021891267063512722,0.004664155608403849,0.00498529019158747,0.0004576756698921231,0.052652589403757624
