Lineage,Differentia,Habitus,Status,Whim,closest_GCA_celltype,markers,neg_markers
Epithelial,,,,,Epithelial,"KRT19, EPCAM, ELF3",
Epithelial,Enterocytes,,,,Enterocytes,CCL25,
Epithelial,Enterocytes,Early,,,Enterocytes Early,"FABP4, ALDOB, ANPEP, PRAP1, FABP1",
Epithelial,Enterocytes,Late,,,Enterocytes Late,"APOA1, APOC3, APOB, GUCA2A, CDHR5, DUOX2",
Epithelial,Enterocytes,BEST4+ Cells,,,Enterocytes BEST4,"BEST4, OTOP2, KLK15, SPIB, CA7, CFTR",
Epithelial,Colonocytes,,,,Colonocytes,"ADH1C, CD24, CA1, CA2, PLA2G2A, PLAC8",
Epithelial,Colonocytes,Early,,,Colonocytes Early,"LEFTY1
ADH1C, SPINK5",
Epithelial,Colonocytes,Late,,,Colonocytes Late,"CEACAM5, FABP1,
AQP8+, TFF1, SLC26A3, CEACAM7, GUCA2A",
Epithelial,Colonocytes,Late,Laminin colonocytes,,Colonocytes Laminin,"LAMA3, MUC17, LMC2, LMO7",
Epithelial,Colonocytes,BEST4+ Cells,,,Colonocytes BEST4,"BEST4, SPIB, OTOP2, CA7",
Epithelial,Follicle associated enterocyte (FAE),,,,Follicle associated enterocyte (FAE),"CCL20, IL15, CCL25, ANPEP",
Epithelial,Epithelial Stem Cells (LGR5+),,,,Epithelial Stem Cells (LGR5+),"LGR5, ASCL2, SMOC2, RGMB",
Epithelial,Enteroendocrine Cells (EEC),,,,Enteroendocrine Cells (EEC),"CHGA, CHGB, NEUROD1, PCSK1N, FXYD3, CPE, SCG5, CA2, SLC26A2, SLC4A4",
Epithelial,Enteroendocrine Cells (EEC),EEC Progenitor,,,EEC Progenitor,NEUROG3,
Epithelial,Enteroendocrine Cells (EEC),I Cells (CCK+),,,EEC I Cells (CCK+),CCK,
Epithelial,Enteroendocrine Cells (EEC),S Cells (SCT+),,,EEC S Cells (SCT+),SCT,
Epithelial,Enteroendocrine Cells (EEC),Mo Cells (MLN+),,,EEC Mo Cells (MLN+),MLN,
Epithelial,Enteroendocrine Cells (EEC),Enterochromaffin Cells,,,EEC Enterochromaffin Cells,"CHGA, TPH1, GULP1, IGFBP3",
Epithelial,Enteroendocrine Cells (EEC),L Cells (PYY+),,,EEC L Cells (PYY+),"PYY, INSL5, GCG, TNNC1",
Epithelial,Enteroendocrine Cells (EEC),K Cells (GIP+),,,EEC K Cells (GIP+),GIP,
Epithelial,Enteroendocrine Cells (EEC),D Cells (SST+),,,EEC D Cells (SST+),SST,
Epithelial,Enteroendocrine Cells (EEC),N Cells,,,EEC N Cells,NTS,
Epithelial,Enteroendocrine Cells (EEC),Gastric Enteroendocrine Cells,,,EEC Gastric Enteroendocrine Cells,,
Epithelial,Enteroendocrine Cells (EEC),Gastric Enteroendocrine Cells,G Cells,,EEC G Cells,"GAST, ERO1B,PGC",
Epithelial,Enteroendocrine Cells (EEC),Gastric Enteroendocrine Cells,Enterochromaffin-like Cells (ECL Cells),,EEC Enterochromaffin-like Cells (ECL Cells),TPH1,
Epithelial,Enteroendocrine Cells (EEC),Gastric Enteroendocrine Cells,D Cells,,EEC D Cells,SST,
Epithelial,Secretory,,,,Secretory Cells,,
Epithelial,Secretory,Brunner's Gland,,,Secretory Brunners Gland Cells,"MUC6, PGC, TFF2",
Epithelial,Secretory,Paneth Cells,,,Secretory Paneth Cells,"DEFA5, DEFA6, LYZ, PRSS2, ITLN2, REG3A, PLA2G2A",
Epithelial,Secretory,Tuft Cells,,,Secretory Tuft Cells,"POU2F3, SH2D6, LRMP, TRPM5, SOX4, CD24, SPIB",
Epithelial,Secretory,Goblet Cells,,,Secretory Goblet Cells,"CLCA1, TFF3, MUC2, SPINK4, REG4, ITLN1, FXYD3",
Epithelial,Secretory,Goblet Cells,Mature goblet cells,,Secretory Goblet cells Mature,TFF1,
Epithelial,Secretory,secretory,,,Secretory Progenitors,"ATOH1, TFF3, CLCA1, HEPACAM2, ANXA13, PHLDA2, KLK1",
Epithelial,Foveolar Cells,,,,,"TFF2, TFF1, MUC5AC, AGR2",
Epithelial,Parietal Cells,,,,,"GPR155, CBLIF, ATP4A, ATP4B",
Epithelial,Chief Cells,,,,,"PGA5, LIPF",
Epithelial,Neck Cells,,,,,"MUC6, PGA3, LYZ, FUT9",
Epithelial,Microfold Cells (M Cells),,,,Microfold Cells (M Cells),"TGM2,NOS2,CCL20,REG3G, RANK, GP2, SPIB, SOX8, CLU, TNFAIP2, CCL23, MIA",
Epithelial,Transiently Amplifying Cells (TA),,,,Transiently Amplifying Cells (TA),"MCM5, TOP2A, CCNA2, PCLAF, HELLS, PCNA, MKI67",
Epithelial,Transiently Amplifying Cells (TA),cycling,,,Cycling Epithelial Cells,"MCM5, TOP2A, CCNA2, PCLAF, HELLS, PCNA, MKI67",
Epithelial,Transiently Amplifying Cells (TA),absorptive,,,Absorptive Progenitors,"NOTCH1, EDN1",
Stromal,,,,,Stromal,,
Stromal,Endothelial,,,,Endothelial,"PECAM1, CDH5, PLVAP",
Stromal,Endothelial,Arteriolar,,,Endothelial Arteriolar,"PLVAP, TM4SF1, SEMA3G, MGP, IGFBP4",
Stromal,Endothelial,Capillary,,,Endothelial Capillary,"CD36, CLDN5, RAMP2, FLT1, IGFBP7",
Stromal,Endothelial,Capillary,Post arteriole capillary (PAC),,Endothelial Post arteriole capillary (PAC),"RGCC,FCN3",
Stromal,Endothelial,Capillary,Pre venule capillary (PVC),,Endothelial Pre venule capillary (PVC),"LITAF, ICAM1",
Stromal,Endothelial,Venular,,,Endothelial Venular,"ACKR1, VWF, SELP, MADCAM1, ADGRG6",
Stromal,Endothelial,Lymphatic,,,Endothelial Lymphatic,"LYVE1, PROX1,MMRN1, MRC1",
Stromal,Endothelial,Lymphatic,Lacteals,,Endothelial Lacteals,,
Stromal,Mesothelial,,,,Mesothelial,"WT1, MSLN",
Stromal,Fibroblasts,,,,Fibroblasts,"ADAMDEC1, FABP4, WNT5A, WNT5B, WNT2, LUM, COL3A1, CXCL6, CXCL14, FBLN1",
Stromal,Fibroblasts,Subepithelial fibroblasts (S2),,,Fibroblasts Subepithelial (S2),"PDGFRA, BMP4, F3, NPY, CD34, TRPA1, SOX6, WNT5A, POSTN",
Stromal,Fibroblasts,Subepithelial fibroblasts (S2),Crypt Top (S2B),,Fibroblasts Crypt Top (S2B),"NRG1, NPY",
Stromal,Fibroblasts,Subepithelial fibroblasts (S2),Crypt Bottom (S2A),,Fibroblasts Crypt Bottom (S2A),VSTM2A,
Stromal,Fibroblasts,Lamina propria fibroblasts (S1),,,Fibroblasts Lamina propria (S1),"ADAMDEC1,ABCA8, FABP4",
Stromal,Fibroblasts,Submucosal Fibroblasts (aka Crypt Support/Trophocytes/S3),,,Fibroblasts Submucosal (aka Crypt Support/Trophocytes/S3),"GREM1,C7, OLFM4, PTGS2, THY1, SEMA3A, GLI1",
Stromal,Fibroblasts,mLTo Cells (mesenchymal lymphoid tissue organizer cells),,,Fibroblasts mLTo Cells (mesenchymal lymphoid tissue organizer cells),,
Stromal,Fibroblasts,Fibroblastic reticular cells,,,Fibroblastic reticular cells,"CCL19, CCL21,TNFSF13B, CXCL13,",
Stromal,Fibroblasts,Follicular Dendritic Cells (fDC),,,Fibroblasts Follicular Dendritic Cells (fDC),"CR1, CR2",
Stromal,Fibroblasts,Subserosal Fibroblasts,,,Fibroblasts Subserosal,"DPT, C7, POSTN",
Stromal,Fibroblasts,Muscularis Propria Fibroblasts,,,Fibroblasts Muscularis Propria,"DPT, C7, KCNN3, CA8, PLCB4",
Stromal,Fibroblasts,Myofibroblasts,,,Fibroblasts Myofibroblasts,"ACTA2, TAGLN,DCN",
Stromal,Fibroblasts,Interstitial Cells of Cajal (ICC),,,Fibroblasts Interstitial Cells of Cajal (ICC),"KIT, ETV1,ANO1",
Stromal,Pericytes,,,,Pericytes,"RGS5, PDGFRB,NOTCH3, PECAM1, MCAM, CSPG4",
Stromal,Pericytes,Angiogenic Pericytes,,,Pericytes Angiogenic,HIGD1B,
Stromal,Pericytes,Contractile Pericytes,,,Pericytes Contractile,"RERGL, NTRK2",
Stromal,Pericytes,Immature Pericytes,,,Pericytes Immature,"NDUFA4L2, PDGFRB, CSPG4",
Stromal,Pericytes,Secretory Pericyte,,,Pericytes Secretory,"MUSTN1, PLN",
Stromal,Glia,,,,Glia,"NRXN1, S100B, SOX10,CDH19, CRYAB, PLP1, SPP1, FXYD1",
Stromal,Glia,Differentiating Glia,,,Glia Differentiating,,
Stromal,Glia,Progenitor Glia,,,Glia Progenitor,,
Stromal,Glia,Intra-Ganglionic Glia,,,Glia Intra-Ganglionic,"APOE, FRZB, RLBP1, CRYM",
Stromal,Glia,Intra-Ganglionic Glia,Myenteric Plexus Glia /Type I,,Glia Myenteric Plexus / Type I,"TF, BCAN, CACLB",
Stromal,Glia,Intra-Ganglionic Glia,Submucosal Plexus Glia / Type I,,Glia Submucosal Plexus / Type I,"ENTPD2, SFRP5",
Stromal,Glia,Extra-Ganglionic Glia,,,Glia Extra-Ganglionic,GFRA3,
Stromal,Glia,Extra-Ganglionic Glia,Mucosal/Type III,,Glia Mucosal/Type III,"RELN, MBP, PLLP",
Stromal,Glia,Extra-Ganglionic Glia,Muscularis propria/Type IV,,Glia Muscularis propria/Type IV,"SLC5A7, APOD, KCNS3",
Stromal,Smooth Muscle Cells (SMC),,,,Smooth Muscle Cells (SMC),"DES,TAGLN, MYH11, ACTG2",
