cell_state,plot_lineage,hgca_celltype_level1,hgca_celltype_level2,hgca_celltype_level3,qc_lineage
Adipocytes,Stromal,Stromal,Adipocytes,nan,Stromal
Angiogenic Pericytes,Stromal,Stromal,Pericytes,Angiogenic Pericytes,Stromal
Arteriolar Endothelial,Endothelial,Stromal,Endothelial,Arteriolar Endothelial,Stromal
BEST4 Colonocytes,Epithelial,Epithelial,Absorptive Epithelial,Colonocytes,Epithelial
BEST4 Enterocytes,Epithelial,Epithelial,Absorptive Epithelial,Enterocytes,Epithelial
Brunners Gland Cells,Epithelial,Epithelial,Secretory Epithelial,Brunners Gland Cells,Epithelial
CD4 Memory,Lymphoid,Lymphoid,T Cells,CD4 T Cells,Lymphoid
CD4 Naive,Lymphoid,Lymphoid,T Cells,CD4 T Cells,Lymphoid
CD4 Tfh,Lymphoid,Lymphoid,T Cells,CD4 T Cells,Lymphoid
CD4 Tfr,Lymphoid,Lymphoid,T Cells,CD4 T Cells,Lymphoid
CD4 Th17,Lymphoid,Lymphoid,T Cells,CD4 T Cells,Lymphoid
CD4 Tr1,Lymphoid,Lymphoid,T Cells,CD4 T Cells,Lymphoid
CD4 pTreg,Lymphoid,Lymphoid,T Cells,CD4 T Cells,Lymphoid
CD4 tTreg,Lymphoid,Lymphoid,T Cells,CD4 T Cells,Lymphoid
CD8 Circulating Effector Memory,Lymphoid,Lymphoid,T Cells,CD8 T Cells,Lymphoid
CD8 Effector Memory,Lymphoid,Lymphoid,T Cells,CD8 T Cells,Lymphoid
CD8 IEL,Lymphoid,Lymphoid,T Cells,CD8 T Cells,Lymphoid
CD8 Memory Exhausted,Lymphoid,Lymphoid,T Cells,CD8 T Cells,Lymphoid
CD8 Naive,Lymphoid,Lymphoid,T Cells,CD8 T Cells,Lymphoid
CD8 TRM,Lymphoid,Lymphoid,T Cells,CD8 T Cells,Lymphoid
Capillary Endothelial,Endothelial,Stromal,Endothelial,Capillary Endothelial,Stromal
Classical Monocytes,Myeloid,Myeloid,Monocytes,Classical Monocytes,Myeloid
Colonocyte Progenitors,Epithelial,Epithelial,Absorptive Epithelial,Colonocytes,Epithelial
Contractile Pericytes,Stromal,Stromal,Pericytes,Contractile Pericytes,Stromal
Crypt Bottom Fibroblasts (S2A),Stromal,Stromal,Fibroblasts,Subepithelial fibroblasts (S2),Stromal
Crypt Top Colonocytes,Epithelial,Epithelial,Absorptive Epithelial,Colonocytes,Epithelial
Crypt Top Fibroblasts (S2B),Stromal,Stromal,Fibroblasts,Subepithelial fibroblasts (S2),Stromal
Cycling Macrophages,Myeloid,Myeloid,Macrophages,Cycling Macrophages,Myeloid
EEC Enterochromaffin (EC),Epithelial,Epithelial,Enteroendocrine Cells (EEC),Enterochromaffin Cells,Epithelial
EEC L,Epithelial,Epithelial,Enteroendocrine Cells (EEC),L Cells (PYY+),Epithelial
