Disease,predicted_Prelim_annotation,n,mean,median,std,p10,p25,p75,p90
Healthy,Plasma IGA,9789,0.45005474535852824,0.45120078325271606,0.15641880004715797,0.24576744735240938,0.3382822871208191,0.5659835934638977,0.657024884223938
Healthy,Colonocytes,4857,0.7765723369127442,0.6933473348617554,0.479440684661091,0.23575538992881775,0.4063166677951813,1.0445516109466553,1.4528515577316286
Healthy,Enterocytes Late,4461,0.2833681397002864,0.14056621491909027,0.3337860513623658,0.01965521089732647,0.04792061820626259,0.41098132729530334,0.7611334323883057
Healthy,Absorptive TA,3609,0.7829059579374306,0.7652543187141418,0.4082436467622999,0.2656182587146759,0.45153698325157166,1.042677402496338,1.3349455118179323
Healthy,Fibroblasts Lamina propria (S1),3359,0.1436615018215988,0.024906715378165245,0.26125545267831596,0.003154820250347257,0.006936682621017098,0.1434101238846779,0.5055525183677675
Healthy,CD4 Naive,3138,0.6867034263799645,0.6238089203834534,0.44604134306154436,0.16893051564693454,0.33430134505033493,0.9160879105329514,1.3589584469795228
Healthy,Colonocytes Early,2955,0.893686241582162,0.8203388452529907,0.41025536650908195,0.40142869353294375,0.6004567742347717,1.1339524984359741,1.4863324403762814
Healthy,Epithelial Stem Cells (LGR5+),2016,0.6626396495475857,0.5515069365501404,0.5598548921187346,0.04344486445188522,0.15546417608857155,1.0202334821224213,1.5106308460235596
Healthy,Colonocytes Late,1585,0.25480417540849243,0.09428228437900543,0.31435425461631783,0.008816918917000293,0.021797718480229378,0.43656256794929504,0.736346995830536
Healthy,Plasma Cells,1327,0.6141252214343097,0.6330618262290955,0.23968470347194518,0.31850587129592894,0.483282133936882,0.6942874789237976,0.7844913840293884
Healthy,CD8 Circulating Effector/Memory,1169,0.740714059850652,0.6668985486030579,0.5650525113463906,0.06059419885277748,0.200717955827713,1.190109133720398,1.548878788948059
Healthy,vascular endothelial Arteriolar,1163,0.2753290769308549,0.11806429922580719,0.3373210507745482,0.01912604607641697,0.038636745885014534,0.41997700929641724,0.7900076031684874
Healthy,Fibroblasts Crypt Bottom (S2A),992,0.16837186252904934,0.009623019024729729,0.3654345010228055,0.0015133260982111098,0.0030185197829268873,0.0837617851793766,0.6924898564815519
Healthy,CD4 Th17,894,0.5892344268931646,0.590350866317749,0.35537391017208386,0.1502301797270775,0.32185088843107224,0.7546658366918564,0.9982526004314424
Healthy,CD8 TRM,801,1.0828233140424248,1.1180979013442993,0.43498960781497187,0.4744628965854645,0.7578315734863281,1.425411343574524,1.6436208486557007
