Disease,coarse_group,n,mean,median,std
Healthy,Absorptive epithelial,19473,0.6453888782681757,0.5884926915168762,0.4910550110835232
Healthy,B cells,6,1.8046028017997742,1.7828635573387146,0.5093080921165019
Healthy,CD4 T,4830,0.6914176860868576,0.6412917077541351,0.45447963097438476
Healthy,CD8 T,3234,0.868542315757614,0.8568859398365021,0.5484003376791344
Healthy,Cycling,708,0.9269847030314685,0.9088686108589172,0.405860700222771
Healthy,Dendritic cells,317,0.24121689485385647,0.0880657434463501,0.31232932756449533
Healthy,Doublet,32,1.1578183937817812,1.2407925128936768,0.5031630188607424
Healthy,Endothelial,1829,0.2934133751552599,0.12637299299240112,0.3560891773137825
Healthy,Enteroendocrine,689,0.5963919492687149,0.3341551423072815,0.6356376556979516
Healthy,Fibroblasts,5279,0.1859773240619683,0.03192480280995369,0.304871000609448
Healthy,Glia,1161,0.6622204268022306,0.6613668203353882,0.3109056028635088
Healthy,Granulocytes,154,0.018102444090906722,0.0007887359242886305,0.08414140967102603
Healthy,ILC and NK,238,0.5396384040300711,0.5271508693695068,0.32539678722792825
Healthy,Macrophages,480,0.2650435903646212,0.08870336785912514,0.3278347004820828
Healthy,Monocytes,86,0.32658187878879225,0.09545058757066727,0.46506161960667197
Healthy,Other,2666,0.7240273790341953,0.6494807600975037,0.5741620365097406
Healthy,Other T,30,0.9902510732412338,1.046134889125824,0.5265255630958451
Healthy,Other epithelial,0,,,
Healthy,Pericytes,280,0.639622394687363,0.6047824919223785,0.4573191942736876
Healthy,Plasma cells,11539,0.47022274486489407,0.4645545780658722,0.1848024691388712
Healthy,QC or Unassigned,4,1.8000527918338776,1.8256317377090454,0.2586757258259903
Healthy,Secretory epithelial,724,0.5436373420364949,0.26801544427871704,0.5982946359544212
Healthy,Smooth muscle,256,0.3023920132600324,0.10410601273179054,0.41061513270448824
CD,Absorptive epithelial,137745,0.7667675656711279,0.7273493409156799,0.49835363989303877
CD,B cells,102,1.7235842896442788,1.679500937461853,0.411146753972186
CD,CD4 T,68532,0.7256151257864908,0.6894838213920593,0.47004772427001384
CD,CD8 T,33627,0.8266550647048871,0.8157183527946472,0.5443984888350838
CD,Cycling,6535,1.0293725141675398,1.0061918497085571,0.4063868916767042
CD,Dendritic cells,5220,0.27893990290619836,0.09250671789050102,0.3699925255238358
CD,Doublet,730,1.1170854885214048,1.1644980907440186,0.5498624885352232
CD,Endothelial,21240,0.34310291983004576,0.15682532638311386,0.4005476164281063
CD,Enteroendocrine,4935,0.6001368105635632,0.37889769673347473,0.619499118296241
CD,Fibroblasts,30073,0.22057203689107477,0.03694140538573265,0.35549502338578964
CD,Glia,5838,0.7322949224214524,0.7227426171302795,0.3641333422443929
CD,Granulocytes,2038,0.01970885635310094,0.0006272205209825188,0.09384563986403816
CD,ILC and NK,4160,0.5125266248637882,0.4840228706598282,0.36981088997636324
CD,Macrophages,4676,0.26359812001658456,0.0835624635219574,0.3402427359288395
CD,Monocytes,4435,0.12658734017282192,0.0074859121814370155,0.2714552895966788
CD,Other,20336,0.865006453962194,0.8092605769634247,0.5964960423705632
CD,Other T,1488,0.8218396477112095,0.7883293330669403,0.5145058844053723
CD,Other epithelial,5,0.987602698802948,0.9036639928817749,0.3072226581694279
CD,Pericytes,3850,0.7044034629073236,0.6627205908298492,0.43653327921314655
CD,Plasma cells,54905,0.46651160073187653,0.4542728662490845,0.2205488776271249
CD,QC or Unassigned,72,1.4947623614635732,1.5901663899421692,0.46546755466647766
CD,Secretory epithelial,7227,0.6143704496971416,0.425790399312973,0.6226125860262823
CD,Smooth muscle,2491,0.3932273933727967,0.22149905562400818,0.43114685189212915
UC,Absorptive epithelial,116989,0.8479219748856249,0.7997059226036072,0.5068048060050556
UC,B cells,255,1.7433993123325646,1.7356358766555786,0.4989080386011324
UC,CD4 T,76054,0.7559305044254303,0.7091132402420044,0.4967729444379629
UC,CD8 T,28008,0.705172311176709,0.5782683491706848,0.5871684003613783
UC,Cycling,5978,1.0497611174967505,1.0317317843437195,0.4049740010374469
UC,Dendritic cells,3616,0.2724573518834831,0.07965445518493652,0.3780497695465901
UC,Doublet,1080,1.1736723981263046,1.2000573873519897,0.559026649754351
UC,Endothelial,43363,0.4863151083875775,0.32598790526390076,0.4622447426259556
UC,Enteroendocrine,3375,0.7327730839509103,0.5327962636947632,0.6987587076512587
UC,Fibroblasts,37767,0.312602627186191,0.08383846282958984,0.42889004860954777
UC,Glia,7325,0.7290669939913644,0.7023851275444031,0.3826307011991323
UC,Granulocytes,1745,0.019113882752129975,0.0005061228293925524,0.11030990655108436
UC,ILC and NK,3430,0.542765718841051,0.5126927495002747,0.35942352799526245
UC,Macrophages,3925,0.2516475311984237,0.09041497111320496,0.32195948235785227
UC,Monocytes,3710,0.11053965104047019,0.0051015878561884165,0.25506627657907927
UC,Other,20067,0.8874572789401721,0.8357626795768738,0.5879252617223939
UC,Other T,1148,0.8437882738994298,0.8305484056472778,0.5227180757335508
UC,Other epithelial,4,1.4237415045499802,1.4223980903625488,0.4782553924216717
UC,Pericytes,8383,0.7712970621418153,0.7650038003921509,0.41435631171144854
UC,Plasma cells,74360,0.42518225862874315,0.3822823315858841,0.2844172444510668
UC,QC or Unassigned,97,1.6175755972100287,1.6774401664733887,0.4204086664274311
UC,Secretory epithelial,7833,0.6655224691386292,0.4871610105037689,0.6404245107445501
UC,Smooth muscle,4752,0.41540540099134526,0.2684178799390793,0.42198983244038607
